"importId";"paymentCondition.importId";"sequence";"typeSelect";"periodTypeSelect";"paymentTime";"daySelect";"isFree";"paymentPercentage";"isHoldback"
1;1;0;1;1;0;0;"true";100;"false"
100;2;0;1;1;15;0;"false";100;"false"
110;3;0;1;1;30;0;"false";100;"false"
120;4;0;1;1;45;0;"false";100;"false"
130;5;0;3;1;15;0;"false";100;"false"
140;6;0;3;1;30;0;"false";100;"false"
150;7;0;3;1;45;0;"false";100;"false"
160;8;0;4;1;30;10;"false";100;"false"
200;200;0;1;2;1;0;"false";100;"false"
210;210;0;1;2;2;0;"false";100;"false"
1001;1000;0;1;1;0;0;"true";30;"false"
1002;1000;1;1;1;30;0;"true";50;"false"
1003;1000;2;1;1;60;0;"true";20;"false"
1011;1010;0;1;1;0;0;"true";40;"false"
1012;1010;1;1;1;30;0;"true";40;"false"
1013;1010;2;1;1;60;0;"true";20;"false"
2001;2000;0;1;1;0;0;"true";30;"false"
2002;2000;1;1;1;30;0;"true";50;"false"
2003;2000;2;1;1;60;0;"true";15;"false"
2004;2000;3;1;1;90;0;"true";5;"true"
2011;2010;0;1;1;0;0;"true";40;"false"
2012;2010;1;1;1;30;0;"true";40;"false"
2013;2010;2;1;1;60;0;"true";15;"false"
2014;2010;3;1;1;90;0;"true";5;"true"
