"importId";"fiscalPosition.importId";"fromTax.code";"toTax.code";"reverseCharge";"reverseChargeTax.code"
1;1;"N_C";"UE_X_C";"false";""
2;1;"R1_C";"UE_X_C";"false";""
3;1;"R2_C";"UE_X_C";"false";""
4;1;"U_C";"UE_X_C";"false";""
5;1;"X_C";"UE_X_C";"false";""
6;1;"N_D";"UE_N_D";"true";"UE_N_D_AUTOLIQ"
7;1;"R1_D";"UE_R1_D";"true";"UE_R1_D_AUTOLIQ"
8;1;"R2_D";"UE_R2_D";"true";"UE_R2_D_AUTOLIQ"
9;1;"U_D";"UE_U_D";"true";"UE_U_D_AUTOLIQ"
10;1;"X_D";"IMP_X_D";"false";""
20;2;"N_C";"EXP_X_C";"false";""
21;2;"R1_C";"EXP_X_C";"false";""
22;2;"R2_C";"EXP_X_C";"false";""
23;2;"U_C";"EXP_X_C";"false";""
24;2;"X_C";"EXP_X_C";"false";""
25;2;"N_D";"IMP_X_D";"false";""
26;2;"R1_D";"IMP_X_D";"false";""
27;2;"R2_D";"IMP_X_D";"false";""
28;2;"U_D";"IMP_X_D";"false";""
29;2;"X_D";"IMP_X_D";"false";""
