"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.account.AccountConfig.r";"com.axelor.apps.account.db.AccountConfig";"x";;;;;;;"Account Read"
"perm.account.AccountManagement.r";"com.axelor.apps.account.db.AccountManagement";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.PaymentMode.r";"com.axelor.apps.account.db.PaymentMode";"x";;;;;;;"Account Read"
"perm.account.JournalType.r";"com.axelor.apps.account.db.JournalType";"x";;;;;;;"Account Read"
"perm.account.MoveTemplateType.r";"com.axelor.apps.account.db.MoveTemplateType";"x";;;;;;;"Account Read"
"perm.account.AnalyticJournal.r";"com.axelor.apps.account.db.AnalyticJournal";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.PaymentVoucher.r";"com.axelor.apps.account.db.PaymentVoucher";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.Reimbursement.r";"com.axelor.apps.account.db.Reimbursement";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.Irrecoverable.r";"com.axelor.apps.account.db.Irrecoverable";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.DebtRecoveryConfigLine.r";"com.axelor.apps.account.db.DebtRecoveryConfigLine";"x";;;;;;;"Account Read"
"perm.account.AnalyticJournalType.r";"com.axelor.apps.account.db.AnalyticJournalType";"x";;;;;;;"Account Read"
"perm.account.InterbankCodeLine.r";"com.axelor.apps.account.db.InterbankCodeLine";"x";;;;;;;"Account Read"
"perm.account.NotificationItem.r";"com.axelor.apps.account.db.NotificationItem";"x";;;;;;;"Account Read"
"perm.account.AnalyticAccount.r";"com.axelor.apps.account.db.AnalyticAccount";"x";;;;;;;"Account Read"
"perm.account.PayVoucherDueElement.r";"com.axelor.apps.account.db.PayVoucherDueElement";"x";;;;;;;"Account Read"
"perm.account.FiscalPosition.r";"com.axelor.apps.account.db.FiscalPosition";"x";;;;;;;"Account Read"
"perm.account.ManagementObject.r";"com.axelor.apps.account.db.ManagementObject";"x";;;;;;;"Account Read"
"perm.account.Account.r";"com.axelor.apps.account.db.Account";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.PaymentCondition.r";"com.axelor.apps.account.db.PaymentCondition";"x";;;;;;;"Account Read"
"perm.account.PaymentScheduleLine.r";"com.axelor.apps.account.db.PaymentScheduleLine";"x";;;;;;;"Account Read"
"perm.account.MoveTemplateLine.r";"com.axelor.apps.account.db.MoveTemplateLine";"x";;;;;;;"Account Read"
"perm.account.DepositSlip.r";"com.axelor.apps.account.db.DepositSlip";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
"perm.account.PayVoucherElementToPay.r";"com.axelor.apps.account.db.PayVoucherElementToPay";"x";;;;;;;"Account Read"
"perm.account.Tax.r";"com.axelor.apps.account.db.Tax";"x";;;;;;;"Account Read"
"perm.account.TaxLine.r";"com.axelor.apps.account.db.TaxLine";"x";;;;;;;"Account Read"
"perm.account.IrrecoverableReportLine.r";"com.axelor.apps.account.db.IrrecoverableReportLine";"x";;;;;;;"Account Read"
"perm.account.AnalyticDistributionLine.r";"com.axelor.apps.account.db.AnalyticDistributionLine";"x";;;;;;;"Account Read"
"perm.account.TaxEquiv.r";"com.axelor.apps.account.db.TaxEquiv";"x";;;;;;;"Account Read"
"perm.account.MoveTemplate.r";"com.axelor.apps.account.db.MoveTemplate";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Account Read"
