"importId";"name";"modelName";"statusSelect";"toAttach";"scriptFieldName"
"7";"Invoice PDF";"com.axelor.apps.account.db.Invoice";"2";"false";"${__i18n__.get(Invoice.operationTypeSelect == 1 || Invoice.operationTypeSelect == 3 ? 'Invoice' : 'Credit note').replace(' ','') + ' ' + Invoice.invoiceId + '-' + date}"
"21";"PaymentVoucher";"com.axelor.apps.account.db.PaymentVoucher";"2";"false";"${__i18n__.get('Payment voucher') + '-' + PaymentVoucher.ref}"
"30";"DebtRecovery";"com.axelor.apps.account.db.DebtRecoveryHistory";"2";"true";"${__i18n__.get('Payment reminder') + ' ' + DebtRecoveryHistory.name + '-' + date}"
"91";"SaleInvoicesDetails";"com.axelor.apps.account.db.AssistantReportInvoice";"1";"false";"${def formatter = com.axelor.inject.Beans.get(com.axelor.apps.base.service.DateService.class).getDateFormat();
__i18n__.get('SaleInvoicesDetails-') + AssistantReportInvoice.fromDate.format(formatter) + AssistantReportInvoice.toDate.format(formatter)}"
"92";"PurchaseInvoicesDetails";"com.axelor.apps.account.db.AssistantReportInvoice";"1";"false";"${def formatter = com.axelor.inject.Beans.get(com.axelor.apps.base.service.DateService.class).getDateFormat();
__i18n__.get('PurchaseInvoicesDetails-') + AssistantReportInvoice.fromDate.format(formatter) + AssistantReportInvoice.toDate.format(formatter)}"
"93";"Move";"com.axelor.apps.account.db.Move";"2";"false";"${__i18n__.get('Move') + '-' + Move.reference + '-' + date}"
"94";"SubrogationRelease";"com.axelor.apps.account.db.SubrogationRelease";"2";"true";"${__i18n__.get('Subrogation release') + '-' + SubrogationRelease.sequenceNumber}"
"95";"ChequeDepositSlip";"com.axelor.apps.account.db.DepositSlip";"1";"true";
"151";"Invoice XLS";"com.axelor.apps.account.db.Invoice";"2";"false";"${__i18n__.get(Invoice.operationTypeSelect == 1 || Invoice.operationTypeSelect == 3 ? 'Invoice' : 'Credit note').replace(' ','') + ' ' + Invoice.invoiceId + '-' + date}"
"152";"Invoice DOC";"com.axelor.apps.account.db.Invoice";"2";"false";"${__i18n__.get(Invoice.operationTypeSelect == 1 || Invoice.operationTypeSelect == 3 ? 'Invoice' : 'Credit note').replace(' ','') + ' ' + Invoice.invoiceId + '-' + date}"
