"importId";"technicalTypeSelect";"name";"isManageSubsidiaryAccount"
1;"asset";"Asset";"false"
2;"cash";"Cash";"false"
3;"commitment";"Commitment";"false"
4;"currentAsset";"Current Asset";"false"
5;"debt";"Debt";"true"
6;"equity";"Equity";"false"
7;"charge";"Charges";"false"
8;"immobilisation";"Immobilisation";"false"
9;"income";"Income";"false"
10;"payable";"Payable";"true"
11;"provision";"Provision";"false"
12;"receivable";"Receivable";"true"
13;"special";"Special";"false"
14;"tax";"Tax";"false"
15;"view";"View";"false"
