"importId";"name";"code"
1;"Avocat";"AVO"
2;"Conseil en propriété industrielle";"CPI"
3;"Commisaires aux comptes";"COM"
4;"Consultant";"CON"
5;"Organisme de formation";"FOR"
6;"Inspection technique";"ITC"
7;"Etude marketing, Etude marché";"EMM"
8;"Expert comptable";"EXC"
9;"Photographe";"PHO"
10;"Apporteur d'affaires";"APA"
11;"Recrutement";"REC"
12;"Traitement de données";"TRD"
13;"Négociations immobilières";"NIM"
14;"Organisme de recouvrement";"RCO"
15;"Conseiller financier";"CFI"
16;"Commerce de gros";"CGR"
