"key","message","comment","context"
"${label} move lines",,,
"%",,,
"%d account treated successfully,",,,
"%d accounts treated successfully,",,,
"%d anomalies.",,,
"%d anomaly.",,,
"%d invoice treated successfully,",,,
"%d invoices treated successfully,",,,
"%d moves couldn't be deleted or archived, please check the logs.",,,
"%d reimbursement created successfully,",,,
"%d reimbursements created successfully,",,,
"%s - Invoice date can't be in the future.",,,
"%s - Invoice's or credit note's date can't be previous last invoice ventilated's date",,,
"%s : A customer account is missing for the company %s",,,
"%s : A header record is missing in the file %s",,,
"%s : A record is missing in the file %s",,,
"%s : A supplier account is missing for the company %s",,,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s",,,
"%s : Anomaly detected (value isn't numeric : %s) for sender",,,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver",,,
"%s : Anomaly detected (value isn't numeric : %s) for the total",,,
"%s : Bank statement line %s amount can't be null",,,
"%s : Caution - You can't pay for an amount higher than selected invoices",,,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.",,,
"%s : Computed balance and Ending Balance must be equal",,,
"%s : Currency missing",,,
"%s : Error : You must configure a company for the batch configurator %s",,,
"%s : Error : You must configure a credit note interface sequence for the company %s",,,
"%s : Error : You must configure a direct debit date for the %s batch configuration",,,
"%s : Error : You must configure a due date for the batch configurator %s",,,
"%s : Error : You must configure a journal for the company %s and a payment mode %s",,,
"%s : Error : You must configure a purchase interface sequence for the company %s",,,
"%s : Error : You must configure a reconciliation sequence for the company %s",,,
"%s : Error : You must configure a sale interface sequence for the company %s",,,
"%s : Error : You must configure a sequence for the company %s and a payment mode %s",,,
"%s : Error : You must configure a treasury interface sequence for the company %s",,,
"%s : Error : You must configure a weight table in general configuration",,,
"%s : Error : You must configure a year for the batch configurator %s",,,
"%s : Error : You must configure accounts for the batch configurator %s",,,
"%s : Error : You must configure an account export sequence for the company %s",,,
"%s : Error : You must configure an account reporting sequence for the company %s",,,
"%s : Error : You must configure an analytic report sequence for the company %s",,,
"%s : Error : You must configure an export type for the batch configurator %s",,,
"%s : Error : You must, at first, create timetable lines for the timetable %s",,,
"%s : Error detected during CFONB file's writing : %s",,,
"%s : Error generated on invoice creation shift to irrecoverable %s",,,
"%s : Invoice's type is not filled %s",,,
"%s : Invoicing address missing",,,
"%s : Letter template missing for debt recovery matrix %s (Partner %s, Level %s).",,,
"%s : MoveLine amount is not equals with bank statement line %s",,,
"%s : No payment mode found for the code %s and the company %s",,,
"%s : No timetable nor invoice found for the direct debit number : %s",,,
"%s : One or several detail records are missing in the file %s",,,
"%s : Payment condition missing",,,
"%s : Payment mode missing",,,
"%s : Payment mode must be filled either in the partner or in the company configuration.",,,
"%s : Payment voucher n° %s, the paid amount should be positive",,,
"%s : Please define an email template for cash register (company: %s)",,,
"%s : Please, configure a currency for the company %s",,,
"%s : Please, configure a sequence for the customer invoices and the company %s",,,
"%s : Please, configure a sequence for the customer refunds and the company %s",,,
"%s : Please, configure a sequence for the supplier invoices and the company %s",,,
"%s : Please, configure a sequence for the supplier refunds and the company %s",,,
"%s : Reconciliation %s: Reconciliated amount (%s) must be lower or equal to remaining amount to reconciliate from moves lines.",,,
"%s : Reconciliation %s: Reconciliated amount must be different than zero. (Debit %s account %s - Credit %s account %s)",,,
"%s : Reconciliation : Move line accounts are not compatible.",,,
"%s : Reconciliation : You must fill concerned moves lines.",,,
"%s : The invoice %s has no accounting document whose the remainder to be paid is positive",,,
"%s : The total amount for the following record isn't correct (file %s) :\n %s",,,
"%s : There's no line to pay.",,,
"%s : There's no partner selected",,,
"%s : You must add a journal and a treasury account into payment mode.",,,
"%s : You must add an amount paid.",,,
"%s : You must configure CFONB for the company %s",,,
"%s : You must configure a Bank Address for the RIB %s of third-payer %s",,,
"%s : You must configure a Bank Code for the RIB %s of third-payer %s",,,
"%s : You must configure a CFONB TIP and cheque TIP code for the company %s",,,
"%s : You must configure a CFONB TIP code for the company %s",,,
"%s : You must configure a CFONB code register end for the company %s",,,
"%s : You must configure a CFONB detail code register for the company %s",,,
"%s : You must configure a CFONB direct debit code for the company %s",,,
"%s : You must configure a CFONB format direct debit's export's folder for the company %s",,,
