"key","message","comment","context"
"${label} move lines","${label} bewegingslijnen",,
"%","%",,
"%d account treated successfully,",,,
"%d accounts treated successfully,",,,
"%d anomalies.","%d anomalieën.",,
"%d anomaly.","%d anomalie.",,
"%d invoice treated successfully,","%d factuur succesvol behandeld,.",,
"%d invoices treated successfully,","%d facturen met succes behandeld,.",,
"%d moves couldn't be deleted or archived, please check the logs.",,,
"%d reimbursement created successfully,","%d terugbetaling met succes gecreëerd,.",,
"%d reimbursements created successfully,","%d terugbetalingen die met succes zijn gecreëerd,.",,
"%s : A customer account is missing for the company %s","%s : Er ontbreekt een klantenaccount voor het bedrijf %s",,
"%s : A header record is missing in the file %s","%s : Een koptekstrecord ontbreekt in het bestand %s",,
"%s : A record is missing in the file %s","%s : Een record ontbreekt in het bestand %s",,
"%s : A supplier account is missing for the company %s","%s : Er ontbreekt een leveranciersaccount voor de onderneming %s",,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s : Anomalie gedetecteerd (het record heeft geen %s tekens : %s) voor het record %s, bedrijf %s.",,
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s : Anomalie gedetecteerd (waarde is niet numeriek : %s) voor verzender",,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s : Anomalie gedetecteerd (waarde is niet numeriek : %s) voor de ontvanger",,
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s : Anomalie gedetecteerd (waarde is niet numeriek : %s) voor het totaal",,
"%s : Bank statement line %s amount can't be null","%s : Bankafschriftregel %s bedrag kan niet ongeldig zijn",,
"%s : Caution - You can't pay for an amount higher than selected invoices","%s : Let op - U kunt niet betalen voor een hoger bedrag dan de geselecteerde facturen",,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s : Let op, betalingsinvoer nb %s, het totale toegerekende bedrag van de regel is hoger dan het betaalde bedrag van de klant.",,
"%s : Computed balance and Ending Balance must be equal","%s : Berekende balans en eindsaldo moeten gelijk zijn",,
"%s : Currency missing","%s : Valuta ontbreekt",,
"%s : Error : You must configure a company for the batch configurator %s","%s : Fout : U moet een bedrijf configureren voor de batchconfigurator %s",,
