"fiscalPosition_code";"fromTax.code";"toTax.code";"reverseCharge";"reverseChargeTax.code"
"UE";"N_C";"UE_X_C";"false";
"UE";"R1_C";"UE_X_C";"false";
"UE";"R2_C";"UE_X_C";"false";
"UE";"U_C";"UE_X_C";"false";
"UE";"X_C";"UE_X_C";"false";
"UE";"N_D";"UE_N_D";"true";"UE_N_D_AUTOLIQ"
"UE";"R1_D";"UE_R1_D";"true";"UE_R1_D_AUTOLIQ"
"UE";"R2_D";"UE_R2_D";"true";"UE_R2_D_AUTOLIQ"
"UE";"U_D";"UE_U_D";"true";"UE_U_D_AUTOLIQ"
"UE";"X_D";"IMP_X_D";"false";
"IE";"N_C";"EXP_X_C";"false";
"IE";"R1_C";"EXP_X_C";"false";
"IE";"R2_C";"EXP_X_C";"false";
"IE";"U_C";"EXP_X_C";"false";
"IE";"X_C";"EXP_X_C";"false";
"IE";"N_D";"IMP_X_D";"false";
"IE";"R1_D";"IMP_X_D";"false";
"IE";"R2_D";"IMP_X_D";"false";
"IE";"U_D";"IMP_X_D";"false";
"IE";"X_D";"IMP_X_D";"false";
