"importId";"typeSelect";"product_importId";"tax_code";"productFamily_importId";"paymentMode.code";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTax_code";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTax_code";"cashAccount_code";"journal_code";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount_code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory_importId";"interbankCodeLine_importId";"allowedFinDiscountTaxVatSystem1Account_code";"allowedFinDiscountTaxVatSystem2Account_code";"obtainedFinDiscountTaxVatSystem1Account_code";"obtainedFinDiscountTaxVatSystem2Account_code";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount_code"
"FRA_PCG1";2;;"N_C";;;445711;445711;445711;"N_C";;;;;;;;;;;;;;445600;445600;445600;445600;;445870;;;
"FRA_PCG2";2;;"R1_C";;;445712;445712;445712;"R1_C";;;;;;;;;;;;;;;;;;;445870;;;
"FRA_PCG3";2;;"R2_C";;;445713;445713;445713;"R2_C";;;;;;;;;;;;;;;;;;;445870;;;
"FRA_PCG4";2;;"U_C";;;445710;445710;445710;"U_C";;;;;;;;;;;;;;;;;;;445870;;;
"FRA_PCG5";2;;"X_C";;;445710;445710;445710;"X_C";;;;;;;;;;;;;;;;;;;445870;;;
"FRA_PCG6";2;;"N_D";;;;;;;445511;445511;445511;"N_D";;;;;445620;445620;445620;;;445700;445700;445700;445700;445860;;;;
"FRA_PCG7";2;;"R1_D";;;;;;;445512;445512;445512;"R1_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG8";2;;"R2_D";;;;;;;445513;445513;445513;"R2_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG9";2;;"U_D";;;;;;;445514;445514;445514;"U_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG10";2;;"X_D";;;;;;;445510;445510;445510;"X_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG11";2;;"UE_X_C";;;445200;445200;445200;"UE_X_C";;;;;;;;;;;;;;;;;;;445870;;;
"FRA_PCG12";2;;"EXP_X_C";;;445710;445710;445710;"EXP_X_C";;;;;;;;;;;;;;;;;;;445870;;;
"FRA_PCG13";2;;"UE_N_D";;;;;;;445662;445662;445662;"UE_N_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG14";2;;"UE_R1_D";;;;;;;445662;445662;445662;"UE_R1_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG15";2;;"UE_R2_D";;;;;;;445662;445662;445662;"UE_R2_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG16";2;;"UE_U_D";;;;;;;445662;445662;445662;"UE_U_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG17";2;;"UE_X_D";;;;;;;445200;445200;445200;"UE_X_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG18";2;;"IMP_X_D";;;;;;;445203;445203;445203;"IMP_X_D";;;;;445620;445620;445620;;;;;;;445860;;;;
"FRA_PCG19";2;;"UE_N_D_AUTOLIQ";;;;;;;445201;445201;445201;"UE_N_D_AUTOLIQ";;;;;445201;445201;445201;;;;;;;;;;;
"FRA_PCG20";2;;"UE_R1_D_AUTOLIQ";;;;;;;445202;445202;445202;"UE_R1_D_AUTOLIQ";;;;;445202;445202;445202;;;;;;;;;;;
"FRA_PCG21";2;;"UE_R2_D_AUTOLIQ";;;;;;;445202;445202;445202;"UE_R2_D_AUTOLIQ";;;;;445202;445202;445202;;;;;;;;;;;
"FRA_PCG22";2;;"UE_U_D_AUTOLIQ";;;;;;;445203;445203;445203;"UE_U_D_AUTOLIQ";;;;;445203;445203;445203;;;;;;;;;;;
"FRA_PCG23";3;;;;"ENC_VIR";;;;;;;;;512100;"BNQ";6100;;;;;;5;;;;;;;;;
"FRA_PCG24";3;;;;"ENC_CHQ";;;;;;;;;512100;"BNQ";6110;;;;;;2;;;;;;;511200;"BNQ";
"FRA_PCG25";3;;;;"ENC_CB";;;;;;;;;511500;"BNQ";6120;;;;;;24;;;;;;;;;
"FRA_PCG26";3;;;;"ENC_WEB";;;;;;;;;512100;"BNQ";6130;;;;;;30;;;;;;;;;
"FRA_PCG27";3;;;;"ENC_PRE";;;;;;;;;512100;"BNQ";6140;;;;;;89;;;;;;;;;
"FRA_PCG28";3;;;;"ENC_ESP";;;;;;;;;531100;"BNQ";6150;;;;;;4;;;;;;;;;
"FRA_PCG29";3;;;;"ENC_OTH";;;;;;;;;512100;"BNQ";6160;;;;;;16;;;;;;;;;
"FRA_PCG30";3;;;;"DEC_VIR";;;;;;;;;512100;"BNQ";6200;;;;;;6;;;;;;;;;
"FRA_PCG31";3;;;;"DEC_CHQ";;;;;;;;;512100;"BNQ";6210;;;;;;1;;;;;;;;;
"FRA_PCG32";3;;;;"DEC_CB";;;;;;;;;512100;"BNQ";6220;;;;;;11;;;;;;;;;
"FRA_PCG33";3;;;;"DEC_PRE";;;;;;;;;512100;"BNQ";6230;;;;;;95;;;;;;;;;
"FRA_PCG34";3;;;;"DEC_ESP";;;;;;;;;512100;"BNQ";6240;;;;;;23;;;;;;;;;
"FRA_PCG35";3;;;;"DEC_OTH";;;;;;;;;512100;"BNQ";6260;;;;;;86;;;;;;;;;
