"importId";"technicalTypeSelect";"name";"isManageSubsidiaryAccount"
"FRA_PCG0";"view";"Vues";"false"
"FRA_PCG110";"immobilisation";"Immobilisations";"false"
"FRA_PCG120";"currentAsset";"Actif courant";"false"
"FRA_PCG130";"cash";"Liquidités";"false"
"FRA_PCG140";"receivable";"Clients";"true"
"FRA_PCG200";"asset";"Actif";"false"
"FRA_PCG210";"equity";"Capitaux";"false"
"FRA_PCG220";"provision";"Provisions";"false"
"FRA_PCG230";"debt";"Dettes";"true"
"FRA_PCG240";"payable";"Fournisseurs";"true"
"FRA_PCG250";"tax";"Taxes";"false"
"FRA_PCG1000";"income";"Produits";"false"
"FRA_PCG2000";"charge";"Charges";"false"
"FRA_PCG9000";"special";"Spéciaux";"false"
"FRA_PCG9010";"commitment";"Engagements";"false"
