"importId";"n4dsCode";"name";"code";"isDas2Declarable"
"FRA_PCG1";;"Non soumis au DAS2";"NDAS";"false"
"FRA_PCG2";"01";"Honoraires";"HONO";"true"
"FRA_PCG3";"02";"Commissions";"COMM";"true"
"FRA_PCG4";"03";"Courtages";"COUR";"true"
"FRA_PCG5";"04";"Ristournes";"RIST";"true"
"FRA_PCG6";"05";"Jetons de présence";"JETO";"true"
"FRA_PCG7";"06";"Droits d’auteurs";"DAUT";"true"
"FRA_PCG8";"07";"Droits d’inventeurs";"DINV";"true"
"FRA_PCG9";"08";"Autres rémunérations";"AREM";"true"
"FRA_PCG10";"09";"Avantages en nature";"ANAT";"true"
"FRA_PCG11";"10";"Indemnités/Remboursements";"IDTR";"true"
"FRA_PCG12";"11";"Retenue à la source";"RSOU";"true"
"FRA_PCG13";"12";"Frais exposés pour compte du bénéficiaire";"FRAI";"true"
"FRA_PCG14";"13";"Collectif DAS2";"DAS2";"false"
