"importId";"code";"name";"_activeTaxLine";"taxType.importId"
"FRA_PCG1";"N_C";"TVA Coll. (V) taux normal";"FRA_PCG11";"FRA_PCG1"
"FRA_PCG2";"R1_C";"TVA Coll. (V) taux réduit 10%";"FRA_PCG12";"FRA_PCG1"
"FRA_PCG3";"R2_C";"TVA Coll. (V) taux réduit 5.5%";"FRA_PCG3";"FRA_PCG1"
"FRA_PCG4";"U_C";"TVA Coll. (V) taux ultra-réduit";"FRA_PCG4";"FRA_PCG1"
"FRA_PCG5";"X_C";"TVA Exonérée vente";"FRA_PCG5";"FRA_PCG1"
"FRA_PCG6";"UE_X_C";"TVA Exonérée (V) Livr. Intra. Com.";"FRA_PCG15";"FRA_PCG1"
"FRA_PCG7";"EXP_X_C";"TVA Exonérée (V) Export";"FRA_PCG16";"FRA_PCG1"
"FRA_PCG8";"N_D";"TVA Déd. (A) taux normal";"FRA_PCG13";"FRA_PCG1"
"FRA_PCG9";"R1_D";"TVA Déd. (A) taux réduit 10%";"FRA_PCG14";"FRA_PCG1"
"FRA_PCG10";"R2_D";"TVA Déd. (A) taux réduit 5.5%";"FRA_PCG8";"FRA_PCG1"
"FRA_PCG11";"U_D";"TVA Déd. (A) taux ultra-réduit";"FRA_PCG9";"FRA_PCG1"
"FRA_PCG12";"X_D";"TVA Exonérée achat";"FRA_PCG10";"FRA_PCG1"
"FRA_PCG13";"UE_N_D";"TVA Due Intracom. (A) tx normal";"FRA_PCG18";"FRA_PCG1"
"FRA_PCG14";"UE_R1_D";"TVA Due Intracom. (A) tx réduit 10%";"FRA_PCG20";"FRA_PCG1"
"FRA_PCG15";"UE_R2_D";"TVA Due Intracom. (A) tx réduit 5.5%";"FRA_PCG21";"FRA_PCG1"
"FRA_PCG16";"UE_U_D";"TVA Due Intracom. (A) tx ultra-réduit";"FRA_PCG22";"FRA_PCG1"
"FRA_PCG17";"UE_X_D";"TVA Exonérée Intracom. (A)";"FRA_PCG23";"FRA_PCG1"
"FRA_PCG18";"IMP_X_D";"TVA Exonérée (A) Import";"FRA_PCG24";"FRA_PCG1"
"FRA_PCG19";"UE_N_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx normal";"FRA_PCG25";"FRA_PCG1"
"FRA_PCG20";"UE_R1_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx réduit 10%";"FRA_PCG26";"FRA_PCG1"
"FRA_PCG21";"UE_R2_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx réduit 5.5%";"FRA_PCG27";"FRA_PCG1"
"FRA_PCG22";"UE_U_D_AUTOLIQ";"TVA Due Autoliq. Intracom. (A) tx ultra-réduit";"FRA_PCG28";"FRA_PCG1"
