"importId";"fiscalPosition.importId";"fromTax.code";"toTax.code";"reverseCharge";"reverseChargeTax.code"
"FRA_PCG1";"FRA_PCG1";"N_C";"UE_X_C";"false";
"FRA_PCG2";"FRA_PCG1";"R1_C";"UE_X_C";"false";
"FRA_PCG3";"FRA_PCG1";"R2_C";"UE_X_C";"false";
"FRA_PCG4";"FRA_PCG1";"U_C";"UE_X_C";"false";
"FRA_PCG5";"FRA_PCG1";"X_C";"UE_X_C";"false";
"FRA_PCG6";"FRA_PCG1";"N_D";"UE_N_D";"true";"UE_N_D_AUTOLIQ"
"FRA_PCG7";"FRA_PCG1";"R1_D";"UE_R1_D";"true";"UE_R1_D_AUTOLIQ"
"FRA_PCG8";"FRA_PCG1";"R2_D";"UE_R2_D";"true";"UE_R2_D_AUTOLIQ"
"FRA_PCG9";"FRA_PCG1";"U_D";"UE_U_D";"true";"UE_U_D_AUTOLIQ"
"FRA_PCG10";"FRA_PCG1";"X_D";"IMP_X_D";"false";
"FRA_PCG11";"FRA_PCG2";"N_C";"EXP_X_C";"false";
"FRA_PCG12";"FRA_PCG2";"R1_C";"EXP_X_C";"false";
"FRA_PCG13";"FRA_PCG2";"R2_C";"EXP_X_C";"false";
"FRA_PCG14";"FRA_PCG2";"U_C";"EXP_X_C";"false";
"FRA_PCG15";"FRA_PCG2";"X_C";"EXP_X_C";"false";
"FRA_PCG16";"FRA_PCG2";"N_D";"IMP_X_D";"false";
"FRA_PCG17";"FRA_PCG2";"R1_D";"IMP_X_D";"false";
"FRA_PCG18";"FRA_PCG2";"R2_D";"IMP_X_D";"false";
"FRA_PCG19";"FRA_PCG2";"U_D";"IMP_X_D";"false";
"FRA_PCG20";"FRA_PCG2";"X_D";"IMP_X_D";"false";
