"importId";"technicalTypeSelect";"name"
"GBR_COA0";"view";"View"
"GBR_COA110";"immobilisation";"Fixed Asset"
"GBR_COA120";"currentAsset";"Current Asset"
"GBR_COA130";"cash";"Cash"
"GBR_COA140";"receivable";"Accounts Receivable"
"GBR_COA200";"asset";"Asset"
"GBR_COA210";"equity";"Equity"
"GBR_COA220";"provision";"Provision"
"GBR_COA230";"debt";"Liability"
"GBR_COA240";"payable";"Accounts Payable"
"GBR_COA250";"tax";"Tax"
"GBR_COA1000";"income";"Revenue"
"GBR_COA2000";"charge";"Expense"
"GBR_COA9000";"special";"Special"
