"importId";"reportType_importId";"reportTypeColumnId";"sequence";"typeSelect";"ruleTypeSelect";"label";"code";"styleSelect";"percentageTotalLine";"detailBySelect";"resultSelect";"negateValue";"rule";"accountCode";"analyticAccountCode";"accountTypeSet_code";"accountSet_code";"analyticAccountSet_code";"hidden";"notComputedIfIntersect";"balanceBeforePeriod"
"GBR_COA10101";;"GBR_COA101";;1;2;"Balance";"bal";0;;0;4;"false";;;;;;;;;
"GBR_COA10102";"GBR_COA101";;0;1;1;"Revenue";"RV";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10103";"GBR_COA101";;1;1;2;"Income-Product Sales 1";"IPC";0;;0;1;"true";;"4001%";;;;;"false";"false";"false"
"GBR_COA10104";"GBR_COA101";;2;1;2;"Income-Product Sales 2";"IPC2";0;;0;1;"true";;"4002%";;;;;"false";"false";"false"
"GBR_COA10105";"GBR_COA101";;3;1;2;"Income-Product Sales 3";"IPC3";0;;0;1;"true";;"4003%";;;;;"false";"false";"false"
"GBR_COA10106";"GBR_COA101";;4;1;2;"Income-Product Sales 4";"IPC4";0;;0;1;"true";;"4004%";;;;;"false";"false";"false"
"GBR_COA10107";"GBR_COA101";;5;1;3;"Total Sales";"TS";1;;0;;"false";"IPC + IPC2 + IPC3 + IPC4";;;;;;"false";"false";"false"
"GBR_COA10108";"GBR_COA101";;6;1;1;"Expenses";"EX";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10109";"GBR_COA101";;7;1;2;"Expense- Product Sales 1";"COS1";0;;0;1;"false";;"5001%";;;;;"false";"false";"false"
"GBR_COA10110";"GBR_COA101";;8;1;2;"Expense- Product Sales 2";"COS2";0;;0;1;"false";;"5002%";;;;;"false";"false";"false"
"GBR_COA10111";"GBR_COA101";;9;1;2;"Expense- Product Sales 3";"COS3";0;;0;1;"false";;"5003%";;;;;"false";"false";"false"
"GBR_COA10112";"GBR_COA101";;10;1;3;"Total Sales expenses";"TSE";1;;0;;"false";"COS1 + COS2 + COS3";;;;;;"false";"false";"false"
"GBR_COA10113";"GBR_COA101";;11;1;3;"Gross Profit/Loss (Revenue – Expenses)";"GP";1;;0;;"false";"TS - TSE";;;;;;"false";"false";"false"
