"code";"parent_code";"name";"accountType.importId";"reconcileOk";"isRegulatoryAccount";"commonPosition";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"defaultTax.code";"vatSystemSelect";"isRetrievedOnPaymentSession";"manageCutOffPeriod";"statusSelect"
0;;"UK-COA";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"BAL";0;"Balance Sheet";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"A000";"BAL";"Fixed assets";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"A010";"A000";"Intangible assets";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
10;"A010";"Software";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
11;"A010";"Software Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
20;"A010";"Patents & Trademarks";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
21;"A010";"Patents & Trademarks Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
"A020";"A000";"Tangible assets";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
30;"A020";"Fixtures and fittings";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
31;"A020";"Fixtures and fittings Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
40;"A020";"Land and buildings";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
41;"A020";"Land and buildings Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
50;"A020";"Motor vehicles";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
51;"A020";"Motor vehicles Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
60;"A020";"Office equipment (inc computer equipment)";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
61;"A020";"Office equipment (inc computer equipment) Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
70;"A020";"Plant and machinery";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
71;"A020";"Plant and machinery Depreciation";"GBR_COA110";"FALSE";"FALSE";2;;;"TRUE";;;1;"FALSE";"FALSE";1
"A030";"A000";"Investments";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"B000";"BAL";"Current assets";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"B010";"B000";"Stocks & WIP";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
1001;"B010";"Stock";"GBR_COA120";"TRUE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
1002;"B010";"Work in Progress";"GBR_COA120";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
1003;"B010";"Finished Goods";"GBR_COA120";"FALSE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
"B020";"B000";"Trade Debtors";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
1100;"B020";"Debtors Control Account";"GBR_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
1101;"B020";"Sundry Debtors";"GBR_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
1102;"B020";"Other Debtors";"GBR_COA140";"TRUE";"FALSE";2;;"TRUE";;;;0;"TRUE";"FALSE";1
"B030";"B000";"Investment current assets";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"B040";"B000";"Cash at bank and in hand";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
1200;"B040";"Bank Accounts";"GBR_COA130";"TRUE";"FALSE";2;;;;;;0;"FALSE";"FALSE";1
1201;1200;"Cash in national currency";"GBR_COA130";"FALSE";"FALSE";0;;;;;;0;"FALSE";"FALSE";1
1240;1200;"Bank in national currency";"GBR_COA130";"TRUE";"FALSE";1;;;;;;0;"FALSE";"FALSE";1
"B050";"B000";"Company Credit Card";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
1103;"B050";"Prepayments and accrued income";"GBR_COA120";"FALSE";"FALSE";1;;;;;;0;"FALSE";"FALSE";1
"C000";"BAL";"Prepayments";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
"C010";"C000";"Current Liabilities";"GBR_COA0";"FALSE";"TRUE";0;;;;;;0;"FALSE";"FALSE";1
2100;"C010";"Creditors due within one year";"GBR_COA240";"TRUE";"FALSE";1;;"TRUE";;;;0;"TRUE";"FALSE";1
2101;"C010";"Creditors Control Account";"GBR_COA240";"TRUE";"FALSE";1;;"TRUE";;;;0;"TRUE";"FALSE";1
2102;"C010";"Sundry Creditors";"GBR_COA240";"TRUE";"FALSE";1;;"TRUE";;;;0;"TRUE";"FALSE";1
2200;"C010";"Other Creditors";"GBR_COA240";"TRUE";"FALSE";1;;"TRUE";;;;0;"TRUE";"FALSE";1
2201;"C010";"Sales Tax Control Account";"GBR_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
2202;"C010";"Purchase Tax Control Account";"GBR_COA250";"FALSE";"FALSE";1;;;"TRUE";;;0;"FALSE";"FALSE";1
