"importId";"code";"name";"_activeTaxLine"
"GBR_COA1";"UK_SRT";"Standard rate purchase (20%)";1
"GBR_COA2";"UK_SRS_20";"Standard rate sale (20%)";2
"GBR_COA3";"UK_ZRP_EC";"Zero rated purchase from EC";3
"GBR_COA4";"UK_STC_EC";"Sales to customers in EC";4
"GBR_COA5";"UK_LRP";"Lower rate purchase (5%)";5
"GBR_COA6";"UK_LRS";"Lower rated Sale (5%)";6
"GBR_COA7";"UK_EP";"Exempt purchase";7
"GBR_COA8";"UK_ZRP";"Zero rated purchase";8
"GBR_COA9";"UK_ES";"Exempt sale";9
"GBR_COA10";"UK_ZRS";"Zero rated sale";10
"GBR_COA11";"UK_IM_ZRP";"Zero rate Purchase VAT on Import";11
"GBR_COA12";"UK_EX_ZRS";"Zero rated Sale VAT on export";12
