"importId";"technicalTypeSelect";"name"
"IND_COA0";"view";"View"
"IND_COA110";"immobilisation";"Fixed Asset"
"IND_COA120";"currentAsset";"Current Asset"
"IND_COA130";"cash";"Cash"
"IND_COA140";"receivable";"Accounts Receivable"
"IND_COA200";"asset";"Asset"
"IND_COA210";"equity";"Equity"
"IND_COA220";"provision";"Provision"
"IND_COA230";"debt";"Liability"
"IND_COA240";"payable";"Accounts Payable"
"IND_COA250";"tax";"Tax"
"IND_COA1000";"income";"Revenue"
"IND_COA2000";"charge";"Expense"
"IND_COA9000";"special";"Special"
