"importId";"fiscalPosition.importId";"fromTaxSet";"toTaxSet";"reverseCharge";"reverseChargeTaxSet"
"IND_COAT1";"IND_COA1";"IND_CGST_2.5|IND_SGST_2.5";"IND_IGST_5";"FALSE";
"IND_COAT2";"IND_COA1";"IND_CGST_6|IND_SGST_6";"IND_IGST_12";"FALSE";
"IND_COAT3";"IND_COA1";"IND_CGST_9|IND_SGST_9";"IND_IGST_18";"FALSE";
"IND_COAT4";"IND_COA1";"IND_CGST_14|IND_SGST_14";"IND_IGST_28";"FALSE";
"IND_COAT5";"IND_COA2";"IND_CGST_2.5| IND_SGST_2.5";"IND_GST_ZR_EX";"FALSE";
"IND_COAT6";"IND_COA2";"IND_CGST_6|IND_SGST_6";"IND_GST_ZR_EX";"FALSE";
"IND_COAT7";"IND_COA2";"IND_CGST_9|IND_SGST_9";"IND_GST_ZR_EX";"FALSE";
"IND_COAT8";"IND_COA2";"IND_CGST_14|IND_SGST_14";"IND_GST_ZR_EX";"FALSE";
"IND_COAT9";"IND_COA3";"IND_CGST_2.5| IND_SGST_2.5";"IND_GST_ZR_IM";"FALSE";
"IND_COAT10";"IND_COA3";"IND_CGST_6|IND_SGST_6";"IND_GST_ZR_IM";"FALSE";
"IND_COAT11";"IND_COA3";"IND_CGST_9|IND_SGST_9";"IND_GST_ZR_IM";"FALSE";
"IND_COAT12";"IND_COA3";"IND_CGST_14|IND_SGST_14";"IND_GST_ZR_IM";"FALSE";
"IND_COAT13";"IND_COA4";"IND_CGST_2.5|IND_SGST_2.5";"IND_IGST_5";"FALSE";
"IND_COAT14";"IND_COA4";"IND_CGST_6|IND_SGST_6";"IND_IGST_12";"FALSE";
"IND_COAT15";"IND_COA4";"IND_CGST_9|IND_SGST_9";"IND_IGST_18";"FALSE";
"IND_COAT16";"IND_COA4";"IND_CGST_14|IND_SGST_14";"IND_IGST_28";"FALSE";
