"importId";"code";"name";"_activeTaxLine"
"MAR_PCG1";"080";"Opérations de production et de distribution";"5"
"MAR_PCG2";"081";"Prestations de services";"6"
"MAR_PCG3";"082";"Professions libérales visées à l’article 89-I-12°-(b) du CGI";"7"
"MAR_PCG4";"083";"Opérations de crédit-bail";"8"
"MAR_PCG5";"087";"Opérations d’entreprises de travaux immobiliers";"9"
"MAR_PCG6";"102";"Autres";"10"
"MAR_PCG7";"020";"Opérations situées hors champ d’application de la TVA";"1"
"MAR_PCG8";"030";"Opérations exonérées sans droit à déduction (art 91du CGI)";"2"
"MAR_PCG9";"040";"Opérations exonérées avec droit à déduction (art 92 du CGI)";"3"
"MAR_PCG10";"050";"Opérations faites en suspension de la TVA (art 94 du CGI)";"4"
"MAR_PCG11";"084";"Beurre à l’exclusion du beurre de fabrication artisanale visé à l’article 91 (I-A. 2°)";"11"
"MAR_PCG12";"085";"Graisses alimentaires (animales ou végétales), margarines ou saindoux";"12"
"MAR_PCG13";"086";"Thé (en vrac ou conditionné)";"13"
"MAR_PCG14";"088";"Opérations de transport de voyageurs et de marchandises";"14"
"MAR_PCG15";"089";"Véhicule utilitaire léger économique, et cyclomoteur économique et produits et matières entrant dans leur fabrication";"15"
"MAR_PCG16";"090";"Energie électrique et les chauffe-eau solaires.";"16"
"MAR_PCG17";"104";"Autres";"17"
"MAR_PCG18";"091";"Les prestations de services rendues par tout agent démarcheur ou courtier d’assurances à raison des contrats apportés par lui à une entreprise d’assurances";"18"
"MAR_PCG19";"092";"Opérations de restauration et de logement dans des hôtels";"19"
"MAR_PCG20";"093";"Opérations de restauration fournies par les prestataires de services au personnel salarié des entreprises";"20"
"MAR_PCG21";"094";"location d'hôtels ou d'ensembles immobiliers à destination touristique.";"21"
"MAR_PCG22";"095";"les opérations de vente de denrées ou de boissons à consommer sur place, réalisées dans les restaurants";"22"
"MAR_PCG23";"096";"Le sel de cuisine (gemme ou marin)";"23"
"MAR_PCG24";"097";"Le riz usiné, les farines et semoules de riz et les farines de féculents, les pâtes alimentaires";"24"
"MAR_PCG25";"098";"Les huiles fluides alimentaires";"25"
"MAR_PCG26";"099";"les transactions relatives aux valeurs mobilières";"26"
"MAR_PCG27";"100";"Les opérations de banque et de crédit et les commissions de change";"27"
"MAR_PCG28";"101";"Les transactions portant sur les actions et les parts sociales";"28"
"MAR_PCG29";"103";"Péage dans les autoroutes";"29"
"MAR_PCG30";"105";"Les opérations des avocats, interprètes, notaires, adoul, huissiers de justice et vétérinaires";"30"
"MAR_PCG31";"108";"Gaz de pétrole et les autres hydrocarbures gazeux";"31"
"MAR_PCG32";"109";"Huiles de pétrole ou de schistes, brutes ou raffinées";"32"
"MAR_PCG33";"112";"Les tourteaux servant à la fabrication des aliments de bétail et des animaux de basse cour";"33"
"MAR_PCG34";"118";"Autres";"34"
"MAR_PCG35";"078";"les aliments destinés à l’alimentation de bétail et des animaux de basse-cour à l’exclusion des autres aliments simples";"35"
"MAR_PCG36";"106";"L’eau livrée aux réseaux de distribution publique et les prestations d’assainissement";"36"
"MAR_PCG37";"107";"Location de compteurs d’eau et d’électricité";"37"
"MAR_PCG38";"110";"Produits pharmaceutiques, matières premières et produits entrant dans leurs compositions ainsi que les emballages non récupérables de ces produits et matières";"38"
"MAR_PCG39";"111";"Les fournitures scolaires, produits et matières entrant dans leur composition";"39"
"MAR_PCG40";"113";"Sucre raffiné ou aggloméré";"40"
"MAR_PCG41";"114";"Conserves de sardines";"41"
"MAR_PCG42";"115";"Lait en poudre";"42"
"MAR_PCG43";"116";"Savon de ménage";"43"
"MAR_PCG44";"117";"Voiture économique et produits et matières entrant dans sa fabrication";"44"
"MAR_PCG45";"119";"Autres";"45"
"MAR_PCG46";"140";"Prestations de services";"46"
"MAR_PCG47";"141";"Transport";"47"
"MAR_PCG48";"142";"Opération de banque";"48"
"MAR_PCG49";"143";"Hôtels de voyageurs, et ensemble immobilier à destination touristique";"49"
"MAR_PCG50";"144";"Les opérations des avocats, interprètes, notaires, adoul, huissiers de justice et vétérinaires";"50"
"MAR_PCG51";"153";"Autres prestations de services";"51"
"MAR_PCG52";"145";"Achat à l’importation";"52"
"MAR_PCG53";"146";"Achat à l’intérieur";"53"
"MAR_PCG54";"147";"Achat à l’importation";"54"
"MAR_PCG55";"148";"Achat à l’intérieur";"55"
"MAR_PCG56";"149";"Achat à l’importation";"56"
"MAR_PCG57";"150";"Achat à l’intérieur";"57"
"MAR_PCG58";"151";"Achat à l’importation";"58"
"MAR_PCG59";"152";"Achat à l’intérieur";"59"
"MAR_PCG60";"155";"Travaux à façon";"60"
"MAR_PCG61";"156";"Sous –traitance ( travaux immobiliers )";"61"
"MAR_PCG62";"162";"Achat à l’importation";"62"
"MAR_PCG63";"163";"Achat à l’intérieur";"63"
"MAR_PCG64";"164";"Livraison à soi-même autre que les constructions";"64"
"MAR_PCG65";"165";"Installation et pose";"65"
"MAR_PCG66";"166";"Constructions";"66"
"MAR_PCG67";"167";"Livraison à soi-même de constructions";"67"
"MAR_PCG68";"168";"Autres immobilisations";"68"
"MAR_PCG69";"169";"Autres immobilisations";"69"
