"name";"roles"
"invoice-root";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-custinvoices";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-custrefunds";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-purchase-supinvoices";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-purchase-suprefunds";"Invoice Manager|Invoice User|Invoice Read"
"invoice-root-report";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing-custinvoices";"Invoice Manager|Invoice User|Invoice Read"
"top-invoicing-supplinvoices";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-invoice-dashboard-sample";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-sale-invoice-dashboard-1";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-purchase-invoice-dashboard-1";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-invoice-advanced";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-sale-invoice-advanced";"Invoice Manager|Invoice User|Invoice Read"
"menu-account-purchase-invoice-advanced";"Invoice Manager|Invoice User|Invoice Read"
