"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.account.InvoiceBatch.r";"com.axelor.apps.account.db.InvoiceBatch";"x";;"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Factureur"
"perm.account.InvoiceLineTax.r";"com.axelor.apps.account.db.InvoiceLineTax";"x";;"x";;;;;"Factureur"
"perm.account.InvoiceLine.r";"com.axelor.apps.account.db.InvoiceLine";"x";;"x";;;;;"Factureur"
"perm.account.IrrecoverableInvoiceLine.r";"com.axelor.apps.account.db.IrrecoverableInvoiceLine";"x";;"x";;;;;"Factureur"
"perm.account.Invoice.r";"com.axelor.apps.account.db.Invoice";"x";;"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Factureur"
"perm.account.AssistantReportInvoice.r";"com.axelor.apps.account.db.AssistantReportInvoice";"x";;"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Factureur"
"perm.account.InvoicePayment.r";"com.axelor.apps.account.db.InvoicePayment";"x";;;;;;;"Factureur"
"perm.account.InvoiceBatch.rwcde";"com.axelor.apps.account.db.InvoiceBatch";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire de facturation"
"perm.account.InvoiceLineTax.rwcde";"com.axelor.apps.account.db.InvoiceLineTax";"x";"x";"x";"x";"x";;;"Gestionnaire de facturation"
"perm.account.InvoiceLine.rwcde";"com.axelor.apps.account.db.InvoiceLine";"x";"x";"x";"x";"x";;;"Gestionnaire de facturation"
"perm.account.IrrecoverableInvoiceLine.rwcde";"com.axelor.apps.account.db.IrrecoverableInvoiceLine";"x";"x";"x";"x";"x";;;"Gestionnaire de facturation"
"perm.account.Invoice.rwcde";"com.axelor.apps.account.db.Invoice";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire de facturation"
"perm.account.AssistantReportInvoice.rwcde";"com.axelor.apps.account.db.AssistantReportInvoice";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire de facturation"
"perm.account.InvoicePayment.rwcde";"com.axelor.apps.account.db.InvoicePayment";"x";"x";"x";"x";"x";;;"Gestionnaire de facturation"
"perm.account.InvoiceBatch.rwcde";"com.axelor.apps.account.db.InvoiceBatch";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Directeur de la facturation"
"perm.account.InvoiceLineTax.rwcde";"com.axelor.apps.account.db.InvoiceLineTax";"x";"x";"x";"x";"x";;;"Directeur de la facturation"
"perm.account.InvoiceLine.rwcde";"com.axelor.apps.account.db.InvoiceLine";"x";"x";"x";"x";"x";;;"Directeur de la facturation"
"perm.account.IrrecoverableInvoiceLine.rwcde";"com.axelor.apps.account.db.IrrecoverableInvoiceLine";"x";"x";"x";"x";"x";;;"Directeur de la facturation"
"perm.account.Invoice.rwcde";"com.axelor.apps.account.db.Invoice";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Directeur de la facturation"
"perm.account.AssistantReportInvoice.rwcde";"com.axelor.apps.account.db.AssistantReportInvoice";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Directeur de la facturation"
"perm.account.InvoicePayment.rwcde";"com.axelor.apps.account.db.InvoicePayment";"x";"x";"x";"x";"x";;;"Directeur de la facturation"
