"key";"message";"language"
"value:Description containing & Code 01 (Bank cheque issued)";"Description contenant & Code 01 (Chèque émis)";"fr"
"value:Description containing";"Description contenant";"fr"
"value:Description starting with an";"Description commencant par";"fr"
"value:Description ending with an";"Description Finissant par";"fr"
"value:Origin containing";"Origine contenant";"fr"
"value:Origin starting with an";"Origine commencant par";"fr"
"value:Origin ending with an";"Origine finissant par";"fr"
"value:Reference containing";"Référence contenant";"fr"
"value:Reference starting with an";"Référence commencant par";"fr"
"value:Reference ending with an";"Référence finissant par";"fr"
"value:Origin and amount equal";"Origine et montant égaux";"fr"
"value:Equal amount, payment mode and dates";"Montant et mode de paiement égaux et date égales";"fr"
"value:Equal amount and dates";"Montant égaux et date identiques";"fr"
"value:Equal amount and date within ranges";"Montant égaux et date dans les fourchettes";"fr"
"value:Amount and mode of payment equal and date within the ranges";"Montant et mode de paiement égaux et date dans les fourchettes";"fr"
"value:Equal amount and date within ranges";"Montant égaux et date dans les fourchettes";"fr"
"value:Equal amount";"Montant égaux";"fr"
"value:Amount and date within ranges";"Montant et date dans les fourchettes";"fr"
"value:Equal amount and origin";"Montants et origine égaux";"fr"
