"importId";"birtTemplate.importId";"name";"value";"type"
621;101;"BankOrderId";"$bankOrder.id";"decimal"
622;101;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
623;101;"Timezone";"${bankOrder.senderCompany?.timezone}";"string"
625;102;"BankStatementId";"$bankStatement.id";"decimal"
626;102;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
631;103;"BankReconciliationId";"$bankReconciliation.id";"decimal"
632;103;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
633;103;"Timezone";"${bankReconciliation.company?.timezone}";"string"
634;103;"BankReconciliationFromDate";"${bankReconciliation.fromDate.minusDays(__bean__(com.axelor.apps.bankpayment.service.config.BankPaymentConfigService.class).getBankPaymentConfig(bankReconciliation.company)?.getBnkStmtAutoReconcileDateMargin())}";"date"
635;103;"BankReconciliationToDate";"${bankReconciliation.toDate.plusDays(__bean__(com.axelor.apps.bankpayment.service.config.BankPaymentConfigService.class).getBankPaymentConfig(bankReconciliation.company)?.getBnkStmtAutoReconcileDateMargin())}";"date"
641;104;"BankReconciliationId";"$bankReconciliation.id";"decimal"
642;104;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
643;104;"Timezone";"${bankReconciliation.company?.timezone}";"string"
644;104;"BankReconciliationFromDate";"${bankReconciliation.fromDate.minusDays(__bean__(com.axelor.apps.bankpayment.service.config.BankPaymentConfigService.class).getBankPaymentConfig(bankReconciliation.company)?.getBnkStmtAutoReconcileDateMargin())}";"date"
645;104;"BankReconciliationToDate";"${bankReconciliation.toDate.plusDays(__bean__(com.axelor.apps.bankpayment.service.config.BankPaymentConfigService.class).getBankPaymentConfig(bankReconciliation.company)?.getBnkStmtAutoReconcileDateMargin())}";"date"
646;104;"HeaderHeight";"${bankReconciliation.company.printingSettings?.pdfHeaderHeight}";"decimal"
647;104;"FooterHeight";"${bankReconciliation.company.printingSettings?.pdfFooterHeight}";"decimal"
648;104;"Watermark";"${__bean__(com.axelor.apps.account.db.repo.AccountConfigRepository.class).findByCompany(bankReconciliation.company).getInvoiceWatermark() ? com.axelor.meta.MetaFiles.getPath(__bean__(com.axelor.apps.account.db.repo.AccountConfigRepository.class).findByCompany(bankReconciliation.company)?.getInvoiceWatermark()).toString() : null}";"string"
651;105;"FromDate";"${hasVariable('FromDate')?FromDate:__date__}";"date"
652;105;"ToDate";"${hasVariable('ToDate')?ToDate:__date__}";"date"
653;105;"BankDetails";"${hasVariable('bankDetails')?bankDetails:0}";"decimal"
654;105;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
655;106;"AccountingReportId";"$accountingReport.id";"decimal"
656;106;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
691;111;"FromDate";"${hasVariable('FromDate')?FromDate:__date__}";"date"
692;111;"ToDate";"${hasVariable('ToDate')?ToDate:__date__}";"date"
693;111;"BankDetails";"${hasVariable('BankDetails')?BankDetails:0}";"decimal"
694;111;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
695;112;"FromDate";"${hasVariable('FromDate')?FromDate:__date__}";"date"
696;112;"ToDate";"${hasVariable('ToDate')?ToDate:__date__}";"date"
697;112;"BankDetails";"${hasVariable('BankDetails')?BankDetails:0}";"decimal"
698;112;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale()}";"string"
