"key","message","comment","context"
"%s : Bank statement line %s amount can't be null",,,
"%s : Computed balance and Ending Balance must be equal",,,
"%s : MoveLine amount is not equals with bank statement line %s",,,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s",,,
"%s : Please, configure a sequence for the International Direct Debits and the company %s",,,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s",,,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s",,,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s",,,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s",,,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s",,,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s",,,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s",,,
"%s : Veuillez configurer un signataire par défaut pour la société %s",,,
"+33000000000",,,
"000000","OK",,
"011000","Positive acknowledgement received",,
"011001","Negative acknowledgement received",,
"011101","Segment number not reached",,
"031001","Unknown order parameters are ignored",,
"061001","Authentication signature error",,
"061002","Message not EBICS-conformant",,
"061099","Internal EBICS error",,
"061101","Synchronisation necessary",,
"090005","No download data available",,
"091002","Subscriber unknown or subscriber state inadmissible",,
"091003","Subscriber unknown",,
"091004","Subscriber state unknown",,
"091005","Order type inadmissible",,
"091006","Order type not supported",,
"091007","Subscriber possesses no authorisation of signature for the referenced order in the VEU administration",,
"091008","Bank key invalid",,
"091009","Segment size exceeded",,
"091010","XML invalid according to EBICS XML schema",,
"091011","The transmitted HostID is unknown on the bank's side",,
"091101","Transaction ID invalid",,
"091102","Transaction cancelled",,
"091103","Suspected Message replay (wrong time/time zone or nonce error)",,
"091104","Segment number exceeded",,
"091112","Invalid order parameters",,
"091113","Message content semantically not compliant to EBICS",,
"091117","The bank system does not support the requested order size",,
"091118","Submitted number of segments for upload is too high",,
"091119","Maximum number of parallel transactions per customer is exceeded",,
"091120","The partner ID of the ES file is not identical to the partner ID of the submitter.",,
"091121","The specified order attribute is not compatible with the order in the bank system",,
"091209","certificate is not valid because it is not yet in effect",,
"091301","Verification of the ES has failed In the case of asynchronously implemented orders, the error can occur during preliminary verification",,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"Accepted Bank Details Identifiers",,,
"Account",,,
"Accounting informations",,,
"Action",,,
"Active connection",,,
"Additionnal informations",,,
"Administration mode",,,
"Amount",,,
"Amount Rejected",,,
"Amount value of a bank order line is not valid",,,
"Amount value of the bank order is not valid",,,
"Anomaly has been detected during file generation for bank order %s",,,
"Anomaly has been detected during file generation for the beneficiary bank detail record of the bank order line %s",,,
"Anomaly has been detected during file generation for the detail record of the bank order line %s",,,
"Anomaly has been detected during file generation for the further information detail record of the bank order line %s",,,
"Anomaly has been detected during file generation for the sender record of the bank order %s",,,
"Anomaly has been detected during file generation for the total record of the bank order %s",,,
"Are you sure you want get the server certificates ?",,,
"Are you sure you want merge the selected bank orders ?",,,
"Are you sure you want suspend the user ? The whole initialisation process will have to be done again.",,,
"Arithmetic total",,,
"Associate user",,,
"Associated MoveLine",,,
"Authentication",,,
"Authentication certificate",,,
"Authorized Bank Accounts",,,
"Automatic",,,
"Awaiting signature",,,
"Balance",,,
"Bank",,,
"Bank Account",,,
"Bank Details",,,
"Bank Order",,,
"Bank Order Details",,,
"Bank Order Lines",,,
"Bank Order Status",,,
"Bank Order date can't be in the past",,,
"Bank Order line",,,
"Bank Order lines",,,
"Bank Orders",,,
"Bank Orders awaiting for signature",,,
"Bank Orders economic reason",,,
"Bank Orders economic reasons",,,
"Bank Orders file format",,,
"Bank Orders file formats",,,
"Bank Reconciliation",,,
"Bank Reconciliation Line",,,
"Bank Reconciliation Lines",,,
"Bank Reconciliations",,,
"Bank Statement",,,
"Bank Statement Line",,,
"Bank Statements",,,
"Bank Statements file format",,,
"Bank Statements file formats",,,
"Bank accounts",,,
"Bank order",,,
"Bank order Date",,,
"Bank order amount",,,
