"key","message","comment","context"
"%d errors occurred. Please check tracebacks for details.","%d erreurs se sont produites. Veuillez consulter les tracebacks pour les détails.",,
"%d line successfully rejected","%d línea rechazada con éxito",,
"%d lines successfully rejected","%d líneas rechazadas con éxito",,
"%s : Bank statement line %s amount can't be null","%s : el importe del renglón bancario %s no puede ser nulo",,
"%s : Computed balance and Ending Balance must be equal","%s : el saldo calculado y el saldo final deben ser iguales",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : la cantidad de MoveLine no es igual a la línea de extracto bancario %s",,
"%s : Please configure an ICS number for the company %s.","%s : configure un número ICS para la empresa %s.",,
"%s : Please, configure a default signer for the company %s","%s : configure un firmante predeterminado para la empresa %s",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : configure una secuencia para las transferencias de crédito internacionales y la empresa %s",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : configure una secuencia para los débitos directos internacionales y la empresa %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : configure una secuencia para las transferencias internacionales del Tesoro y la empresa %s",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : configure una secuencia para las transferencias del Tesoro Nacional y la empresa %s",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : configure una secuencia para los Otros pedidos bancarios y la empresa %s",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : configure una secuencia para las transferencias de crédito SEPA y la empresa %s",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : configure una secuencia para los débitos directos SEPA y la empresa %s",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : configure una cuenta para el pedido bancario del banco externo a la transferencia bancaria para la empresa %s",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : configure una cuenta para el pedido bancario del banco interno a la transferencia bancaria para la empresa %s",,
"%s : You must configure bank payment's information for the company %s","%s : debe configurar la información del pago bancario para la empresa %s",,
"%s bank statements get.","Se obtienen %s extractos bancarios.",,
"+33000000000","33000000000",,
"000000","Okay",,
"011000","Reconocimiento positivo recibido",,
"011001","Acuse negativo recibido",,
"011101","Número de segmento no alcanzado",,
"031001","Los parámetros de orden desconocidos se ignoran",,
"061001","Error de firma de autenticación",,
"061002","Mensaje no conforme con EBICS",,
"061099","Error interno de EBICS",,
"061101","Sincronización necesaria",,
"090005","No hay datos de descarga disponibles.",,
"091002","Suscriptor desconocido o estado del suscriptor inadmisible",,
"091003","Suscriptor desconocido",,
"091004","Estado del suscriptor desconocido",,
"091005","Tipo de orden inadmisible",,
"091006","Tipo de orden no admitido",,
"091007","El suscriptor no posee autorización de firma para el pedido referenciado en la administración de VEU",,
"091008","Clave bancaria no válida",,
"091009","Tamaño de segmento excedido",,
"091010","XML no válido según el esquema EBICS XML",,
"091011","El HostID transmitido es desconocido en el lado del banco",,
"091101","ID de transacción no válido",,
"091102","Transacción cancelada",,
"091103","Reproducción de mensaje sospechoso (hora / zona horaria incorrecta o error de nonce)",,
"091104","Número de segmento excedido",,
"091112","Parámetros de orden no válidos",,
"091113","Contenido del mensaje semánticamente no compatible con EBICS",,
"091117","El sistema bancario no admite el tamaño de pedido solicitado",,
