"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","%d relevé(s) bancaire(s) n’ont pas pu être supprimés. Veuillez consulter les logs.",,
"%d errors occurred. Please check tracebacks for details.","%d erreurs se sont produites. Veuillez consulter les tracebacks pour les détails.",,
"%d line successfully rejected","%d ligne rejetée avec succès",,
"%d lines successfully rejected","%d lignes rejetées avec succès",,
"%s : Bank statement line %s amount can't be null","%s : Ligne de relevé bancaire %s le montant ne peut pas être null",,
"%s : Computed balance and Ending Balance must be equal","Le solde d'arrivée et le solde calculé devrait être égaux",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : Le montant de la ligne d'écriture n'est pas égal à la ligne de relevé bancaire %s",,
"%s : Please configure an ICS number for the company %s.","%s : Veuillez configurer un numéro ICS pour la société %s.",,
"%s : Please, configure a default signer for the company %s","%s : Veuillez configurer un signataire par défaut pour la société %s",,
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s : Veuillez configurer une séquence pour les LCR et la société %s",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : Veuillez configurer une séquence pour les virements internationaux et la société %s",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : Veuillez configurer une séquence pour les prélèvements internationaux et la société %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : Veuillez configurer une séquence pour les virements de trésorerie internationaux et la société %s",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : Veuillez configurer une séquence pour les virements de trésorerie nationale et la société %s",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : Veuillez configurer une séquence pour les autres ordres bancaires et la société %s",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : Veuillez configurer une séquence pour les virements SEPA et la société %s",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : Veuillez configurer une séquence pour les prélèvements SEPA et la société %s",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : Veuillez configurer un compte comptable pour l'ordre bancaire de virement bancaire externe pour la société %s",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : Veuillez configurer un compte comptable pour l'ordre bancaire de virement bancaire interne pour la société %s",,
"%s : You must configure bank payment's information for the company %s","%s : Veuillez configurer les informations de paiement bancaire pour la société %s",,
"10 - Bank details IBAN","10 - Identifiant du compte",,
"10 - Sender bank details type","10 - Type identifiant du compte",,
"10 - Sequence","10 - Référence",,
"11 - Bank details code","11 - Code devise du compte",,
"11 - Sender bank details IBAN","11 - Identifiant du compte à débiter",,
"12 - Bank order currency","12 - Code devise du compte à débiter",,
"13 - Total","13 - Total",,
"14 - Sender bank details type","14 - Type identifiant du compte à débiter",,
"15 - Sender bank details IBAN","15 - Identifiant du compte à débiter",,
"16 - Bank order currency","16 - Code devise du compte à débiter",,
"16 - Economic reason code","16 - Code motif économique",,
"17-3 - File format qualifying date","17-3 - Qualifiant de la date",,
"18 - Order debit type index","18 - Indice type de débit de la remise",,
"18 - Payment mode select","18 - Mode de règlement",,
"19 - Fees imputation mode","19 - Code imputation des frais",,
"19 - Order index type","19 - Indice type de remise",,
"20 - Bank order date","20 - Date de l'ordre bancaire",,
"21 - Currency","21 - Code devise des ordres de paiements",,
"24-1 - Qualifying of date","24-1 - Qualifiant de la date",,
"24-2 - Date","24-2 - Date",,
"25 - Currency","25 - Code devise du transfert",,
"4 - Bank details type","4 - Type identifiant du compte du bénéficiaire",,
"4 - Bank name","4 - Nom de la banque du bénéficiaire",,
"4 - Generation date","4 - Date de création",,
"4-1 - Payment Reason 1","4-1 - Motif du règlement 1",,
"4-2 - Payment Reason 2","4-2 - Motif du règlement 2",,
"4-3 - Payment Reason 3","4-3 - Motif du règlement 3",,
"4-4 - Payment Reason 4","4-4 - Motif du règlement 4",,
"5 - Bank address","5 - Localisation de l'agence",,
"5 - Bank details IBAN","5 - Identifiant du compte du bénéficiaire",,
"5 - Sender company","5 - Raison sociale émetteur",,
"6 - Bank code","6 - Code BIC de la banque du bénéficiaire",,
"6 - Bank details owner name","6 - Nom du bénéficiaire",,
"6 - Registration code","6 - Numéro SIRET de l'émetteur",,
"6 - Sender address","6 - Adresse de l'émetteur",,
"7 - Country code","7 - Code pays de la banque du bénéficiaire",,
"7 - Registration code","7 - Numéro SIRET de l'émetteur",,
"7 - Sequence","7 - Référence remise",,
"8 - Sequence","8 - Référence remise",,
"9 - Bank details type","Type identifiant du compte à débiter",,
"9 - Country code","9 - Code pays du bénéficiaire",,
"9-1 - Special instructions 1","9-1 - Instructions particulières 1",,
"9-2 - Special instructions 2","9-2 - Instructions particulières 2",,
"9-3 - Special instructions 3","9-3 - Instructions particulières 3",,
"A - Register code","A - Code d'enregistrement ",,
"A bank order %s already exist for the invoice %s.","Un ordre bancaire %s existe déjà pour la facture %s.",,
"Acceptance code per recipient line","Code d'acceptation par ligne destinataire",,
"Accepted Bank Details Identifiers","Types d'identifiant des comptes acceptés",,
"Accepted LCR","LCR accepté",,
"Account balance","Balance comptable",,
"Account management is missing.","Le paramétrage de compte comptable est manquant.",,
"Account management list",,,
"Accounting",,,
"Accounting Dashboard","Tb Comptabilité",,
"Accounting Dashboard with invoice terms",,,
"Accounting Move Line(s) to reconcile","Ecriture(s) à rapprocher",,
"Accounting auto","Comptabilisation auto",,
"Accounting details","Détails comptables",,
"Accounting information","Informations comptables",,
"Accounting move trigger select","Déclenchement de la comptabilisation des écritures",,
"Accounting settings",,,
"Accounting.Account","Compte comptable",,
"Action","Action",,
"Active",,,
"Additional information","Informations complémentaires",,
"Allow orders with a transfer currency different from bank details currency","Autoriser les ordres dans une devise de transfert différente de la devise du compte émetteur",,
"Already accounted","Déjà comptabilisé",,
"Already reconciled","Déjà rapprochées",,
"Amount Rejected","Le montant rejeté",,
"Amount in transfer's currency","Montant dans la devise du transfert",,
"Amount of the semi-interval of confidence for the amounts","Montant du demi-intervalle de confiance pour les montants",,
"Amount remaining to reconcile","Montant restant à rapprocher",,
"Amount value of a bank order line is not valid","Le montant inséré pour une ligne d'ordre bancaire n'est pas valide",,
"Amount value of the bank order is not valid","Le montant inséré de l'ordre bancaire n'est pas valide",,
"Anomaly has been detected during file generation for bank order %s","Une anomalie a été détectée lors de la génération du fichier bancaire de l'ordre bancaire %s",,
"Anomaly has been detected during file generation for the additional detail record of the bank order line %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'details additionnels' de la ligne de l'ordre bancaire %s",,
"Anomaly has been detected during file generation for the beneficiary bank detail record of the bank order line %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'détails du bénéficiaire' de l'ordre bancaire %s",,
"Anomaly has been detected during file generation for the detail record of the bank order line %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'détails' de la ligne d'ordre bancaire %s",,
"Anomaly has been detected during file generation for the endorsed detail record of the bank order line %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'détails endossé' de la ligne de l'ordre bancaire %s",,
"Anomaly has been detected during file generation for the further information detail record of the bank order line %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'informations complémentaires' de la ligne d'ordre bancaire %s",,
"Anomaly has been detected during file generation for the sender record of the bank order %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'émetteur' de l'ordre bancaire %s",,
"Anomaly has been detected during file generation for the total record of the bank order %s","Une anomalie a été détectée lors de la génération du fichier bancaire pour l'enregistrement 'total' de l'ordre bancaire %s",,
"App",,,
"App bank payment","App paiement bancaire",,
"Are you sure you want merge the selected bank orders ?","Etes-vous sûr de vouloir fusionner les ordres bancaires sélectionnés ?",,
"Arithmetic total","Total arithmétique",,
"As the date of your order is in the past, it will be updated to today.","La date de votre ordre étant dans le passé, elle va être mise à jour à aujourd'hui.",,
"Assignment or pledge outside Dailly agreement","Cession ou nantissement hors convention Dailly",,
"Associated MoveLine","Ligne d'Ecr. Associée",,
"Auto accounting","Comptabilisation automatique",,
"Auto reconcile","Pointage automatique",,
"Automatic","Automatique",,
"Automatic accounting ?","Comptabilisation automatique ?",,
"Automatic pointing","Pointage automatique",,
"Available","Disponible",,
"Awaiting signature","En attente de signature",,
"B1 - Operation code","B1 - Code opération",,
"B2 - Numbering record","B2 - Numérotage de l'enregistrement",,
"B3 - Sender number","B3 - Numéro d'émetteur",,
"BOR",,,
"Balance","Solde",,
"Balance btn",,,
"Balance updated date","Date de mise à jour du solde",,
"Bank Account","Compte bancaire",,
"Bank Balance","Soldes bancaires",,
"Bank Order","Ordre bancaire",,
"Bank Order Details","Détails de l'ordre bancaire",,
"Bank Order Lines","Lignes de l'ordre bancaire",,
"Bank Order Status","Statut",,
"Bank Order date can't be in the past","La date de l'ordre bancaire ne peut pas être dans le passé",,
"Bank Order line","Ligne d'ordre bancaire",,
"Bank Order lines","Lignes de l'ordre bancaire",,
"Bank Orders","Ordres Bancaires",,
"Bank Orders economic reason","Raison économique (Ordre bancaire)",,
"Bank Orders economic reasons","Raisons économiques (Ordre bancaire)",,
"Bank Orders file format","Format de fichier bancaire",,
"Bank Orders file formats","Formats de fichier bancaire",,
"Bank Reconciliation","Rapprochement bancaire",,
"Bank Reconciliation Lines","Lignes de rapprochement bancaire",,
"Bank Reconciliations","Rappro. bancaires",,
"Bank Statement","Relevé bancaire",,
"Bank Statement / Reconciliations","Comptabilisation / Rapprochements bancaires",,
"Bank Statement detail","Détails du relevé bancaire",,
"Bank Statement line","Ligne de relevé bancaire",,
"Bank Statement line print wizard","Assistant d'impression des lignes de relevés",,
"Bank Statement lines","Lignes de relevé bancaire",,
"Bank Statements","Relevés bancaires",,
"Bank Statements file format","Format de fichier des relevés bancaires",,
"Bank Statements file formats","Formats de fichier des relevés bancaires",,
"Bank accounting / reconciliation rule","Règle de compabilisation / rapprochement",,
"Bank details","RIB",,
"Bank details are inactive.","Le RIB est inactif.",,
"Bank details in account management is missing.","Le RIB dans le paramétrage de compte comptable est manquant.",,
"Bank details is missing on invoice %s.","RIB manquant sur la facture %s.",,
"Bank details not validated","RIBs non validés",,
"Bank details tree","Arborescence des RIBs",,
"Bank order","Ordre bancaire",,
"Bank order Date","Date de l'ordre bancaire",,
"Bank order amount","Montant de l'ordre bancaire",,
"Bank order config.","Config. ordres bancaires",,
"Bank order confirmation","Confirmation ordre bancaire",,
"Bank order currency","Devise de l'ordre bancaire",,
"Bank order due Date","Date d'échéance de l'ordre bancaire",,
"Bank order export folder does not exist: %s","Le dossier d’export des ordres bancaires n’existe pas.",,
"Bank order export folder path","Dossier d'export des ordres bancaires",,
"Bank order file format","Format de fichier des ordres bancaires",,
"Bank order file formats","Formats de fichier des ordres bancaires",,
"Bank order generation","Génération de l'ordre bancaire",,
"Bank order line","Ligne d'ordre bancaire",,
"Bank order realization","Réalisation ordre bancaire",,
"Bank orders","Ordres bancaires",,
"Bank orders can only be deleted at draft or canceled status.","Les ordres bancaires ne peuvent être supprimés qu’aux statuts « brouillon » et « annulé ».",,
"Bank payment batch","Batch Paiements bancaires",,
"Bank payment config (${ name })","Config. Paiements bancaires (${ name })",,
"Bank payment configuration","Configuration Paiements bancaires",,
"Bank payment configurations","Configurations Paiements bancaires",,
"Bank reconcile amount must be inferior or equal to credit or debit.","Le montant rapproché doit être inférieur ou égal au crédit ou au débit.",,
"Bank reconciled amount","Montant rapproché",,
"Bank reconciliation","Rapprochement bancaire",,
"Bank reconciliation Line","Ligne de rapprochement bancaire",,
"Bank reconciliation Lines","Lignes de rapprochement bancaire",,
"Bank reconciliation filters",,,
"Bank reconciliation statement","État de rapprochement bancaire",,
"Bank reconciliation statement template","Modèle état de rapprochement bancaire",,
"Bank reconciliations","Rapprochements bancaires",,
"Bank statement","Relevé bancaire",,
"Bank statement already imported. Aborted.","Relevé bancaire déjà importé. Import interrompu.",,
"Bank statement details","Détails du relevé bancaire",,
"Bank statement line AFK120 filters",,,
"Bank statement line print wizard","Assistant d'impression des lignes de relevés",,
"Bank statement lines","Lignes de relevé bancaire",,
"Bank statement lines template","Modèle lignes de relevé bancaire",,
"Bank statement queries","Requêtes de relevé bancaire",,
"Bank statement query","Requête de relevé bancaire",,
"Bank statement rule","Règle liée aux relevés",,
"Bank statement rules","Règles liées aux relevés",,
"Bank statement(s) has been removed successfully","Relevé(s) bancaire(s) supprimé(s)",,
"Bank statements file formats","Formats de fichier des relevés bancaires",,
"Bank to Bank Transfers","Virements Banque à Banque",,
"Bank to bank account for external order (multiple company)","Compte comptable pour les ordres bancaires (plusieurs sociétés)",,
"Bank to bank account for internal order (unique company)","Compte comptable pour les ordres bancaires (une seule société)",,
"BankDetails/Payment Mode/Interbank code configuration","Configuration RIB/Mode de paiement/Code interbancaire",,
"BankOrder.partnerTypeSelect","Destinataire",,
"BankReconciliation.account","Compte Bancaire",,
"BankReconciliation.amount","Montant",,
"BankReconciliation.cash_account","Compte liquidité",,
"BankReconciliation.code","Code",,
"BankReconciliation.company","Entreprise",,
"BankReconciliation.credit","Credit",,
"BankReconciliation.currency","Devise",,
"BankReconciliation.debit","Debit",,
"BankReconciliation.journal","Banque",,
"BankReconciliation.moves_unaccounted","Lignes de relevé bancaire",,
"BankReconciliation.name","Nom",,
"BankReconciliation.ongoing","En cours de rapprochement",,
"BankReconciliation.page1Title","Ecritures non rapprochées",,
"BankReconciliation.page2Title","Relevé bancaire",,
"BankReconciliation.reference","Reference",,
"BankReconciliation.report_date","Date",,
"BankReconciliation.report_edition_date","Date d'édition",,
"BankReconciliation.to_date","Date",,
"BankReconciliation.type","Type",,
"BankReconciliation.unreconciled_move_lines","Lignes d'écriture non rapprochées",,
"BankReconciliationStatement.SummaryTitle","Synthèse",,
"BankReconciliationStatement.account","Compte comptable",,
"BankReconciliationStatement.accountBalance","Solde comptable",,
"BankReconciliationStatement.accountBankGap","Ecart comptable et bancaire",,
"BankReconciliationStatement.accountCode","Compte comptable",,
"BankReconciliationStatement.actualBalance","Solde",,
