"key","message","comment","context"
"%d errors occurred. Please check tracebacks for details.","%d fouten opgetreden. Controleer tracebacks voor meer informatie.",,
"%d line successfully rejected","%d lijn met succes afgewezen",,
"%d lines successfully rejected","%d lijnen met succes afgewezen",,
"%s : Bank statement line %s amount can't be null","%s : Bankafschriftregel %s bedrag kan niet ongeldig zijn",,
"%s : Computed balance and Ending Balance must be equal","%s : Berekende balans en eindsaldo moeten gelijk zijn",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : MoveLine bedrag is niet gelijk aan het bedrag van bankafschriften %s",,
"%s : Please configure an ICS number for the company %s.","%s : Configureer een ICS-nummer voor het bedrijf %s.",,
"%s : Please, configure a default signer for the company %s","%s : Configureer a.u.b. een standaard ondertekenaar voor het bedrijf %s.",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : Configureer a.u.b. een volgorde voor de internationale overschrijvingen en de onderneming %s.",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : Configureer alstublieft een volgorde voor de internationale domiciliëringen en het bedrijf %s.",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : Configureer a.u.b. een reeks voor de Internationale Overdrachten van de Schatkist en de onderneming %s.",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : Configureer a.u.b. een volgorde voor de Nationale Overdrachten van de Schatkist en de onderneming %s.",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : Configureer a.u.b. een volgorde voor de Overige Bankorders en het bedrijf %s.",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : Configureer a.u.b. een volgorde voor de SEPA-overschrijvingen en het bedrijf %s.",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : Configureer a.u.b. een volgorde voor de SEPA-incasso's en het bedrijf %s.",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : Configureer een rekening voor de bankopdracht voor de externe bank naar de bankoverschrijving voor de onderneming %s.",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : Configureer a.u.b. een rekening voor de bankopdracht voor de interne bank naar de bankoverschrijving voor de onderneming %s.",,
"%s : You must configure bank payment's information for the company %s","%s : U moet de betalingsgegevens van de bank voor de onderneming configureren %s",,
"%s bank statements get.","%s bankafschriften krijgen.",,
"+33000000000",,,
"000000","PRIMA",,
"011000","Positieve ontvangstbevestiging ontvangen",,
"011001","Negatieve bevestiging ontvangen",,
"011101","Segmentnummer niet bereikt",,
"031001","Onbekende orderparameters worden genegeerd",,
"061001","Fout in de authenticatiehandtekening",,
"061002","Bericht niet EBICS-conform",,
"061099","Interne EBICS-fout",,
"061101","Synchronisatie noodzakelijk",,
"090005","Geen downloadgegevens beschikbaar",,
"091002","Abonnee onbekend of abonnee verklaart niet-ontvankelijk",,
"091003","Abonnee onbekend",,
"091004","Abonnee staat onbekend",,
"091005","Type bestelling niet ontvankelijk",,
"091006","Ordertype niet ondersteund",,
"091007","Abonnee beschikt niet over een machtiging tot ondertekening van de desbetreffende order in de administratie van de VEU.",,
"091008","Banksleutel ongeldig",,
"091009","Segmentgrootte overschreden",,
"091010","XML ongeldig volgens EBICS XML-schema",,
"091011","De verzonden HostID is onbekend aan de kant van de bank",,
"091101","Transactie-ID ongeldig",,
"091102","Transactie geannuleerd",,
"091103","Vermoedelijke herhaling van het bericht (verkeerde tijd/tijdzone of nonce-fout)",,
"091104","Segmentnummer overschreden",,
"091112","Ongeldige bestelparameters",,
"091113","Berichtinhoud semantisch niet in overeenstemming met EBICS",,
"091117","Het banksysteem ondersteunt niet de gevraagde ordergrootte",,
"091118","Ingezonden aantal segmenten voor upload is te hoog",,
"091119","Maximaal aantal parallelle transacties per klant wordt overschreden",,
"091120","De partner-ID van het ES bestand is niet identiek aan de partner-ID van de indiener.",,
"091121","Het opgegeven orderkenmerk is niet compatibel met de order in het banksysteem",,
"091209","certificaat is niet geldig omdat het nog niet van kracht is",,
"091301","Verificatie van de ES is mislukt In het geval van asynchroon uitgevoerde orders kan de fout optreden tijdens de voorafgaande verificatie.",,
"1",,,
