"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","%d 份银行对账单未能删除，请检查日志。",,
"%d errors occurred. Please check tracebacks for details.","发生 %d 个错误。请检查回溯以获取详细信息。",,
"%d line successfully rejected","成功拒绝%d行",,
"%d lines successfully rejected","成功拒绝%d行",,
"%s : Bank statement line %s amount can't be null","%s ：银行对账单行%s的金额不能为空",,
"%s : Computed balance and Ending Balance must be equal","计算的余额和结束余额必须相等",,
"%s : MoveLine amount is not equals with bank statement line %s","%s：分录行金额与银行对账单行 %s 不匹配",,
"%s : Please configure an ICS number for the company %s.","%s：请为公司 %s 配置一个ICS号码。",,
"%s : Please, configure a default signer for the company %s","%s：请为公司 %s 配置默认签署人",,
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s：请为汇票和公司%s配置序列",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s：请为国际转账和公司 %s 配置序列",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s：请为国际直接借记和公司 %s 配置序列",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s：请为国际资金转账和公司 %s 配置序列",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s：请为国内资金转账和公司 %s 配置序列",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s：请为其他银行订单和公司 %s 配置序列",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s：请为SEPA转账和公司 %s 配置序列",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s ：请为SEPA直接借记和公司 %s 配置序列",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s ：请为公司 %s 的外部银行间转账配置账户",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s ：请为公司 %s 的内部银行间转账配置账户",,
"%s : You must configure bank payment's information for the company %s","%s ：您必须为公司 %s 配置银行支付信息",,
"10 - Bank details IBAN","10 - 银行详情IBAN",,
"10 - Sender bank details type","10 - 发送方银行详情类型",,
"10 - Sequence","10 - 序列号",,
"11 - Bank details code","11 - 银行详情代码",,
"11 - Sender bank details IBAN","11 - 发送方银行详情IBAN",,
"12 - Bank order currency","12 - 银行订单货币",,
"13 - Total","13 - 总计",,
"14 - Sender bank details type","14 - 发送方银行详情类型",,
"15 - Sender bank details IBAN","15 - 发送方银行详情IBAN",,
"16 - Bank order currency","16 - 银行订单货币",,
"16 - Economic reason code","16 - 经济原因代码",,
"17-3 - File format qualifying date","17-3 - 文件格式限定日期",,
"18 - Order debit type index","18 - 订单借方类型索引",,
"18 - Payment mode select","18 - 选择支付方式",,
"19 - Fees imputation mode","19 - 费用归因模式",,
"19 - Order index type","19 - 订单索引类型",,
"20 - Bank order date","20 - 银行订单日期",,
"21 - Currency","21 - 货币",,
