"name";"roles"
"account-bank-root";"Directeur Comptable|Gestionnaire Comptable"
"account-root-bank-orders";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-direct-debit";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-sepa-direct-debit";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-international-direct-debit";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-credit-transfer";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account.bank.order.sepa.credit.transfert";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-international-credit-transfer";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-bank-to-bank-transfer";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-sepa-bank-to-bank-transfer";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-international-bank-to-bank-transfer";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-send-a-bank-order";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-order-awaiting-for-signature";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-statement";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-statement-bank-statement";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-reconciliation";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-reconciliation-bank-reconciliation";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-root-bank-reconciliation-bank-reconciliation-line";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-bank-order";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-bank-order-bank-order-file-format";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-bank-order-bank-order-economic-reason";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-ebics";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-ebics-ebics-user";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-ebics-ebics-partner";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-ebics-ebics-bank";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-ebics-ebics-certificate";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"admin-root-batch-bank-payment";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
"account-conf-ebics-bank-statement-file-format";"Directeur Comptable|Gestionnaire Comptable|Assistant comptable"
