"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.bankpayment.BankOrder.rwc";"com.axelor.apps.bankpayment.db.BankOrder";"x";"x";"x";;;"self.senderCompany.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire Comptable"
"perm.bankpayment.BankOrderFileFormat.rwc";"com.axelor.apps.bankpayment.db.BankOrderFileFormat";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankPaymentBatch.rwc";"com.axelor.apps.bankpayment.db.BankPaymentBatch";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire Comptable"
"perm.bankpayment.BankPaymentConfig.rwc";"com.axelor.apps.bankpayment.db.BankPaymentConfig";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankStatement.rwc";"com.axelor.apps.bankpayment.db.BankStatement";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankOrderEconomicReason.rwc";"com.axelor.apps.bankpayment.db.BankOrderEconomicReason";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsPartnerService.rwc";"com.axelor.apps.bankpayment.db.EbicsPartnerService";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsBank.rwc";"com.axelor.apps.bankpayment.db.EbicsBank";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankStatementFileFormat.rwc";"com.axelor.apps.bankpayment.db.BankStatementFileFormat";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsTransferState.rwc";"com.axelor.apps.bankpayment.db.EbicsTransferState";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsUser.rwc";"com.axelor.apps.bankpayment.db.EbicsUser";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsRequestLog.rwc";"com.axelor.apps.bankpayment.db.EbicsRequestLog";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsPartner.rwc";"com.axelor.apps.bankpayment.db.EbicsPartner";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankStatementLine.rwc";"com.axelor.apps.bankpayment.db.BankStatementLine";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankStatementLineAFB120.rwc";"com.axelor.apps.bankpayment.db.BankStatementLineAFB120";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.EbicsCertificate.rwc";"com.axelor.apps.bankpayment.db.EbicsCertificate";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankReconciliation.rwc";"com.axelor.apps.bankpayment.db.BankReconciliation";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire Comptable"
"perm.bankpayment.BankOrderLine.rwc";"com.axelor.apps.bankpayment.db.BankOrderLine";"x";"x";"x";;;"self.receiverCompany.id in (?)";"__user__.companySet.id.plus(0)";"Gestionnaire Comptable"
"perm.bankpayment.BankReconciliationLine.rwc";"com.axelor.apps.bankpayment.db.BankReconciliationLine";"x";"x";"x";;;;;"Gestionnaire Comptable"
"perm.bankpayment.BankOrder.rwcde";"com.axelor.apps.bankpayment.db.BankOrder";"x";"x";"x";"x";"x";"self.senderCompany.id in (?)";"__user__.companySet.id.plus(0)";"Directeur Comptable"
"perm.bankpayment.BankOrderFileFormat.rwcde";"com.axelor.apps.bankpayment.db.BankOrderFileFormat";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.BankPaymentBatch.rwcde";"com.axelor.apps.bankpayment.db.BankPaymentBatch";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Directeur Comptable"
"perm.bankpayment.BankPaymentConfig.rwcde";"com.axelor.apps.bankpayment.db.BankPaymentConfig";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.BankStatement.rwcde";"com.axelor.apps.bankpayment.db.BankStatement";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.BankOrderEconomicReason.rwcde";"com.axelor.apps.bankpayment.db.BankOrderEconomicReason";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsPartnerService.rwcde";"com.axelor.apps.bankpayment.db.EbicsPartnerService";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsBank.rwcde";"com.axelor.apps.bankpayment.db.EbicsBank";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.BankStatementFileFormat.rwcde";"com.axelor.apps.bankpayment.db.BankStatementFileFormat";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsTransferState.rwcde";"com.axelor.apps.bankpayment.db.EbicsTransferState";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsUser.rwcde";"com.axelor.apps.bankpayment.db.EbicsUser";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsRequestLog.rwcde";"com.axelor.apps.bankpayment.db.EbicsRequestLog";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsPartner.rwcde";"com.axelor.apps.bankpayment.db.EbicsPartner";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.BankStatementLine.rwcde";"com.axelor.apps.bankpayment.db.BankStatementLine";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.BankStatementLineAFB120.rwcde";"com.axelor.apps.bankpayment.db.BankStatementLineAFB120";"x";"x";"x";"x";"x";;;"Directeur Comptable"
"perm.bankpayment.EbicsCertificate.rwcde";"com.axelor.apps.bankpayment.db.EbicsCertificate";"x";"x";"x";"x";"x";;;"Directeur Comptable"
