"importId";"code";"name";"_activeTaxLine";"taxType.importId"
"1";"N_C";"Output VAT (S) standard rate";"11";1
"2";"R1_C";"Output VAT (S) reduced rate 10%";"12";1
"3";"R2_C";"Output VAT (S) reduced rate 5.5%";"3";1
"4";"U_C";"Output VAT (S) ultra-reduced rate";"4";1
"5";"X_C";"VAT Exempted on Sales";"5";1
"6";"UE_X_C";"VAT Exempted (S) Intra. Com. Deliv.";"15";1
"7";"EXP_X_C";"VAT Exempted (S) Export";"16";1
"8";"N_D";"Input VAT (P) standard rate";"13";1
"9";"R1_D";"Input VAT (P) reduced rate 10%";"14";1
"10";"R2_D";"Input VAT (P) reduced rate 5.5%";"8";1
"11";"U_D";"Input VAT (P) ultra-reduced rate";"9";1
"12";"X_D";"VAT Exempted on Purchases";"10";1
"13";"UE_N_D";"Input Intracom. VAT (P) rate N";"18";1
"14";"UE_R1_D";"Input Intracom. VAT (P) rate R 10%";"20";1
"15";"UE_R2_D";"Input Intracom. VAT (P) rate R 5.5%";"21";1
"16";"UE_U_D";"Input Intracom. VAT (P) rate UR";"22";1
"17";"UE_X_D";"VAT Exempted Intracom. (P)";"23";1
"18";"IMP_X_D";"VAT Exempted (P) Import";"24";1
"19";"UE_N_D_REV";"Input Reverse Intracom. VAT (P) rate N";"25";1
"20";"UE_R1_D_REV";"Input Reverse Intracom. VAT (P) rate R 10%";"26";1
"21";"UE_R2_D_REV";"Input Reverse Intracom. VAT (P) rate R 5.5%";"27";1
"22";"UE_U_D_REV";"Input Reverse Intracom. VAT (P) rate UR";"28";1
