"importId";"department";"floor";"streetName";"postBox";"country.alpha3Code";"zip";"cityName";countrySubDivision
1;"";"";"90 PLACE DE L'HOTEL DE VILLE";"";"FRA";"01000";"BOURG-EN-BRESSE";
20;"";"";"97 AVENUE DU GENERAL LECLERC";"";"FRA";"02000";"LAON";
30;"";"";"73 AVENUE PIERRE ET MARIE CURIE";"";"FRA";"03000";"MOULINS";
40;"";"";"44 PLACE GENERAL DE GAULLE";"";"FRA";"04000";"DIGNE-LES-BAINS";
50;"";"";"48 RUE DU COLONEL ROUX";"";"FRA";"05000";"GAP";
60;"";"";"71 RUE DE L'HOTEL DE VILLE";"";"FRA";"06000";"NICE";
61;"";"";"70 BD VICTOR HUGO";"";"FRA";"06000";"NICE";
62;"";"";"70 RUE PASTORELLI";"";"FRA";"06000";"NICE";
63;"";"";"16 RUE DU MARECHAL JOFFRES";"";"FRA";"06000";"NICE";
64;"";"";"14 AVENUE THIERS";"";"FRA";"06000";"NICE";
65;"";"";"32 RUE DE PARIS";"";"FRA";"06000";"NICE";
66;"";"";"63 BD CARABACEL";"";"FRA";"06000";"NICE";
67;"";"";"6 BD GAMBETTA";"";"FRA";"06000";"NICE";
70;"";"";"44 PLACE DE L HOTEL DE VILLE";"";"FRA";"07000";"PRIVAS";
80;"";"";"36 PLACE DU THEATRE";"";"FRA";"08000";"CHARLEVILLE-MEZIERES";
90;"";"";"AVENUE DU GENERAL LECLERC";"";"FRA";"09000";"FOIX";
100;"";"";"92 PLACE ALEXANDRE ISRAEL";"";"FRA";"10000";"TROYES";
110;"";"";"47 RUE DE VERDUN";"";"FRA";"11000";"CARCASSONNE";
120;"";"";"17 PLACE EUGENE RAYNALDY";"";"FRA";"12000";"RODEZ";
140;"";"";"22 ESPLANADE JEAN MARIE LOUVEL";"";"FRA";"14000";"CAEN";
150;"";"";"47 PLACE DE L HOTEL DE VILLE";"";"FRA";"15000";"AURILLAC";
160;"";"";"97 PLACE DE L HOTEL DE VILLE";"";"FRA";"16000";"ANGOULEME";
170;"";"";"20 PLACE DE L HOTEL DE VILLE";"";"FRA";"17000";"LA ROCHELLE";
180;"";"";"47 11 RUE JACQUES RIMBAULT";"";"FRA";"18000";"BOURGES";
181;"";"";"37 RUE PASTEUR";"";"FRA";"18000";"BOURGES";
190;"";"";"59 10 RUE FELIX VIDALIN";"";"FRA";"19000";"TULLE";
200;"";"";"79 AVENUE ANTOINE SERAFINI";"";"FRA";"20000";"AJACCIO";
