"importId";"name";"templateLink";"modelName";"format"
"1";"Message";"MessagePDF.rptdesign";"com.axelor.message.db.Message";"pdf"
"2";"ClientSituation";"ClientSituation.rptdesign";"com.axelor.apps.base.db.Partner";"pdf"
"3";"CompanyPhoneBook";"CompanyPhoneBook.rptdesign";"com.axelor.apps.base.db.Company";"pdf"
"4";"Employee";"Employee.rptdesign";"com.axelor.apps.hr.db.Employee";"pdf"
"5";"Expense";"Expense.rptdesign";"com.axelor.apps.hr.db.Expense";"pdf"
"6";"Inventory";"Inventory.rptdesign";"com.axelor.apps.stock.db.Inventory";"pdf"
"7";"Invoice";"Invoice.rptdesign";"com.axelor.apps.account.db.Invoice";"pdf"
"8";"Lead";"Lead.rptdesign";"com.axelor.apps.crm.db.Lead";"pdf"
"9";"ManufOrder";"ManufOrder.rptdesign";"com.axelor.apps.production.db.ManufOrder";"pdf"
"10";"Journal des encaissements";"AccountingReportType1.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"11";"Grand livre";"AccountingReportType2.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"12";"Balance";"AccountingReportType3.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"13";"Balance âgée";"AccountingReportType4.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"14";"Bordereau de remise de chèque";"AccountingReportType5.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"15";"Récapitulation des reçus espèces";"AccountingReportType10.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"16";"Journal";"AccountingReportType11.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"17";"Différences paiement";"AccountingReportType12.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"18";"Etat TVA";"AccountingReportType13.rptdesign";"com.axelor.apps.account.db.AccountingReport";"pdf"
"19";"OperationOrder";"OperationOrder.rptdesign";"com.axelor.apps.production.db.OperationOrder";"pdf"
"20";"Partner";"Partner.rptdesign";"com.axelor.apps.base.db.Partner";"pdf"
"21";"PaymentVoucher";"PaymentVoucher.rptdesign";"com.axelor.apps.account.db.PaymentVoucher";"pdf"
"22";"ProductCatalog_PGQL";"ProductCatalog_PGQL.rptdesign";"com.axelor.apps.base.db.Product";"pdf"
"23";"ProductSheet";"ProductSheet.rptdesign";"com.axelor.apps.base.db.Product";"pdf"
"24";"Project";"Project.rptdesign";"com.axelor.apps.project.db.Project";"pdf"
"25";"PurchaseOrder";"PurchaseOrder.rptdesign";"com.axelor.apps.purchase.db.PurchaseOrder";"pdf"
"26";"SaleOrder";"SaleOrder.rptdesign";"com.axelor.apps.sale.db.SaleOrder";"pdf"
"27";"StockLocation";"StockLocation.rptdesign";"com.axelor.apps.stock.db.StockLocation";"pdf"
"28";"StockMove";"StockMove.rptdesign";"com.axelor.apps.stock.db.StockMove";"pdf"
"29";"Timesheet";"Timesheet.rptdesign";"com.axelor.apps.hr.db.Timesheet";"pdf"
"30";"Recouvrement";"PaymentReminder.rptdesign";"com.axelor.apps.account.db.DebtRecovery";"pdf"
"31";"NoteBills";"NoteBills.rptdesign";"com.axelor.apps.account.db.NoteBills";"pdf"
