"importId";"birtTemplate.importId";"name";"value";"type"
33;10;"__locale";"fr_FR";"string"
35;10;"AccountingReportId";"$accountingReport.id$";"decimal"
36;11;"__locale";"fr_FR";"string"
38;11;"AccountingReportId";"$accountingReport.id$";"decimal"
39;12;"__locale";"fr_FR";"string"
41;12;"AccountingReportId";"$accountingReport.id$";"decimal"
42;13;"__locale";"fr_FR";"string"
44;13;"AccountingReportId";"$accountingReport.id$";"decimal"
45;14;"__locale";"fr_FR";"string"
47;14;"AccountingReportId";"$accountingReport.id$";"decimal"
48;15;"__locale";"fr_FR";"string"
50;15;"AccountingReportId";"$accountingReport.id$";"decimal"
51;16;"__locale";"fr_FR";"string"
53;16;"AccountingReportId";"$accountingReport.id$";"decimal"
54;17;"__locale";"fr_FR";"string"
56;17;"AccountingReportId";"$accountingReport.id$";"decimal"
57;18;"__locale";"fr_FR";"string"
59;18;"AccountingReportId";"$accountingReport.id$";"decimal"
79;24;"__locale";"fr_FR";"string"
81;24;"ProjectId";"$project.id$";"decimal"
