key,message,language
$budgetExceedAlert,$budgetExceedAlert,de
"<><Badge bg=""warning"">You need to save the budget before manage budget lines on periods</Badge></>","<><Badge bg=""warning"">Sie müssen das Budget speichern, bevor Sie Budgetlinien in Perioden verwalten</Badge></>",de
"<span class='label label-warning'>To activate this option, you need to disable budget key first in account configurations of companies.</span>","<span class='label label-warning'>Um diese Option zu aktivieren, müssen Sie zuerst den Budgetschlüssel in den Kontokonfigurationen der Unternehmen deaktivieren.</span>",de
"<span class='label label-warning'>To activate this option, you need to disable project management first in budget configuration.</span>","<span class='label label-warning'>Um diese Option zu aktivieren, müssen Sie zunächst die Projektverwaltung in der Budgetkonfiguration deaktivieren.</span>",de
A budget date is missing,Es fehlt ein Budgetdatum,de
"A budget distribution has already been generated. By launching this action, the budget distribution table will be cleared and re-computed. Do you want to proceed ?","Es wurde bereits eine Budgetverteilung erstellt. Wenn Sie diese Aktion starten, wird die Budgetverteilungstabelle geleert und neu berechnet. Möchten Sie fortfahren?",de
Account,Konto,de
Account configuration,Konto-Konfiguration,de
Account model,Kontomodell,de
Account models,Kontomodelle,de
Account move,Konto verschieben,de
Account(s),Konto(s),de
Accounting.Account,Accounting.Account,de
AccountingReportType25.balance,AccountingReportType25.balance,de
AccountingReportType25.company,AccountingReportType25.company,de
AccountingReportType25.currency,AccountingReportType25.currency,de
AccountingReportType25.date,AccountingReportType25.date,de
AccountingReportType25.expectedAmt,AccountingReportType25.expectedAmt,de
AccountingReportType25.expenditure,AccountingReportType25.expenditure,de
AccountingReportType25.from,AccountingReportType25.from,de
AccountingReportType25.gap,AccountingReportType25.gap,de
AccountingReportType25.realizedAmt,AccountingReportType25.realizedAmt,de
AccountingReportType25.revenue,AccountingReportType25.revenue,de
AccountingReportType25.revenueOrExpenditure,AccountingReportType25.revenueOrExpenditure,de
AccountingReportType25.title,AccountingReportType25.title,de
AccountingReportType25.to,AccountingReportType25.to,de
AccountingReportType25.totalExpenditure,AccountingReportType25.totalExpenditure,de
AccountingReportType25.totalRevenue,AccountingReportType25.totalRevenue,de
AccountingReportType25.year,AccountingReportType25.year,de
Active,Aktiv,de
Active Version,Aktive Version,de
Active version expected amounts line,Aktive Version erwartete Beträge Zeile,de
Advance export budget,Vorgezogenes Ausfuhrbudget,de
Advance export budget level,Voraussichtliche Höhe des Ausfuhrbudgets,de
Advance export budget line,Haushaltslinie für vorgezogene Ausfuhren,de
Advance export global budget,Vorgezogene Ausfuhr Globalbudget,de
All,Alle,de
Amount,Betrag,de
Amount for each line,Betrag für jede Zeile,de
Analytic Axis By Company,Analytische Achse nach Unternehmen,de
Analytic Axis By company,Analytische Achse Nach Unternehmen,de
Analytic account,Analytisches Konto,de
Analytic axis,Analytische Achse,de
App,App,de
App budget,App-Budget,de
Apply to all,Gelten für alle,de
Archived,Archiviert,de
Assigned amount,Zugewiesener Betrag,de
Auto,Auto,de
Automatic budget computation,Automatische Budgetberechnung,de
Available Amount,Verfügbarer Betrag,de
Available amount,Verfügbarer Betrag,de
Available amount with simulated,Verfügbarer Betrag mit simuliertem,de
Available amount with simulated moves,Verfügbarer Betrag mit simulierten Zügen,de
Budget,Haushalt,de
Budget Distribution,Haushaltsverteilung,de
Budget Generator,Budget-Generator,de
Budget Level,Haushaltsebene,de
Budget Levels,Haushaltsebenen,de
Budget Line,Haushaltslinie,de
Budget Lines,Haushaltslinien,de
Budget Scenario,Budget-Szenario,de
Budget Scenario Line,Haushaltsszenario Zeile,de
Budget Scenario Lines,Haushaltsszenario-Linien,de
Budget Scenario Value,Haushaltsszenario Wert,de
Budget Scenario Variable,Haushaltsszenario Variable,de
Budget Scenario Variable %s,Haushaltsszenario Variable %s,de
Budget Structure,Haushaltsstruktur,de
Budget Version,Budget Version,de
Budget amount available,Verfügbarer Haushaltsbetrag,de
Budget dates,Haushaltsdaten,de
Budget distribution,Verteilung des Haushalts,de
Budget distribution generated,Erstellte Budgetverteilung,de
Budget distribution has not been configured. It is required for the rest of the process.,Die Budgetverteilung wurde nicht konfiguriert. Sie ist für den Rest des Prozesses erforderlich.,de
Budget distribution imputed,Berechnete Budgetverteilung,de
Budget distribution role,Rolle der Budgetverteilung,de
