key,message,language
"<>
  <Box d=""flex"" alignItems=""center"">
    <Icon icon={""exclamation-triangle""} />
    <span>{_t(""The scheduler service is disabled."")}</span>
  </Box>
</>","<>
  <Box d=""flex"" alignItems=""center"">
    <Icon icon={""exclamation-triangle""} />
    <span>{_t(""Der Scheduler-Dienst ist deaktiviert."")}</span>
  </Box>
</>",de
"<>
  <Box flexDirection=""row"" alignItems=""baseline"" d=""flex"" g={2}>
    <Icon icon={""info-circle""} />
    <Box alignSelf=""center"">
      {_t(""When making the theme available to users, make sure that the name is unique."")}
    </Box>
  </Box>
</>","<>
  <Box flexDirection=""row"" alignItems=""baseline"" d=""flex"" g={2}>
    <Icon icon={""info-circle""} />
    <Box alignSelf=""center"">
      {_t(""Wenn Sie das Thema den Benutzern zur Verfügung stellen, achten Sie darauf, dass der Name eindeutig ist."")}
    </Box>
  </Box>
</>",de
A theme with the same name already exist. It may create conflicts. Are you sure you want to continue?,"Ein Thema mit demselben Namen existiert bereits. Dies kann zu Konflikten führen. Sind Sie sicher, dass Sie fortfahren möchten?",de
A views restoring is already in progress. Please wait until it ends and try again.,"Eine Wiederherstellung der Ansichten ist bereits im Gange. Bitte warten Sie, bis sie beendet ist und versuchen Sie es erneut.",de
Access error,Zugriffsfehler,de
Action,Aktion,de
Action Menu,Menü Aktion,de
Action Menus,Aktionsmenüs,de
Action name can't be changed.,Der Aktionsname kann nicht geändert werden.,de
Actions,Aktionen,de
Activate on,Aktivieren am,de
Activate the user from the specified date.,Aktivieren Sie den Benutzer ab dem angegebenen Datum.,de
Active,Aktiv,de
Address,Adresse,de
Administration,Verwaltung,de
All Actions,Alle Aktionen,de
All Charts,Alle Diagramme,de
All Custom Views,Alle benutzerdefinierten Ansichten,de
All Documents,Alle Dokumente,de
All Menu Help,Alle Menü-Hilfe,de
All Menus,Alle Menüs,de
All Models,Alle Modelle,de
All Modules,Alle Module,de
All Schedules,Alle Zeitpläne,de
All Selects,Alle Auswahlen,de
All Teams,Alle Teams,de
All Themes,Alle Themen,de
All Translations,Alle Übersetzungen,de
All View Help,Alle anzeigen Hilfe,de
All Views,Alle Ansichten,de
All jobs have been restarted.,Alle Aufträge wurden neu gestartet.,de
All the customizations will be lost. Are you sure?,Alle Anpassungen gehen dann verloren. Sind Sie sicher?,de
All views have been restored (%s).,Alle Ansichten wurden wiederhergestellt (%s).,de
Allow,Erlauben Sie,de
Allow this theme to be used by users,"Zulassen, dass dieses Thema von Benutzern verwendet wird",de
Always,Immer,de
Amber,Bernstein,de
An unique permission name.,Ein eindeutiger Berechtigungsname.,de
Application,Anmeldung,de
Archived,Archiviert,de
Assigned to,Zugewiesen an,de
Attached to,Angeschlossen an,de
Attributes,Attribute,de
Attrs,Attrs,de
Author,Autor,de
Authorization,Autorisierung,de
Authorized roles,Autorisierte Rollen,de
Auto,Auto,de
Available for users,Verfügbar für Benutzer,de
Black,Schwarz,de
Block the user,Den Benutzer sperren,de
Block the user for an indefinite period.,Sperre des Benutzers auf unbestimmte Zeit.,de
Blue,Blau,de
Blue Grey,Blau Grau,de
Body,Körper,de
Boolean,Boolesche,de
Brown,Braun,de
Button,Schaltfläche,de
Calendar,Kalender,de
Can customize,Anpassen können,de
Can read,Kann lesen,de
Can share,Kann teilen,de
Can write,Kann schreiben,de
Canceled,Abgesagt,de
Cannot delete a task while scheduler is running...,"Kann eine Aufgabe nicht löschen, während der Planer läuft...",de
Cards,Karten,de
Category,Kategorie,de
