key,message,language
% in paper format,% im Papierformat,de
"%d expense treated successfully,","%d Ausgaben erfolgreich behandelt,",de
"%d expenses treated successfully,","%d Ausgaben erfolgreich behandelt,",de
%d leave reason(s) treated and %d anomaly(ies) reported !,%d behandelte(r) Urlaubsgrund(e) und %d gemeldete(r) Anomalie(n) !,de
%s date is invalid. It must be included in the timesheet's period.,Das Datum %s ist ungültig. Es muss in den Zeitraum des Stundenzettels einbezogen werden.,de
6 days week,6 Tage Woche,de
"<><Badge bg=""warning"">At least one line of this expense exceeds the authorised amount for its type of expense.</Badge></>","<><Badge bg=""warning"">Mindestens eine Zeile dieser Ausgabe übersteigt den zulässigen Betrag für ihre Ausgabenart.</Badge></>",de
A leave line will be created automatically every month for concerned employee if automatic incrementation is enabled.,"Wenn die automatische Erhöhung aktiviert ist, wird für den betreffenden Mitarbeiter jeden Monat automatisch eine Urlaubszeile erstellt.",de
A leave line will be created automatically every year for concerned employee if automatic incrementation is enabled.,"Wenn die automatische Erhöhung aktiviert ist, wird jedes Jahr automatisch eine Urlaubslinie für den betreffenden Mitarbeiter erstellt.",de
A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.,"Es wurde bereits ein Urlaubsantrag für diesen Zeitraum oder einen Teil dieses Zeitraums angenommen. Bitte stornieren Sie den vorherigen Antrag, um diesen zu akzeptieren.",de
A new planning time has been created.,Es wurde eine neue Planungszeit erstellt.,de
A project planning time already exists. Do you want to update it?,Es gibt bereits eine Projektplanungszeit. Möchten Sie sie aktualisieren?,de
ADD A LINE,ZEILE HINZUFÜGEN,de
Absent,Abwesend,de
Account information,Informationen zum Konto,de
Accounting,Buchhaltung,de
Acquired,Erworben,de
Action,Aktion,de
Actions,Aktionen,de
Activate MyHR enables the HR menu entries for employees.,"Aktivieren Sie MyHR, um die HR-Menüeinträge für Mitarbeiter zu aktivieren.",de
Active,Aktiv,de
Active employee,Aktiver Mitarbeiter,de
Active employees,Aktive Mitarbeiter,de
Activity,Tätigkeit,de
Activity on timesheet line is not enabled.,Die Aktivität in der Zeile des Stundenzettels ist nicht aktiviert.,de
Add a line,Eine Zeile hinzufügen,de
Add an advance,Einen Vorschuss hinzufügen,de
Add lines,Zeilen hinzufügen,de
Add multiple lines,Mehrere Zeilen hinzufügen,de
Add to expense,Zu den Ausgaben hinzufügen,de
Advance,Vorschuss,de
Advance management,Vorgezogene Verwaltung,de
Afternoon,Nachmittag,de
Alert if the manuf. order is finish,"Warnung, wenn der Fertigungsauftrag beendet ist",de
All,Alle,de
All allocation lines,Alle Zuweisungslinien,de
All companies,Alle Unternehmen,de
All extra hours,Alle Überstunden,de
All lines must have the same currency.,Alle Zeilen müssen die gleiche Währung haben.,de
All lines must have the same employee.,Alle Linien müssen denselben Mitarbeiter haben.,de
All remaining leaves will be transferred to the selected leave type. Only incremental type can be chosen.,Alle verbleibenden Urlaubstage werden auf die ausgewählte Urlaubsart übertragen. Es kann nur eine inkrementelle Art gewählt werden.,de
All timesheets,Alle Zeiterfassungsbögen,de
Allocated,Zuteilung,de
Allocated time,Zugewiesene Zeit,de
Allocation Year,Zuteilung Jahr,de
Allocation line,Zuweisungslinie,de
Allocation lines,Zuweisungslinien,de
Allocation period,Zuteilungszeitraum,de
Allocation periods,Zuweisungszeiträume,de
Allocation year,Zuweisungsjahr,de
