"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.meta.all";"com.axelor.meta.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.mail.all";"com.axelor.mail.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.dms.all";"com.axelor.dms.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.auth.all";"com.axelor.auth.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.team.all";"com.axelor.team.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.base.all";"com.axelor.apps.base.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.base.Wizard.r";"com.axelor.apps.base.db.Wizard";"x";;;;;;;"role.base.r"
"perm.base.Product.r";"com.axelor.apps.base.db.Product";"x";;;;;;;"role.base.r"
"perm.base.App.r";"com.axelor.apps.base.db.App";"x";;;;;;;"role.base.r"
"perm.base.AppBpm.r";"com.axelor.apps.base.db.AppBpm";"x";;;;;;;"role.base.r"
"perm.base.Region.r";"com.axelor.apps.base.db.Region";"x";;;;;;;"role.base.r"
"perm.base.AppSale.r";"com.axelor.apps.base.db.AppSale";"x";;;;;;;"role.base.r"
"perm.base.TemplateContextLine.r";"com.axelor.apps.base.db.TemplateContextLine";"x";;;;;;;"role.base.r"
"perm.base.AppProduction.r";"com.axelor.apps.base.db.AppProduction";"x";;;;;;;"role.base.r"
"perm.base.ImportConfiguration.r";"com.axelor.apps.base.db.ImportConfiguration";"x";;;;;;;"role.base.r"
"perm.base.Company.r";"com.axelor.apps.base.db.Company";"x";;;;;"self.parent in (?)";"__user__.companySet";"role.base.r"
"perm.base.Canton.r";"com.axelor.apps.base.db.Canton";"x";;;;;;;"role.base.r"
"perm.base.ProductVariantValue.r";"com.axelor.apps.base.db.ProductVariantValue";"x";;;;;;;"role.base.r"
"perm.base.Currency.r";"com.axelor.apps.base.db.Currency";"x";;;;;;;"role.base.r"
"perm.base.AppPurchase.r";"com.axelor.apps.base.db.AppPurchase";"x";;;;;;;"role.base.r"
"perm.base.AppAccount.r";"com.axelor.apps.base.db.AppAccount";"x";;;;;;;"role.base.r"
"perm.base.Unit.r";"com.axelor.apps.base.db.Unit";"x";;;;;;;"role.base.r"
"perm.base.Bank.r";"com.axelor.apps.base.db.Bank";"x";;;;;;;"role.base.r"
"perm.base.Source.r";"com.axelor.apps.base.db.Source";"x";;;;;;;"role.base.r"
"perm.base.SequenceVersion.r";"com.axelor.apps.base.db.SequenceVersion";"x";;;;;;;"role.base.r"
"perm.base.ProductVariantAttr.r";"com.axelor.apps.base.db.ProductVariantAttr";"x";;;;;;;"role.base.r"
"perm.base.ShippingCoef.r";"com.axelor.apps.base.db.ShippingCoef";"x";;;;;"self.company in (?)";"__user__.companySet";"role.base.r"
"perm.base.AppTraining.r";"com.axelor.apps.base.db.AppTraining";"x";;;;;;;"role.base.r"
"perm.base.CalendarConfiguration.r";"com.axelor.apps.base.db.CalendarConfiguration";"x";;;;;;;"role.base.r"
"perm.base.Department.r";"com.axelor.apps.base.db.Department";"x";;;;;;;"role.base.r"
"perm.base.AddressExport.r";"com.axelor.apps.base.db.AddressExport";"x";;;;;;;"role.base.r"
"perm.base.AppMarketing.r";"com.axelor.apps.base.db.AppMarketing";"x";;;;;;;"role.base.r"
"perm.base.AppPurchaseRequest.r";"com.axelor.apps.base.db.AppPurchaseRequest";"x";;;;;;;"role.base.r"
"perm.base.EventsPlanningLine.r";"com.axelor.apps.base.db.EventsPlanningLine";"x";;;;;;;"role.base.r"
"perm.base.Language.r";"com.axelor.apps.base.db.Language";"x";;;;;;;"role.base.r"
"perm.base.Querie.r";"com.axelor.apps.base.db.Querie";"x";;;;;;;"role.base.r"
"perm.base.Territory.r";"com.axelor.apps.base.db.Territory";"x";;;;;;;"role.base.r"
"perm.base.PartnerPriceList.r";"com.axelor.apps.base.db.PartnerPriceList";"x";;;;;;;"role.base.r"
"perm.base.AlarmEngine.r";"com.axelor.apps.base.db.AlarmEngine";"x";;;;;;;"role.base.r"
"perm.base.AppBusinessProject.r";"com.axelor.apps.base.db.AppBusinessProject";"x";;;;;;;"role.base.r"
"perm.base.AppExpense.r";"com.axelor.apps.base.db.AppExpense";"x";;;;;;;"role.base.r"
"perm.base.ProductFamily.r";"com.axelor.apps.base.db.ProductFamily";"x";;;;;;;"role.base.r"
"perm.base.AppSupplychain.r";"com.axelor.apps.base.db.AppSupplychain";"x";;;;;;;"role.base.r"
"perm.base.ImportHistory.r";"com.axelor.apps.base.db.ImportHistory";"x";;;;;;;"role.base.r"
"perm.base.RoutingActionCreateLine.r";"com.axelor.apps.base.db.RoutingActionCreateLine";"x";;;;;;;"role.base.r"
"perm.base.Alarm.r";"com.axelor.apps.base.db.Alarm";"x";;;;;;;"role.base.r"
"perm.base.AdjustHistory.r";"com.axelor.apps.base.db.AdjustHistory";"x";;;;;;;"role.base.r"
"perm.base.AppStock.r";"com.axelor.apps.base.db.AppStock";"x";;;;;;;"role.base.r"
"perm.base.Sequence.r";"com.axelor.apps.base.db.Sequence";"x";;;;;"self.company in (?)";"__user__.companySet";"role.base.r"
"perm.base.Year.r";"com.axelor.apps.base.db.Year";"x";;;;;"self.company in (?)";"__user__.companySet";"role.base.r"
"perm.base.Period.r";"com.axelor.apps.base.db.Period";"x";;;;;;;"role.base.r"
"perm.base.AlarmEngineBatch.r";"com.axelor.apps.base.db.AlarmEngineBatch";"x";;;;;;;"role.base.r"
"perm.base.AppAppraisal.r";"com.axelor.apps.base.db.AppAppraisal";"x";;;;;;;"role.base.r"
"perm.base.BankDetails.r";"com.axelor.apps.base.db.BankDetails";"x";;;;;;;"role.base.r"
"perm.base.AppExtraHours.r";"com.axelor.apps.base.db.AppExtraHours";"x";;;;;;;"role.base.r"
"perm.base.CancelReason.r";"com.axelor.apps.base.db.CancelReason";"x";;;;;;;"role.base.r"
"perm.base.AppBankPayment.r";"com.axelor.apps.base.db.AppBankPayment";"x";;;;;;;"role.base.r"
"perm.base.ProductVariantConfig.r";"com.axelor.apps.base.db.ProductVariantConfig";"x";;;;;;;"role.base.r"
"perm.base.AlarmMessage.r";"com.axelor.apps.base.db.AlarmMessage";"x";;;;;;;"role.base.r"
"perm.base.MailBatch.r";"com.axelor.apps.base.db.MailBatch";"x";;;;;"self.company in (?)";"__user__.companySet";"role.base.r"
"perm.base.AppBudget.r";"com.axelor.apps.base.db.AppBudget";"x";;;;;;;"role.base.r"
"perm.base.CalendarManagement.r";"com.axelor.apps.base.db.CalendarManagement";"x";;;;;;;"role.base.r"
"perm.base.City.r";"com.axelor.apps.base.db.City";"x";;;;;;;"role.base.r"
"perm.base.WeeklyPlanning.r";"com.axelor.apps.base.db.WeeklyPlanning";"x";;;;;;;"role.base.r"
"perm.base.Country.r";"com.axelor.apps.base.db.Country";"x";;;;;;;"role.base.r"
"perm.base.PartnerAddress.r";"com.axelor.apps.base.db.PartnerAddress";"x";;;;;;;"role.base.r"
"perm.base.IndustrySector.r";"com.axelor.apps.base.db.IndustrySector";"x";;;;;;;"role.base.r"
"perm.base.PriceListLine.r";"com.axelor.apps.base.db.PriceListLine";"x";;;;;;;"role.base.r"
"perm.base.PriceList.r";"com.axelor.apps.base.db.PriceList";"x";;;;;;;"role.base.r"
"perm.base.AppInvoice.r";"com.axelor.apps.base.db.AppInvoice";"x";;;;;;;"role.base.r"
