"name";"code";"fromDate";"toDate";"year.importId";"statusSelect"
"12/FY 2019";"12/FY 2019_AXELOR";"2019-01-01";"2019-12-31";3;1
"12/FY 2020";"12/FY 2020_AXELOR";"2020-01-01";"2020-12-31";4;1
"12/FY 2021";"12/FY 2021_AXELOR";"2021-01-01";"2021-12-31";5;1
"12/FY 2022";"12/FY 2022_AXELOR";"2022-01-01";"2022-12-31";6;1
"12/CY 2019";"12/CY 2019_AXELOR";"2019-01-01";"2019-12-31";7;1
"12/CY 2020";"12/CY 2020_AXELOR";"2020-01-01";"2020-12-31";8;1
"12/CY 2021";"12/CY 2021_AXELOR";"2021-01-01";"2021-12-31";9;1
"12/CY 2022";"12/CY 2022_AXELOR";"2022-01-01";"2022-12-31";10;1
"12/PY 2019";"12/PY 2019_AXELOR";"2019-01-01";"2019-12-31";11;1
"12/PY 2020";"12/PY 2020_AXELOR";"2020-01-01";"2020-12-31";12;1
"12/PY 2021";"12/PY 2021_AXELOR";"2021-01-01";"2021-12-31";13;1
"12/PY 2022";"12/PY 2022_AXELOR";"2022-01-01";"2022-12-31";14;1
