"importId";"name";"code";"description";"internalDescription";"productSubTypeSelect";"productFamily.importId";"productCategory.importId";"expense";"procurementMethodSelect";"unit.importId";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths";"defaultBillOfMaterial.importId";"managPriceCoef";"picture_fileName";"isActivity";"productVariantConfig.importId";"manageVariantPrice"
1;"Server hosting";"SUB-0001";"Dedicated Server i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";"Dedicated Server i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";;1;1;"false";;105;"service";70;"EUR";"58.1";"EUR";;"TODAY[-5M1d]";;1;63;"false";;"false";;;"1.40";"img/product/SUB-0001.jpg";;;
2;"Annual Maintenance";"SUB-0002";"Software updates, Daily backups, Restore, Ticket support portal";"Software updates, Daily backups, Restore, Ticket support portal";;1;2;"false";;106;"service";2000;"EUR";1460;"EUR";;"TODAY[-5M1d]";;1;1800;"false";;"false";;;"1.40";"img/product/SUB-0002.jpg";;;
100;"Pack Classic";"EQPT-0002";;;1;2;18;"false";"produce";1;"storable";1845;"EUR";;"EUR";;"TODAY[1d]";;3;1661;"false";;"false";;60;"1.40";"img/product/EQPT-0001.jpg";;;
101;"Pack Performance";"EQPT-0001";"Classic Server + Laser Printer + 3 Paper Ream + ";"Classic Server + Laser Printer + 3 Paper Ream + ";1;2;18;"false";"produce";1;"storable";2890;"EUR";;"EUR";;"TODAY[1d]";;3;2601;"false";;"false";;80;"1.40";"img/product/EQPT-0002.jpg";;;
110;"Classic server";"EQPT-0004";"Rack case / Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache / Hard disk SSD SATA 2*2To / RAM : 32 Go / Bandwidth : 200 Mbps / RAID : SOFT - 0/1";"Rack case / Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache / Hard disk SSD SATA 2*2To / RAM : 32 Go / Bandwidth : 200 Mbps / RAID : SOFT - 0/1";2;2;3;"false";"produce";1;"storable";1500;"EUR";1185;"EUR";;"TODAY[-5M1d]";;1;1350;"true";24;"false";;1;"1.40";"img/product/EQPT-0003.jpg";;;
111;"High Performance Server";"EQPT-0003";"Rack case / Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache / Hard disk SSD 2*200 Go / RAM : 64 Go / Bandwidth : 10 Gbps / RAID : SOFT - 0/1";"Rack case / Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache / Hard disk SSD 2*200 Go / RAM : 64 Go / Bandwidth : 10 Gbps / RAID : SOFT - 0/1";2;2;3;"false";"produce";1;"storable";2500;"EUR";2100;"EUR";;"TODAY[-5M1d]";;1;2250;"true";24;"false";;40;"1.40";"img/product/EQPT-0004.jpg";;;
120;"InkJet Printer";"EQPT-0005";"Printer resolution : 1200x1200 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 4800 ppp / Screen : Tactile CGD 10,92 cm";"Printer resolution : 1200x1200 ppp / Printing speed : 20 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : 4800 ppp / Screen : Tactile CGD 10,92 cm";3;2;4;"false";"buy";1;"storable";329;"EUR";"250.04";"EUR";148;"TODAY[-5M1d]";;1;296;"true";12;"false";;;"1.40";"img/product/EQPT-0005.png";;;
121;"Laser Printer";"EQPT-0006";"Printer resolution : 1200x1200 dpi / Printing speed : 33 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : tactile couleur 8,89 cm";"Printer resolution : 1200x1200 dpi / Printing speed : 33 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : tactile couleur 8,89 cm";3;2;4;"false";"buy";1;"storable";429;"EUR";"360.36";"EUR";148;"TODAY[-5M1d]";;1;386;"true";12;"false";;;"1.40";"img/product/EQPT-0006.jpg";;;
130;"LED Screen HD 22 inch";"EQPT-0007";"Max. Resolution : 1920x1080p / Video Input : 2 HDMI, 1 VGA, 1 composite";"Max. Resolution : 1920x1080p / Video Input : 2 HDMI, 1 VGA, 1 composite";3;2;17;"false";"buy";1;"storable";200;"EUR";170;"EUR";148;"TODAY[-4M1d]";;1;180;"true";12;"false";;;"1.40";"img/product/EQPT-0007.jpg";;;
131;"LED Screen HD 24 inch";"EQPT-0008";"Max. Resolution : 1920x1080p / Video Input : 2 HDMI, 1 VGA, 1 composite";"Max. Resolution : 1920x1080p / Video Input : 2 HDMI, 1 VGA, 1 composite";3;2;17;"false";"buy";1;"storable";250;"EUR";"207.5";"EUR";148;"TODAY[-4M1d]";;1;225;"true";12;"false";;;"1.40";"img/product/EQPT-0008.jpg";;;
