"importId";"inseeCode";"name";"nbInhCommune";"canton.code";"department.code";"region.code";"name_delivery";"name_standardized";"zip";"artmin"
"1";"01001";"L'ABERGEMENT-CLEMENCIAT";"777";;"01";"84";"L ABERGEMENT CLEMENCIAT";"L ABERGEMENT CLEMENCIAT";"01400";
"2";"01002";"L'ABERGEMENT-DE-VAREY";"235";;"01";"84";"L ABERGEMENT DE VAREY";"L ABERGEMENT DE VAREY";"01640";
"3";"01004";"AMBERIEU-EN-BUGEY";"14233";;"01";"84";"AMBERIEU EN BUGEY";"AMBERIEU EN BUGEY";"01500";
"4";"01005";"AMBERIEUX-EN-DOMBES";"1642";;"01";"84";"AMBERIEUX EN DOMBES";"AMBERIEUX EN DOMBES";"01330";
"5";"01006";"AMBLEON";"110";;"01";"84";"AMBLEON";"AMBLEON";"01300";
"6";"01007";"AMBRONAY";"2437";;"01";"84";"AMBRONAY";"AMBRONAY";"01500";
"7";"01008";"AMBUTRIX";"739";;"01";"84";"AMBUTRIX";"AMBUTRIX";"01500";
"8";"01009";"ANDERT-ET-CONDON";"338";;"01";"84";"ANDERT ET CONDON";"ANDERT ET CONDON";"01300";
"9";"01010";"ANGLEFORT";"1069";;"01";"84";"ANGLEFORT";"ANGLEFORT";"01350";
"10";"01011";"APREMONT";"385";;"01";"84";"APREMONT";"APREMONT";"01100";
"11";"01012";"ARANC";"311";;"01";"84";"ARANC";"ARANC";"01110";
"12";"01013";"ARANDAS";"160";;"01";"84";"ARANDAS";"ARANDAS";"01230";
"13";"01014";"ARBENT";"3440";;"01";"84";"ARBENT";"ARBENT";"01100";
"14";"01015";"ARBIGNIEU";"489";;"01";"84";"ARBOYS EN BUGEY";"ARBOYS EN BUGEY";"01300";
"15";"01016";"ARBIGNY";"414";;"01";"84";"ARBIGNY";"ARBIGNY";"01190";
"16";"01017";"ARGIS";"424";;"01";"84";"ARGIS";"ARGIS";"01230";
"17";"01019";"ARMIX";"20";;"01";"84";"ARMIX";"ARMIX";"01510";
"18";"01021";"ARS-SUR-FORMANS";"1380";;"01";"84";"ARS SUR FORMANS";"ARS SUR FORMANS";"01480";
"19";"01022";"ARTEMARE";"1175";;"01";"84";"ARTEMARE";"ARTEMARE";"01510";
"20";"01023";"ASNIERES-SUR-SAONE";"72";;"01";"84";"ASNIERES SUR SAONE";"ASNIERES SUR SAONE";"01570";
"21";"01024";"ATTIGNAT";"3110";;"01";"84";"ATTIGNAT";"ATTIGNAT";"01340";
"22";"01025";"BAGE-LA-VILLE";"3130";;"01";"84";"BAGE LA VILLE";"BAGE LA VILLE";"01380";
"23";"01026";"BAGE-LE-CHATEL";"829";;"01";"84";"BAGE LE CHATEL";"BAGE LE CHATEL";"01380";
"24";"01027";"BALAN";"2785";;"01";"84";"BALAN";"BALAN";"01360";
"25";"01028";"BANEINS";"560";"0122";"01";"84";"BANEINS";"BANEINS";"01990";
"26";"01029";"BEAUPONT";"675";;"01";"84";"BEAUPONT";"BEAUPONT";"01270";
"27";"01030";"BEAUREGARD";"866";;"01";"84";"BEAUREGARD";"BEAUREGARD";"01480";
"28";"01031";"BELLIGNAT";"3642";;"01";"84";"BELLIGNAT";"BELLIGNAT";"01100";
"29";"01032";"BELIGNEUX";"3172";;"01";"84";"BELIGNEUX";"BELIGNEUX";"01360";
"30";"01033";"BELLEGARDE-SUR-VALSERINE";"11590";;"01";"84";"BELLEGARDE SUR VALSERINE";"BELLEGARDE SUR VALSERINE";"01200";
"31";"01034";"BELLEY";"8870";;"01";"84";"BELLEY";"BELLEY";"01300";
"32";"01035";"BELLEYDOUX";"332";;"01";"84";"BELLEYDOUX";"BELLEYDOUX";"01130";
"33";"01036";"BELMONT-LUTHEZIEU";"526";;"01";"84";"BELMONT LUTHEZIEU";"BELMONT LUTHEZIEU";"01260";
"34";"01037";"BENONCES";"277";;"01";"84";"BENONCES";"BENONCES";"01470";
"35";"01038";"BENY";"718";;"01";"84";"BENY";"BENY";"01370";
"36";"01039";"BEON";"429";;"01";"84";"BEON";"BEON";"01350";
"37";"01040";"BEREZIAT";"463";;"01";"84";"BEREZIAT";"BEREZIAT";"01340";
"38";"01041";"BETTANT";"739";;"01";"84";"BETTANT";"BETTANT";"01500";
"39";"01042";"BEY";"260";;"01";"84";"BEY";"BEY";"01290";
"40";"01043";"BEYNOST";"4528";"0113";"01";"84";"BEYNOST";"BEYNOST";"01700";
