"code";"shortName";"isFinal"
"0111Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"true"
"0112Z";"Culture du riz";"true"
"0113Z";"Culture de légumes, de melons, de racines et de tubercules";"true"
"0114Z";"Culture de la canne à sucre";"true"
"0115Z";"Culture du tabac";"true"
"0116Z";"Culture de plantes à fibres";"true"
"0119Z";"Autres cultures non permanentes";"true"
"0121Z";"Culture de la vigne";"true"
"0122Z";"Culture de fruits tropicaux et subtropicaux";"true"
"0123Z";"Culture d'agrumes";"true"
"0124Z";"Culture de fruits à pépins et à noyau";"true"
"0125Z";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque";"true"
"0126Z";"Culture de fruits oléagineux";"true"
"0127Z";"Culture de plantes à boissons";"true"
"0128Z";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques";"true"
"0129Z";"Autres cultures permanentes";"true"
"0130Z";"Reproduction de plantes";"true"
"0141Z";"Élevage de vaches laitières";"true"
"0142Z";"Élevage d'autres bovins et de buffles";"true"
"0143Z";"Élevage de chevaux et d'autres équidés";"true"
"0144Z";"Élevage de chameaux et d'autres camélidés";"true"
"0145Z";"Élevage d'ovins et de caprins";"true"
"0146Z";"Élevage de porcins";"true"
"0147Z";"Élevage de volailles";"true"
"0149Z";"Élevage d'autres animaux";"true"
"0150Z";"Culture et élevage associés";"true"
"0161Z";"Activités de soutien aux cultures";"true"
"0162Z";"Activités de soutien à la production animale";"true"
"0163Z";"Traitement primaire des récoltes";"true"
"0164Z";"Traitement des semences";"true"
"0170Z";"Chasse, piégeage et services annexes";"true"
"0210Z";"Sylviculture et autres activités forestières";"true"
"0220Z";"Exploitation forestière";"true"
"0230Z";"Récolte de produits forestiers non ligneux poussant à l'état sauvage";"true"
"0240Z";"Services de soutien à l'exploitation forestière";"true"
"0311Z";"Pêche en mer";"true"
"0312Z";"Pêche en eau douce";"true"
"0321Z";"Aquaculture en mer";"true"
"0322Z";"Aquaculture en eau douce";"true"
"0510Z";"Extraction de houille";"true"
"0520Z";"Extraction de lignite";"true"
"0610Z";"Extraction de pétrole brut";"true"
"0620Z";"Extraction de gaz naturel";"true"
"0710Z";"Extraction de minerais de fer";"true"
"0721Z";"Extraction de minerais d'uranium et de thorium";"true"
"0729Z";"Extraction d'autres minerais de métaux non ferreux";"true"
"0811Z";"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise";"true"
"0812Z";"Exploitation de gravières et sablières, extraction d’argiles et de kaolin";"true"
"0891Z";"Extraction des minéraux chimiques et d'engrais minéraux ";"true"
"0892Z";"Extraction de tourbe";"true"
"0893Z";"Production de sel ";"true"
"0899Z";"Autres activités extractives n.c.a.";"true"
