"name";"code";"fromDate";"toDate";"year.importId";"statusSelect"
"12/AF 2019";"12/AF 2019_AXELOR";"2019-01-01";"2019-12-31";3;1
"12/AF 2020";"12/AF 2020_AXELOR";"2020-01-01";"2020-12-31";4;1
"12/AF 2021";"12/AF 2021_AXELOR";"2021-01-01";"2021-12-31";5;1
"12/AF 2022";"12/AF 2022_AXELOR";"2022-01-01";"2022-12-31";6;1
"12/AC 2019";"12/AC 2019_AXELOR";"2019-01-01";"2019-12-31";7;1
"12/AC 2020";"12/AC 2020_AXELOR";"2020-01-01";"2020-12-31";8;1
"12/AC 2021";"12/AC 2021_AXELOR";"2021-01-01";"2021-12-31";9;1
"12/AC 2022";"12/AC 2022_AXELOR";"2022-01-01";"2022-12-31";10;1
"12/AP 2019";"12/AP 2019_AXELOR";"2019-01-01";"2019-12-31";11;1
"12/AP 2020";"12/AP 2020_AXELOR";"2020-01-01";"2020-12-31";12;1
"12/AP 2021";"12/AP 2021_AXELOR";"2021-01-01";"2021-12-31";13;1
"12/AP 2022";"12/AP 2022_AXELOR";"2022-01-01";"2022-12-31";14;1
