"key","message","comment","context"
"${fullName} variants","${fullName} Varianten",,
"%D : Day","%D : Tag",,
"%FM : Full Month (01, 02, 03, ...)","%FM: Voller Monat (01, 02, 03,....)",,
"%M : Month (1, 2, 3, ...)","%M: Monat (1, 2, 3,....)",,
"%WY : Week number","%WY : Wochennummer",,
"%YY : Year (17)","%YYY : Jahr (17)",,
"%YYYY : Full Year (2017)","%YYYYYYYYY : Gesamtjahr (2017)",,
"%d anomalies.","%d Anomalien.",,
"%d anomaly.","%d Anomalie.",,
"%d record processed successfully,","%d-Datensatz erfolgreich verarbeitet.",,
"%d records processed successfully,","%d Datensätze erfolgreich verarbeitet.",,
"%s : Path to Birt template is incorrect","%s : Pfad zur Birt Vorlage ist falsch",,
"%s : Please, configure a currency for the company %s","%s : Bitte konfigurieren Sie eine Währung für die Firma %s.",,
"%s SIRET Number required. Please configure SIRET Number for partner %s","%s SIRET Nummer erforderlich. Bitte konfigurieren Sie die SIRET-Nummer für Partner %s.",,
"%s cell is not valid.",,,
"%s configuration file is not exist.",,,
"%s module does not exist.",,,
"%s row must not be empty.",,,
"(AUX)","(AUX)",,
"(L')","(L')",,
"(LA)","(LA)",,
"(LE)","(LE)",,
"(LES)","(LES)",,
"(LOS)","(LOS)",,
"* %s anomaly(ies)","* %s Anomalie(n)",,
"* %s object(s) into alarm","* %s Objekt(e) in den Alarmzustand versetzt",,
"+33000000000",,,
"+33100000000",,,
"- Not null :","- Nicht null :",,
"- Succeeded :","- Erfolgreich:",,
"00",,,
"01",,,
"02",,,
"03",,,
"04",,,
"05",,,
"06",,,
"07",,,
"08",,,
"09",,,
"1",,,
"1 Month","1 Monat",,
"1 Year","1 Jahr",,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",,,
"2",,,
"2 Months","2 Monate",,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",,,
"27",,,
"28",,,
"3",,,
"3 Months","3 Monate",,
"4",,,
"5",,,
"6",,,
"6 Months","6 Monate",,
"7",,,
"8",,,
"9",,,
"<B>%s</B> not found","<B>%s</B> nicht gefunden",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />","<a class='fa fa fa-google-plus' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"<span class='label label-warning'>Invalid IBAN</span>","<span class='label label-warning'>Ungültige IBAN</span>>",,
"<span class='label label-warning'>There is already a partner with this name.</span>","<span class='label label-warning'>Es gibt bereits einen Partner mit diesem Namen.</span>",,
"=","=",,
"A product of type service can't be procured from stock.","Ein Produkt vom Typ Dienstleistung kann nicht aus dem Lager bezogen werden.",,
"A user with this login already exists.","Ein Benutzer mit diesem Login ist bereits vorhanden.",,
"A.T.I. by default","A.T.I. standardmäßig",,
"ARTMIN","ARTMIN",,
"AZTEC","AZTEC",,
"Account Number","Kontonummer",,
"Account config","Account-Konfiguration",,
"Account management","Kundenbetreuung",,
"Account management list","Liste der Kontoführung",,
"Account managements","Kontoführung",,
"Account moves","Kontobewegungen",,
"Accounting","Buchhaltung",,
"Accounting Exports","Buchhaltung Exporte",,
"Accounting configuration","Konfiguration der Buchhaltung",,
"Accounting situation","Buchhaltungssituation",,
"Accounting situations","Buchhaltungssituationen",,
"Accounts Configurations","Konten-Konfigurationen",,
"Accounts configuration","Konfiguration der Konten",,
"Action","Aktion",,
"Action name cannot be null.","Der Name der Aktion darf nicht Null sein.",,
"Actions","Aktionen",,
"Activate bar code generation for products","Barcodegenerierung für Produkte aktivieren",,
"Activate sending email","E-Mail-Versand aktivieren",,
"Active","Aktiv",,
"Active Team","Aktives Team",,
"Active company","Aktives Unternehmen",,
"Active users","Aktive Benutzer",,
"Activities","Aktivitäten",,
"Add Guests","Gäste hinzufügen",,
"Additionnal","Zusätzliche",,
"Address","Adresse",,
"Address certified by QAS engine","Von der QAS-Engine zertifizierte Adresse",,
"Address details","Adressdaten",,
"Address list","Adressliste",,
"Address precisions","Adressgenauigkeit",,
"Addresses","Adressen",,
"Addresses validation","Adressvalidierung",,
"Adjust History","Verlauf anpassen",,
"Adjust period","Zeitraum anpassen",,
"Adjusting","Einstellen",,
"Administration","Verwaltung",,
"Advance Fields Export","Exportieren von erweiterten Feldern",,
"Advanced Export","Erweiterter Export",,
"Advanced export","Erweiterter Export",,
"Advanced export line","Erweiterte Exportlinie",,
"Advanced export lines","Erweiterte Exportlinien",,
"Advanced exports","Erweiterte Exporte",,
"Advanced synchronization","Erweiterte Synchronisation",,
"Afternoon From","Nachmittag von",,
"Alarm","Alarm",,
"Alarm Engine","Alarmmaschine",,
"Alarm Engine %s","Alarmanlage %s",,
"Alarm Message","Alarmmeldung",,
"Alarm Messages","Alarmmeldungen",,
"Alarm batch","Alarmcharge",,
"Alarm batches","Alarmchargen",,
"Alarm engine","Alarmmotor",,
"Alarm engine batch","Alarm Motor Charge",,
"Alarm engine batches","Alarmmotorchargen",,
"Alarm engines","Alarmmaschinen",,
"Alarms","Alarme",,
"Alarms report :","Alarmmeldung :",,
"All Alarms","Alle Alarme",,
"All Clients","Alle Kunden",,
"All Employees","Alle Mitarbeiter",,
"All Enterprises","Alle Unternehmen",,
"All Individuals","Alle Personen",,
"All Messages","Alle Meldungen",,
"All Prospects","Alle Perspektiven",,
"All Suppliers","Alle Lieferanten",,
"All day","Den ganzen Tag",,
"All events","Alle Veranstaltungen",,
"All my calendars","Alle meine Kalender",,
"All tasks","Alle Aufgaben",,
"All teams","Alle Teams",,
"Allow notifications to be sent by email","Ermöglicht das Versenden von Benachrichtigungen per E-Mail.",,
"Allow to force purchases quantities","Erlauben Sie die Erzwingung von Einkaufsmengen",,
"Allow to force sales quantities","Erzwingen von Verkaufsmengen erlauben",,
"Alpha-2 code (ISO)","Alpha-2-Code (ISO)",,
"Alpha-3 code (ISO)","Alpha-3-Code (ISO)",,
"Always A.T.I.","Immer A.T.I.",,
"Always W.T.","Immer W.T.",,
"Amount/%","Menge/%",,
"Analytics","Analytik",,
"Anomalies","Anomalien",,
"Anomaly","Anomalie",,
"App base","App Base",,
"Applicable dates","Gültige Daten",,
"Application","Anwendung",,
"Application begin date","Datum des Bewerbungsbeginns",,
"Application end date","Bewerbungsende Datum",,
"Application start Date","Start der Anwendung Datum",,
"Application type","Anwendungsart",,
"Apply on","Bewerben auf",,
"April","April",,
"Archived","Archiviert",,
"Are you sure wants to replace ?","Bist du sicher, dass du ersetzen willst?",,
"Are you sure you want to start the import?","Sind Sie sicher, dass Sie den Import starten möchten?",,
"Area name","Bereichsname",,
"Article dimension","Artikelabmessung",,
"Article volume","Artikelvolumen",,
"Artmin","Artmin",,
"Assigned to","Zugeordnet zu",,
"Assigned to user","Dem Benutzer zugeordnet",,
"At least one iban code you have entered for this partner is not valid. Here is the list of invalid codes : %s","Mindestens ein Iban-Code, den Sie für diesen Partner eingegeben haben, ist ungültig. Hier ist die Liste der ungültigen Codes : %s",,
"Attached files","Angehängte Dateien",,
"Attachment directory OR Application source does not exist","Anlagenverzeichnis ODER Anwendungsquelle existiert nicht",,
"Attendees","Teilnehmer",,
"Attributes","Attribute",,
"August","August",,
"Authority Partner","Behördenpartner",,
"Authorization","Berechtigung",,
"Availability","Verfügbarkeit",,
"Available","Verfügbar",,
"Average Price","Durchschnittspreis",,
"BBAN","BBAN",,
"BBan Key","BBan Schlüssel",,
"BIC","BIC",,
"BIC (Bank Identifier)","BIC (Bankleitzahl)",,
"Back","Zurück",,
"Balance","Saldo",,
"Bank","Bank",,
"Bank Code","Bankleitzahl",,
"Bank Details","Bankverbindung",,
"Bank Details list","Liste der Bankverbindungen",,
"Bank Identifier Code","Bankleitzahl",,
"Bank Identifier Codes","Bankleitzahlen",,
"Bank Name","Bankname",,
"Bank accounts","Bankkonten",,
"Bank card","Bankkarte",,
"Bank details","Bankverbindung",,
"Bank order config.","Konfiguration des Bankauftrags",,
"Bank payment config","Konfiguration der Bankzahlung",,
"Barcode","Barcode",,
"Barcode Type","Barcode-Typ",,
"Barcode format not supported","Barcode-Format nicht unterstützt",,
"Barcode type configuration","Konfiguration des Barcodetyps",,
"Barcode type configurations","Barcode-Typ-Konfigurationen",,
"Base Batch","Basischarge",,
"Base batch","Basischarge",,
"Base batches","Basischargen",,
"Based on","Basierend auf",,
"Batch","Charge",,
"Batch %s unknown","Batch %s unbekannt",,
"Batch calendar synchronization","Batch-Kalender-Synchronisation",,
"Batch code","Chargencode",,
"Batch report:","Chargenbericht:",,
"Batch service select","Auswahl der Batch-Dienstleistung",,
"Batches","Chargen",,
"Batchs","Chargen",,
"Be aware that the address is already in use on other documents, do you still want to modify it ?","Beachten Sie, dass die Adresse bereits in anderen Dokumenten verwendet wird, wollen Sie sie trotzdem ändern?",,
"Bean is not an instance of","Bean ist keine Instanz von",,
"Bill of materials","Stückliste",,
"Binding file","Verbindliche Datei",,
"Birt Template","Birt Vorlage",,
"Birt Template parameter","Birt Template Parameter",,
"Birt Template parameters","Parameter der Birt Vorlage",,
"Birt Templates","Birt Vorlagen",,
"Birt template","Birt Vorlage",,
"Block until","Sperren bis",,
"Blocked","Gesperrt",,
"Blocking","Blockierung",,
"Blocking Type","Blockierungsart",,
"Blocking done by","Die Blockierung erfolgt durch",,
"Blocking follow-up List","Sperren der Nachverfolgung Liste",,
"Blocking reason","Sperrgrund",,
"Blocking reasons","Sperrgründe",,
"Blockings","Blockaden",,
"Boolean","Boolesch",,
"Both currencies must be saved before currency rate apply","Beide Währungen müssen gespeichert werden, bevor der Währungskurs gilt.",,
"Branch Identifier (Branch Code)","Filialkennung (Filialcode)",,
"Business Party Prefix (Bank Code)","Geschäftspartner-Präfix (Bankleitzahl)",,
"Business Party Suffix (Location Code)","Geschäftspartnersuffix (Location Code)",,
"Busy","Beschäftigt",,
"Buy","Kaufen",,
"Buy and produce","Kaufen und produzieren",,
"CALENDAR_SERVER","KALENDER_SERVER",,
"CGP","CGP",,
"CHANDLER","CHANDLER",,
"CID","CID",,
"CODABAR","CODABAR",,
"CODE_128","CODE_128",,
"CODE_39","CODE_39",,
"COG","COG",,
"CRM config","CRM-Konfiguration",,
"CSV","CSV",,
"CSV File","CSV-Datei",,
"Calculation method","Berechnungsmethode",,
"Calendar","Kalender",,
"Calendar Configurations","Kalender-Konfigurationen",,
"Calendar User","Kalender-Benutzer",,
