"key","message","comment","context"
"%D  : Day",,,""
"%M  : Month",,,""
"%WY : Week number","%WY : Pour le N° de la semaine",,""
"%Y  : Year",,,""
"%s : Le chemin vers le template Birt est incorrect",,,""
"%s :\n Erreur : Fichier de mapping inacessible.",,,""
"&",,,""
"(AUX)","(AUX)",,""
"(L')","(L')",,""
"(LA)","(LA)",,""
"(LE)","(LE)",,""
"(LES)","(LES)",,""
"(LOS)","(LOS)",,""
"- Réussi :",,,""
"0",,,""
"0 --> infinite","0 --> infini",,""
"00",,,""
"01",,,""
"02",,,""
"03",,,""
"04",,,""
"05",,,""
"06",,,""
"07",,,""
"08",,,""
"09",,,""
"1","1",,""
"1 Month","1 Mois",,""
"1 Year","1 Année",,""
"10","10",,""
"100","100",,""
"11","11",,""
"12","12",,""
"13","13",,""
"14","14",,""
"15","15",,""
"16","16",,""
"17","17",,""
"18","18",,""
"19","19",,""
"2","2",,""
"2 Months","2 Mois",,""
"20","20",,""
"21","21",,""
"22","22",,""
"23","23",,""
"24","24",,""
"25","25",,""
"26","26",,""
"27","27",,""
"28","28",,""
"29","29",,""
"3","3",,""
"3 Months","3 Mois",,""
"30","30",,""
"31","31",,""
"32","32",,""
"33","33",,""
"34","34",,""
"35","35",,""
"36","36",,""
"37","37",,""
"38","38",,""
"39","39",,""
"4","4",,""
"40","40",,""
"41","41",,""
"42","42",,""
"43","43",,""
"44","44",,""
"45","45",,""
"46","46",,""
"47","47",,""
"48","48",,""
"49","49",,""
"5","5",,""
"50","50",,""
"51","51",,""
"52","52",,""
"53","53",,""
"54","54",,""
"55","55",,""
"56","56",,""
"57","57",,""
"58","58",,""
"59","59",,""
"6","6",,""
"6 Months","6 Mois",,""
"60","60",,""
"61","61",,""
"62","62",,""
"63","63",,""
"64","64",,""
"65","65",,""
"66","66",,""
"67","67",,""
"68","68",,""
"69","69",,""
"7","7",,""
"70","70",,""
"71","71",,""
"72","72",,""
"73","73",,""
"74","74",,""
"75","75",,""
"76","76",,""
"77","77",,""
"78","78",,""
"79","79",,""
"8","8",,""
"80","80",,""
"81","81",,""
"82","82",,""
"83","83",,""
"84","84",,""
"85","85",,""
"86","86",,""
"87","87",,""
"88","88",,""
