"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.base.Wizard.r";"com.axelor.apps.base.db.Wizard";"x";;;;;;;"Base Read"
"perm.base.Product.r";"com.axelor.apps.base.db.Product";"x";;;;;;;"Base Read"
"perm.base.App.r";"com.axelor.apps.base.db.App";"x";;;;;;;"Base Read"
"perm.base.AppBpm.r";"com.axelor.apps.base.db.AppBpm";"x";;;;;;;"Base Read"
"perm.base.Region.r";"com.axelor.apps.base.db.Region";"x";;;;;;;"Base Read"
"perm.base.AppSale.r";"com.axelor.apps.base.db.AppSale";"x";;;;;;;"Base Read"
"perm.base.TemplateContextLine.r";"com.axelor.apps.base.db.TemplateContextLine";"x";;;;;;;"Base Read"
"perm.base.AppProduction.r";"com.axelor.apps.base.db.AppProduction";"x";;;;;;;"Base Read"
"perm.base.ImportConfiguration.r";"com.axelor.apps.base.db.ImportConfiguration";"x";;;;;;;"Base Read"
"perm.base.Company.r";"com.axelor.apps.base.db.Company";"x";;;;;"self.id in (?) OR self.parent.id in (?)";"__user__.companySet.id.plus(0),__user__.companySet.id.plus(0)";"Base Read"
"perm.base.Canton.r";"com.axelor.apps.base.db.Canton";"x";;;;;;;"Base Read"
"perm.base.ProductVariantValue.r";"com.axelor.apps.base.db.ProductVariantValue";"x";;;;;;;"Base Read"
"perm.base.Currency.r";"com.axelor.apps.base.db.Currency";"x";;;;;;;"Base Read"
"perm.base.AppPurchase.r";"com.axelor.apps.base.db.AppPurchase";"x";;;;;;;"Base Read"
"perm.base.AppAccount.r";"com.axelor.apps.base.db.AppAccount";"x";;;;;;;"Base Read"
"perm.base.Unit.r";"com.axelor.apps.base.db.Unit";"x";;;;;;;"Base Read"
"perm.base.Bank.r";"com.axelor.apps.base.db.Bank";"x";;;;;;;"Base Read"
"perm.base.Source.r";"com.axelor.apps.base.db.Source";"x";;;;;;;"Base Read"
"perm.base.SequenceVersion.r";"com.axelor.apps.base.db.SequenceVersion";"x";;;;;;;"Base Read"
"perm.base.ProductVariantAttr.r";"com.axelor.apps.base.db.ProductVariantAttr";"x";;;;;;;"Base Read"
"perm.base.ShippingCoef.r";"com.axelor.apps.base.db.ShippingCoef";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Base Read"
