"key","message","comment","context"
"<< Previous",,,
"Action/Email Title",,,
"Admins",,,
"All Processes",,,
"All instances",,,
"App builder",,,
"Are you sure wants to terminate all process ?",,,
"BAML",,,
"BAML Editor",,,
"BAML Model",,,
"BAML Models",,,
"BPM",,,
"BPM Config",,,
"BPM Instance",,,
"BPM Instance State",,,
"BPM Manager",,,
"BPM Model",,,
"BPM State",,,
"BPM Studio",,,
"BPM instance",,,
"BPM state <b>%s</b> is activated on<br/> <a href=\""%s\"">%s</a><br/>",,,
"Back to Draft",,,
"Button",,,
"Call link",,,
"Call link condition",,,
"Call model",,,
"Code",,,
"Condition",,,
"Create user action",,,
"Current changes will be lost. Do you really want to proceed?",,,
"Current status",,,
"Custom model",,,
"DMN",,,
"DMN Diagrams",,,
"DMN Editor",,,
"DMN Models",,,
"DMN field",,,
"Dashboard",,,
"Data file",,,
"Data file format is invalid",,,
"Data file must be excel file",,,
"Deadline field path",,,
"Decision",,,
"Decision Id",,,
"Decision tables",,,
"Default form",,,
"Deploy",,,
"Deployment id",,,
"Description",,,
"Diagram xml",,,
"Direct creation",,,
"Display for models",,,
"Display status",,,
"Display tag count",,,
"Dmn model",,,
"Email notification",,,
"Email template",,,
"Execute",,,
"Export",,,
"Export file",,,
"Expression",,,
"Field",,,
"Field type",,,
"Form view",,,
"From",,,
"Generate code",,,
"Generated from call activity",,,
"Grid view",,,
"Header is invalid in import file",,,
"Hello %s<br/> BPM state <b>%s</b> is activated on<br/> <a href=\""%s\"">%s</a><br/>",,,
"Help",,,
"Import log",,,
"Import standard BPM",,,
"Import wkf model",,,
"Infinite loop execution suspsected",,,
"Input xml",,,
"Instance Restarted",,,
"Instance id",,,
"Invalid BAML xml. Please contact admin for further info",,,
"Is active",,,
"Json model name",,,
"Late tasks",,,
"Managers",,,
"Menu name",,,
"Menu parent",,,
"Meta model",,,
"Missing input label",,,
"Missing output label",,,
"Model",,,
"Model name",,,
"My Late tasks",,,
"My Tasks to do for the next 7 days",,,
"My Tasks to do today",,,
"My processes",,,
"Name",,,
"New",,,
"New instance",,,
"New menu",,,
"New record",,,
"New user menu",,,
"Next >>",,,
"No data to display",,,
"No result from DMN : %s",,,
"No status",,,
"Node activation time",,,
"Node cancelled",,,
"Old nodes",,,
"On Going",,,
"Open editor",,,
"Output columns can't be empty in import file",,,
"Output dmn table",,,
"Outputs",,,
"Permanent menu",,,
"Permissions",,,
"Position",,,
"Position menu",,,
"Previous Versions",,,
"Previous version",,,
"Process",,,
"Process configs",,,
"Process id",,,
"Process instance",,,
"Process list",,,
"Process path",,,
"Record builders",,,
"Result script",,,
"Roles",,,
"SCRIPT",,,
"Select BAML",,,
"Select DMN",,,
"Select model",,,
"Select process",,,
"Send messages",,,
"Show",,,
"Source language",,,
"Start model ?",,,
"Status",,,
"Status per day",,,
"Status per month",,,
"Target language",,,
"Task configs",,,
"Task/Email",,,
"Tasks assigned to me",,,
"Tasks to do for the next 7 days",,,
"Tasks to do today",,,
"Terminate all process",,,
"Terminated",,,
"Time spent per status (hours)",,,
"Timespent per node",,,
"Title",,,
"To",,,
"Translate",,,
"Type",,,
"User Parent menu",,,
"User Permanent menu",,,
"User default path",,,
"User field path",,,
"User menu name",,,
"Users",,,
"Version tag",,,
"Wkf instance dashboard",,,
"Wkf model",,,
"Wkf process",,,
"Wkf process config",,,
"Wkf status color",,,
"Wkf task config",,,
"Workflow dashboard",,,
"XML",,,
"import.name","Import",,
"import.verb","Import",,
"value:",,,
"wkf.open.editor","Open editor",,
"wkf.terminate.btn","Terminate",,
