"importId";"budgetLevel.importId";"globalBudget.importId";"code";"name";"totalAmountExpected";"availableAmount";"availableAmountWithSimulated";"fromDate";"toDate";"typeSelect";"statusSelect";"companyImportId";"accountSet";"analyticAxis.importId";"analyticAccount.importId";"category"
11;14;11;"SITE WEB";"SITE WEB";400;400;400;"TODAY[1d]";"TODAY[30d]";"budget";1;1;623700;1;1;5
12;14;11;"RADIO";"RADIO";500;500;500;"TODAY[1d]";"TODAY[30d]";"budget";1;1;623100;1;1;5
13;15;11;"MOBILIER";"MOBILIER";1100;1100;1100;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606400;1;2;5
14;15;11;"ORDINATEURS";"ORDINATEUR";1800;1800;1800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606300;1;1;5
15;15;11;"FOURNITURES";"FOURNITURES";500;500;500;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606400;1;1;5
31;34;31;"MARQUES";"MARQUES";400;400;400;"TODAY[1d]";"TODAY[30d]";"budget";1;1;205000;1;1;6
32;34;31;"LOGICIELS";"LOGICIELS";500;500;500;"TODAY[1d]";"TODAY[30d]";"budget";1;1;205000;1;1;6
33;35;31;"MOBILIERS";"MOBILIERS";1600;1600;1600;"TODAY[1d]";"TODAY[30d]";"budget";1;1;218300;1;2;8
34;35;31;"ORDINATEURS";"ORDINATEURS";1800;1800;1800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;218300;1;1;8
200;204;21;"Etudes";"Etudes";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;705000;1;1;1
201;204;21;"Prestations";"Prestations de service";49900;49900;49900;"TODAY[1d]";"TODAY[30d]";"budget";1;1;706000;1;1;1
202;205;21;"Salle1";"Salle 1";9000;9000;9000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;708300;1;1;1
203;205;21;"Salle2";"Salle 2";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;708300;1;1;1
204;206;21;"Produits finis";"Produits finis";5000;5000;5000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;701100;1;1;1
205;206;21;"Marchandises";"Marchandises";8000;8000;8000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;707100;1;1;1
206;206;21;"Activités connexes";"Activités connexes";2700;2700;2700;"TODAY[1d]";"TODAY[30d]";"budget";1;1;708000;1;1;1
207;202;21;"Subvention1";"Subvention 1";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;777000;1;1;7
208;202;21;"Subvention2";"Subvention 2";1200;1200;1200;"TODAY[1d]";"TODAY[30d]";"budget";1;1;777000;1;1;7
209;203;21;"Participations";"Participations";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;761000;1;1;7
210;203;21;"Produits immo fin.";"Produits autres immo fin.";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;762000;1;1;7
211;203;21;"Revenus autres créances";"Revenus créances";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;763000;1;1;7
212;203;21;"Autres produits fin.";"Autres produits fin.";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;768000;1;1;7
400;412;41;"Matériaux 1";"Matériaux 1";13000;13000;13000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;601100;1;1;6
401;412;41;"Matériaux 2";"Matériaux 2";9000;9000;9000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;601200;1;2;6
402;413;41;"Produits pour vente 1";"Produits pour vente 1";15000;15000;15000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;607100;1;1;6
403;413;41;"Produits pour vente 2";"Produits pour vente 2";6500;6500;6500;"TODAY[1d]";"TODAY[30d]";"budget";1;1;607200;1;2;6
404;414;41;"Immobilisations";"Immobilisations";2000;2000;2000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;215400;1;1;8
405;415;41;"Intérim";"Intérim";3500;3500;3500;"TODAY[1d]";"TODAY[30d]";"budget";1;1;621100;1;2;2
406;416;41;"Salariés";"Salariés";3400;3400;3400;"TODAY[1d]";"TODAY[30d]";"budget";1;1;641100;1;1;2
407;417;41;"Gérant";"Gérant";2800;2800;2800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;644000;1;1;2
408;418;41;"Cotisations sociales";"Cotisations sociales";3300;3300;3300;"TODAY[1d]";"TODAY[30d]";"budget";1;1;645300;1;1;9
409;418;41;"URSSAF";"URSSAF";1400;1400;1400;"TODAY[1d]";"TODAY[30d]";"budget";1;1;645100;1;1;9
