"importId";"code";"name";"globalBudget.importId";"parentBudgetLevel.importId";"totalAmountExpected";"totalAmountAvailable";"startDate";"endDate";"fromDate";"toDate";"typeSelect";"statusSelect";"company.importId"
12;"EVENEMENTS";"EVENEMENTS";11;;900;900;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
13;"ACQUISITION";"ACQUISITION";11;;3400;3400;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
14;"CAMPAGNES ET PUBLICITÉS";"CAMPAGNES ET PUBLICITÉS";;12;900;900;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
15;"EQUIPEMENT";"EQUIPEMENT";;13;3400;3400;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
32;"EVENEMENTS";"EVENEMENTS";31;;900;900;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
33;"ACQUISITION";"ACQUISITION";31;;3400;3400;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
34;"CAMPAGNES ET PUBLICITÉS";"CAMPAGNES ET PUBLICITÉS";;32;900;900;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
35;"EQUIPEMENT";"EQUIPEMENT";;33;3400;3400;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
200;"Clients Entreprise";"Clients Entreprise";21;;58900;58900;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
201;"Clients Particuliers";"Clients Particuliers";21;;15700;15700;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
202;"Aides & Subventions";"Aides & Subventions";21;;1200;1200;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
203;"Prêts & financements";"Prêts & financements";21;;0;0;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
204;"Ventes";"Ventes";;200;49900;49900;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
205;"Locations";"Locations";;200;9000;9000;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
206;"Ventes";"Ventes";;201;15700;15700;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
400;"Fournisseurs";"Fournisseurs";41;;45500;45500;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
401;"Rémunérations";"Rémunérations";41;;16200;16200;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
402;"Abonnements";"Abonnements";41;;1496;1496;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
403;"Marketing";"Marketing";41;;2310;2310;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
404;"Prestataires";"Prestataires";41;;5850;5850;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
405;"Frais de déplacements";"Frais de déplacements";41;;4700;4700;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
406;"Loyer";"Loyer";41;;2200;2200;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
407;"Assurances";"Assurances";41;;2439;2439;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
408;"Banques";"Banques";41;;3368;3368;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
409;"Impôts";"Impôts";41;;1290;1290;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
410;"TVA";"TVA";41;;0;0;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
411;"Divers";"Divers";41;;4330;4330;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
412;"Matières premières";"Matières premières";;400;22000;22000;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
413;"Produits finis";"Produits finis";;400;21500;21500;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
414;"Immobilisations";"Immobilisations";;400;2000;2000;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
415;"Intérim";"Intérim";;401;3500;3500;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
416;"Salariés";"Salariés";;401;3400;3400;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
417;"Gérant";"Gérant";;401;2800;2800;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
418;"Charges";"Charges";;401;6500;6500;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
419;"Internet";"Internet";;402;79;79;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
420;"Logiciels";"Logiciels";;402;117;117;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
421;"Flotte téléphonique";"Flotte téléphonique";;402;220;220;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
422;"Electricité des locaux";"Electricité des locaux";;402;890;890;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
423;"Eau";"Eau";;402;190;190;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
438;"Remboursement prêt";"Remboursement prêt";;408;3100;3100;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
439;"Frais financiers";"Frais financiers";;408;268;268;"TODAY[1d]";"TODAY[30d]";"TODAY[1d]";"TODAY[30d]";"budget";"draft";1
