"key","message","comment","context"
"Employee","Mitarbeiter",,
"Enable timesheet on manuf order","Zeiterfassung für den Fertigungsauftrag aktivieren",,
"Invoiced","Rechnungsstellung",,
"Manage business production","Verwalten der Unternehmensproduktion",,
"Manuf order","Fertigungsauftrag",,
"Manuf. Orders Selection","Hersteller. Auftragsauswahl",,
"Operation order","Vorgangsreihenfolge",,
"Overview","Übersicht",,
"Production orders","Fertigungsaufträge",,
"Project","Projekt",,
"There are timesheet still waiting validation on this manuf order, do you want to continue anyway ?","Es gibt noch eine Zeiterfassungsprüfung für diesen Fertigungsauftrag, wollen Sie trotzdem fortfahren?",,
"There are timesheet still waiting validation on this operation order, do you want to continue anyway ?","Es gibt noch eine Zeiterfassungsprüfung für diesen Arbeitsauftrag, wollen Sie trotzdem fortfahren?",,
"Timesheet Line","Stundenzettel Linie",,
"Timesheet Lines","Stundenzettel Zeilen",,
"Timesheet imputed on","Stundenzettel, berechnet auf",,
"Timesheet imputed on manufacturing order","Arbeitszeitblatt, das auf den Fertigungsauftrag angerechnet wird.",,
"Timesheet imputed on project","Zeiterfassung für das Projekt",,
"Timesheet line","Stundenzettelzeile",,
"Timesheet lines","Zeiterfassungslinien",,
"To Invoice","Zur Rechnung",,
"To invoice","Zur Rechnung",,
"Warning, this manuforder is finished",,,
"Warning, this manuforder is from another company.","Achtung, dieser Hersteller ist von einer anderen Firma.",,
