"key","message","comment","context"
"Business",,,
"Manage business production",,,
"Employee","Employé",,
"Invoiced","Facturé",,
"Manuf. Orders Selection","Sélection ordres de fabrication",,
"None","Non",,
"Operation order","Opération de fabrication",,
"Operation orders","Opérations de fabrication",,
"Production orders","Ordres de Production",,
"Project/Task","Projet/Tâche",,
"Show production orders related to the project task","Afficher les ordres de productions liés au projet",,
"Timesheet lines","Lignes de feuille de temps",,
"To Invoice","A facturer",,
"To invoice ?","A facturer ?",,
"Yes (Fixed)",,,
"Yes (Real)",,,
