"key","message","comment","context"
"% Charging Back Purhcases","% De devolución de compras",,
"1","1",,
"2","2",,
"3","3",,
"4","4 4",,
"5","5 5",,
"6","6 6",,
"A deadline is required","Se requiere una fecha límite",,
"Action","Acción",,
"Address","Habla a",,
"Advance payment invoices","Facturas de anticipo",,
"Analytic move lines","Líneas de movimiento analítico",,
"Annex","anexo",,
"App business project","Proyecto empresarial de aplicaciones",,
"Are you sure to unlink project from selected lines?","¿Estás seguro de que deseas desvincular el proyecto de las líneas seleccionadas?",,
"Are you sure you want to generate invoices for all selected affairs ?",,,
"Attach the Annex to the invoice","Adjunte el anexo a la factura",,
"Automatic Project","Proyecto automático",,
"Batch","Lote",,
"Batches","Lotes",,
"Business project","Proyecto de negocio",,
"Business projects","Proyectos empresariales",,
"Canceled","Cancelado",,
"Charging Back Purchases Type","Tipo de compras con devolución de cargo",,
"Code",,,
"Comments","Comentarios",,
"Company","Empresa",,
"Configurations","Configuraciones",,
"Confirmed Orders Total","Total de pedidos confirmados",,
"Consolidate all","Consolidar todo",,
"Consolidate phase invoicing","Fase de consolidación de facturación",,
"Consolidate the phases","Consolidar las fases.",,
"Cost W.T.","Costo WT",,
"Created by","Creado por",,
"Created on","Creado en",,
"Currency","Moneda",,
"Customer deliveries","Entregas a clientes",,
"Customer invoice lines","Líneas de factura de cliente",,
"Customer invoices","Facturas de clientes",,
"Customer referral","Referencia del cliente",,
"Date","Fecha",,
"Deadline","Fecha límite",,
"Default Invoicing Product for Projects","Producto de facturación predeterminado para proyectos",,
"Default product","Producto predeterminado",,
"Default value","Valor por defecto",,
"Default value invoicing type","Tipo de facturación de valor predeterminado",,
"Description","Descripción",,
"Discount amount","Importe de descuento",,
"Discount type","Tipo de descuento",,
"Display expense lines on printing","Mostrar líneas de gastos en la impresión",,
"Display timesheet lines on printing","Mostrar líneas de parte de horas en la impresión",,
"Don't consolidate","No consolidar",,
"Draft","Sequía",,
"Elements To Invoice","Elementos a facturar",,
"Empty","Vacío",,
"Enable task templates by product","Habilitar plantillas de tareas por producto",,
"Enable to invoice expense","Habilitar para facturar gastos",,
"Enable to invoice timesheet","Habilitar para facturar parte de horas",,
"Estimated Costs Total","Costo estimado total",,
"Estimated Margin","Margen estimado",,
"Exculde tasks for invoicing","Exculpe tareas para facturación",,
"Expense","Gastos",,
"Expense Lines","Líneas de gastos",,
"Expense Lines Priority","Prioridad de líneas de gasto",,
"Expense lines","Líneas de gastos",,
"Expenses","Gastos",,
"ExpensesTotal","Gastos Total",,
"Factory not found this type of generator","Fábrica no encontró este tipo de generador",,
"Finalized Orders Total","Total de pedidos finalizados",,
"Free","Gratis",,
"Generate Invoice","Generar factura",,
"Generate invoicing projects","Generar proyectos de facturación.",,
"Generate sequence for project",,,
"Generate/Select Project for Order","Generar / Seleccionar Proyecto para Orden",,
"Generated","Generado",,
"Generated element type","Tipo de elemento generado",,
"Generated invoicing project","Proyecto de facturación generado",,
"Generated invoicing projects","Proyectos de facturación generados",,
"Identically","Idéntico",,
"Information","Información",,
"Invalid exclude task for invoicing filter","Tarea de exclusión no válida para filtro de facturación",,
"Invoice","Factura",,
"Invoice all selected business affairs","Facturar todos los asuntos comerciales seleccionados",,
"Invoice generated","Factura generada",,
"Invoice line","Línea de factura",,
"Invoice lines","Líneas de factura",,
"Invoice post task","Tarea de contabilización de facturas",,
"Invoice pre task","Factura previa a la tarea",,
"Invoice.draftInvoiceNoAnnex","ANEXO DE FACTURA PROFORMA N °",,
"Invoice.expenseProduct","Tipo de gasto",,
"Invoice.expenseTaxAmount","Invoice.expenseTaxAmount",,
"Invoice.expenseTitle","Detalles de gastos",,
"Invoice.expenseTotalAmount","Cantidad total",,
"Invoice.invoiceNoAnnex","ANEXO DE FACTURA N °",,
"Invoice.purchaseInvoiceNoAnnex","ANEXO DE FACTURA DE COMPRA N °",,
"Invoice.purchaseRefundNoAnnex","ANEXO DE REEMBOLSO DE COMPRA N °",,
"Invoice.refundNoAnnex","ANEXO DE REEMBOLSO N °",,
"Invoice.supplierReference","Referencia del proveedor",,
"Invoice.timesheetActivity","Actividad",,
"Invoice.timesheetDuration","Duración",,
"Invoice.timesheetTitle","Detalles del parte de horas",,
"Invoice.timesheetUser","Usuario",,
"Invoiced","Facturado",,
"Invoiced Orders Total","Total de pedidos facturados",,
"Invoicing Expenses","Gastos de facturación",,
"Invoicing Purchases","Facturación de compras",,
"Invoicing Type","Tipo de facturación",,
"Invoicing business project","Proyecto comercial de facturación",,
"Invoicing business projects","Facturación de proyectos empresariales",,
"Invoicing comment","Comentario de facturación",,
"Invoicing project","Proyecto de facturación",,
"Invoicing project filters",,,
"Invoicing projects","Proyectos de facturación",,
"Invoicing sequence","Secuencia de facturación",,
"Invoicing timesheet","Hoja de tiempos de facturación",,
"Invoicing unit","Unidad de facturación",,
"InvoicingProjectAnnex","Facturación Proyecto Anexo",,
"InvoicingProjectAnnex.activity","Actividad",,
"InvoicingProjectAnnex.annex","anexo",,
"InvoicingProjectAnnex.businessProject","Proyecto de negocio",,
"InvoicingProjectAnnex.code","Código",,
"InvoicingProjectAnnex.comments","Comentarios",,
"InvoicingProjectAnnex.currency","Moneda",,
"InvoicingProjectAnnex.date","Fecha",,
"InvoicingProjectAnnex.deadline","Fecha límite",,
"InvoicingProjectAnnex.duration","Duración",,
"InvoicingProjectAnnex.estimatedShippingDate","Fecha Estimada de Embarque",,
"InvoicingProjectAnnex.expenseDate","Fecha de gastos",,
"InvoicingProjectAnnex.expenseType","Tipo de gasto",,
"InvoicingProjectAnnex.expenses","Gastos",,
"InvoicingProjectAnnex.invoiceGenerated","Factura generada",,
"InvoicingProjectAnnex.invoiced","Facturado",,
"InvoicingProjectAnnex.name","Nombre",,
"InvoicingProjectAnnex.parentProject","Proyecto principal",,
"InvoicingProjectAnnex.productName","Nombre del producto",,
"InvoicingProjectAnnex.progress","Progreso",,
"InvoicingProjectAnnex.project","Proyecto",,
"InvoicingProjectAnnex.projects","Proyectos",,
"InvoicingProjectAnnex.purchaseOrder","Orden de compra",,
"InvoicingProjectAnnex.purchases","Compras",,
"InvoicingProjectAnnex.qty","Cantidad",,
"InvoicingProjectAnnex.sales","Ventas",,
"InvoicingProjectAnnex.status","Estado",,
"InvoicingProjectAnnex.supplier","Proveedor",,
"InvoicingProjectAnnex.task","Tarea",,
"InvoicingProjectAnnex.taskDate","Fecha de la tarea",,
"InvoicingProjectAnnex.tasks","Tareas",,
"InvoicingProjectAnnex.timeSpent","Tiempo usado",,
"InvoicingProjectAnnex.toInvoice","Facturar",,
"InvoicingProjectAnnex.totalATI","ATI total",,
"InvoicingProjectAnnex.totalAmountWT","Cantidad total WT",,
"InvoicingProjectAnnex.totalTax","Total impuestos",,
"InvoicingProjectAnnex.totalWT","WT total",,
"InvoicingProjectAnnex.unit","Unidad",,
"InvoicingProjectAnnex.unitPriceATI","Precio unitario ATI",,
"InvoicingProjectAnnex.unitPriceWT","Precio unitario WT",,
"InvoicingProjectAnnex.user","Usuario",,
"Job costing","Costo de empleo",,
"Log Times","Tiempos de registro",,
"Log Times Priority","Prioridad de tiempos de registro",,
"Manual element","Elemento manual",,
"Manual elements","Elementos manuales",,
"Name",,,
"No Line can be used for tasks","No Line se puede usar para tareas",,
"No Project selected","Ningún proyecto seleccionado",,
"No invoicing",,,
"No project found in context","Ningún proyecto encontrado en contexto",,
"No type of generation project has been selected","No se ha seleccionado ningún tipo de proyecto de generación.",,
"Overview",,,
"PO line","PO line",,
"PO.Quotation","Cotización",,
"Paid","Pagado",,
"Phase by line","Fase por línea",,
"Planification and costs","Planificacion y costos",,
"Planned Times Total","Tiempos planificados Total",,
"Please complete the order lines with at least one product type 'Service' and the supply mode 'Produce'","Complete las líneas de pedido con al menos un tipo de producto 'Servicio' y el modo de suministro 'Producir'",,
"Please select lines","Por favor seleccione líneas",,
"Price list","Lista de precios",,
"Produced Turnover","Facturación producida",,
"Production","Producción",,
"Production orders","Órdenes de producción",,
"Products must be Service type and Method of Supply Produce.","Los productos deben ser tipo de servicio y método de suministro de productos.",,
"Progress","Progreso",,
"Project","Proyecto",,
"Project %s","Proyecto %s",,
"Project Folder","Carpeta de proyecto",,
"Project Folders",,,
"Project Phase","Fase del proyecto",,
"Project Priority","Prioridad de proyecto",,
"Project alone","Proyecto solo",,
"Project generator type","Proyecto generador tipo",,
"Project in Invoice Lines","Proyecto en Líneas de Factura",,
"Project in Purchase order lines","Proyecto en líneas de orden de compra",,
"Project in Sale order lines","Proyecto en líneas de orden de Venta",,
"Project invoicing assistant batch",,,
"Project invoicing assistant batch filters",,,
"Project invoicing assistant batches",,,
"Project planification and costs",,,
"Project.amount","Cantidad",,
"Project.analyticalAccount","Cuenta Analitica",,
"Project.analyticalAxis","Eje analítico",,
"Project.analyticalLines","Lineas analiticas",,
"Project.chartCostPassedPerMonth","Costo aprobado por mes",,
"Project.chartCostRemainingPerMonth","Costo restante por mes",,
"Project.chartTimePassedPerMonth","Tiempo transcurrido por mes",,
"Project.chartTimeRemainingPerMonth","Tiempo restante por mes",,
"Project.consumedTime","Tiempo consumido",,
"Project.costs","Costos",,
"Project.currency","Moneda",,
"Project.customer","Cliente",,
"Project.date","Fecha",,
"Project.employee","Empleado",,
"Project.endDate","Fecha final",,
"Project.expectedCosts","Costos esperados",,
"Project.expectedMargin","Margen esperado",,
"Project.expectedRevenue","Los ingresos esperados",,
"Project.expense","Gastos",,
"Project.hourlyRate","Tarifa por hora",,
"Project.initial","Restante",,
"Project.invoiceNumber","Número de factura",,
"Project.invoiced","Dio cuenta",,
"Project.manualElement","Elementos manuales",,
"Project.manualElementTitle","Título",,
"Project.margin","Margen",,
"Project.plannedPast","Pasado planificado",,
"Project.plannedTime","Tiempo planificado",,
"Project.planning","Planificación",,
"Project.progress","Progreso",,
"Project.purchase","Compras",,
"Project.purchaseOrderNumber","Número de orden de compra",,
"Project.realPassed","Real pasado",,
"Project.remainInTheory","Restante en teoría",,
"Project.remainPlanned","Restante planeado",,
"Project.result","Fin de los resultados del proyecto.",,
"Project.sales","Ventas",,
"Project.salesInvoice","Factura de venta",,
"Project.salesOrderNumber","Número de orden de ventas",,
"Project.salesOrders","Ventas",,
"Project.subType","Subtipo",,
"Project.synthesis","Síntesis",,
"Project.taskName","Tarea",,
"Project.tasks","Tareas",,
"Project.time","Hora",,
"Project.timesheet","Parte de horas",,
"Project.title","INFORME FINANCIERO",,
"Project.total","Total",,
"Project.totalCostChart","Coste total",,
"Project.totalCosts","Costos totales",,
"Project.totalHours","Horas totales",,
"Project.totalMargin","Margen total",,
"Project.totalSales","Ventas totales",,
"Project.totalTimeChart","Tabla de tiempo total",,
"Project.totalTurnover","Facturación total",,
"Project.turnover","Rotación",,
"Project.turnoverAndCostPerMonth","Volumen de negocios y costos por mes",,
"Project.type","Tipo",,
"ProjectTask.Package",,,
"ProjectTask.exTaxTotal",,,
"Projects","Proyectos",,
"Projects Financial Report",,,
"Projects Folder",,,
"Projects Planification and costs",,,
"Projects financial report","Informe financiero de proyectos",,
"Purchase","Compra",,
"Purchase Order Lines","Líneas de orden de compra",,
"Purchase order","Orden de compra",,
"Purchase order lines","Líneas de orden de compra",,
"Purchase order lines Priority","Líneas de orden de compra Prioridad",,
"Quotation","Cotización",,
"Real Costs Total","Total de costos reales",,
"Real Margin (Invoicing)","Margen real (facturación)",,
"Real Margin (Time)","Margen real (tiempo)",,
"Realised","Dio cuenta",,
"Realised Times Total","Total de tiempos realizados",,
"Reference","Referencia",,
"Refused","Rechazado",,
"Related Invoice line","Línea de factura relacionada",,
"Related sale order line","Línea de orden de venta relacionada",,
"Remaining","Restante",,
"Reports",,,
"SO line","Línea SO",,
"Sale","Rebaja",,
"Sale Order Lines","Líneas de orden de venta",,
"Sale order","Orden de venta",,
"Sale order lines","Líneas de orden de venta",,
"Sale order lines Priority","Líneas de orden de venta Prioridad",,
"Sale quotation","Presupuesto de venta",,
"See Linked Timesheet Lines","Ver líneas de partes de horas vinculadas",,
"Select lines to add","Seleccionar líneas para agregar",,
"Select lines to unlink","Seleccionar líneas para desvincular",,
"Show expense order lines related to the project","Mostrar líneas de orden de gastos relacionadas con el proyecto",,
"Show production orders related to the project","Mostrar órdenes de producción relacionadas con el proyecto.",,
"Show purchase invoice line related to the project","Mostrar línea de factura de compra relacionada con el proyecto",,
"Show purchase order lines related to the project","Mostrar líneas de orden de compra relacionadas con el proyectoShow purchase invoice line related to the project",,
"Show sale invoice line related to the project","Mostrar línea de factura de venta relacionada con el proyecto",,
"Show sale order lines related to the project","Mostrar líneas de orden de venta relacionadas con el proyecto",,
"Since the invoice has already been generated, it's impossible to delete this record","Como la factura ya se ha generado, es imposible eliminar este registro",,
"Status","Estado",,
"Status for invoice post task tasks",,,
"Status for invoice pre task tasks",,,
"Supplier arrivals","Llegadas de proveedores",,
"Supplier invoice lines","Líneas de factura del proveedor",,
"Supplier invoices","Facturas de proveedores",,
"Task","Tarea",,
"Task %s","Tareas",,
"Task Invoicing","Facturación de tareas",,
"Task Priority","Prioridad de tarea",,
"Task by line","Tarea por linea",,
"Task templates","Plantillas de tareas",,
"Tasks","Tareas",,
"Tasks by product","Prioridad de tarea",,
"Tasks update completed:","Actualización de tareas completada:",,
"Template","Modelo",,
"The company %s doesn't have any configured sequence for Project",,,
"The project is configured to be alone","El proyecto está configurado para estar solo",,
"There is no customer for this project/task","No hay cliente para este proyecto / tarea",,
"Time spent","Tiempo usado",,
"Timesheet Line",,,
"Timesheet line %s",,,
"Timesheet lines","Líneas de parte de horas",,
"Title","Título",,
"To invoice","Facturar",,
"To invoice via task","Para facturar por tarea",,
"To invoice with project","Facturar con proyecto",,
"Tools",,,
"Turnover W.T.","Volumen de negocios WT",,
"Type","Tipo",,
"Unit price discounted","Precio unitario descontado",,
"Update Tasks","Tareas de actualización",,
"Update tasks","Actualizar tareas",,
