"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.cash.management.all";"com.axelor.apps.cash.management.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.cash.management.Forecast.r";"com.axelor.apps.cash.management.db.Forecast";"x";;;;;"self.company in (?)";"__user__.companySet";"role.cash.management.r"
"perm.cash.management.ForecastReason.r";"com.axelor.apps.cash.management.db.ForecastReason";"x";;;;;;;"role.cash.management.r"
"perm.cash.management.ForecastRecap.r";"com.axelor.apps.cash.management.db.ForecastRecap";"x";;;;;"self.company in (?)";"__user__.companySet";"role.cash.management.r"
"perm.cash.management.ForecastRecapLine.r";"com.axelor.apps.cash.management.db.ForecastRecapLine";"x";;;;;;;"role.cash.management.r"
"perm.cash.management.ForecastGenerator.r";"com.axelor.apps.cash.management.db.ForecastGenerator";"x";;;;;"self.company in (?)";"__user__.companySet";"role.cash.management.r"
"perm.cash.management.Forecast.rwc";"com.axelor.apps.cash.management.db.Forecast";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.cash.management.rwc"
"perm.cash.management.ForecastReason.rwc";"com.axelor.apps.cash.management.db.ForecastReason";"x";"x";"x";;;;;"role.cash.management.rwc"
"perm.cash.management.ForecastRecap.rwc";"com.axelor.apps.cash.management.db.ForecastRecap";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.cash.management.rwc"
"perm.cash.management.ForecastRecapLine.rwc";"com.axelor.apps.cash.management.db.ForecastRecapLine";"x";"x";"x";;;;;"role.cash.management.rwc"
"perm.cash.management.ForecastGenerator.rwc";"com.axelor.apps.cash.management.db.ForecastGenerator";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.cash.management.rwc"
"perm.cash.management.Forecast.rwcde";"com.axelor.apps.cash.management.db.Forecast";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.cash.management.rwcde"
"perm.cash.management.ForecastReason.rwcde";"com.axelor.apps.cash.management.db.ForecastReason";"x";"x";"x";"x";"x";;;"role.cash.management.rwcde"
"perm.cash.management.ForecastRecap.rwcde";"com.axelor.apps.cash.management.db.ForecastRecap";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.cash.management.rwcde"
"perm.cash.management.ForecastRecapLine.rwcde";"com.axelor.apps.cash.management.db.ForecastRecapLine";"x";"x";"x";"x";"x";;;"role.cash.management.rwcde"
"perm.cash.management.ForecastGenerator.rwcde";"com.axelor.apps.cash.management.db.ForecastGenerator";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.cash.management.rwcde"
