"key","message","comment","context"
"1",,,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",,,
"2",,,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",,,
"27",,,
"28",,,
"3",,,
"4",,,
"5",,,
"6",,,
"7",,,
"8",,,
"9",,,
"Amount",,,
"Bank",,,
"Base",,,
"Best",,,
"Both",,,
"Calculation Date",,,
"Cash management",,,
"Comments",,,
"Company",,,
"Configuration",,,
"Confirmed",,,
"Currency",,,
"Current balance",,,
"Date",,,
"Details",,,
"Display",,,
"Element",,,
"Employee",,,
"End Of Month",,,
"Ending Balance",,,
"Estimated date",,,
"Estimated duration after order creation (in days)",,,
"Estimated payment date",,,
"Expected",,,
"Expense",,,
"Forecast",,,
"Forecast Assistant",,,
"Forecast Assistant filters",,,
"Forecast Assistants",,,
"Forecast Reasons",,,
"Forecast Recap",,,
"Forecast Recap Line Type",,,
"Forecast Recap line Types",,,
"Forecast Recaps",,,
"Forecast Report",,,
"Forecast Reports",,,
"Forecast Type",,,
"Forecast Types",,,
"Forecast filters",,,
"Forecast generator",,,
"Forecast reason",,,
"Forecast reasons",,,
"Forecast recap",,,
"Forecast recap filters",,,
"Forecast recap line type updated.",,,
"ForecastLine.amount","Amount",,
"ForecastLine.balance","Cumulated balance",,
"ForecastLine.estimatedDate","Date",,
"ForecastLine.relatedToName","Reference",,
"ForecastLine.type","Type",,
"ForecastLineType.in","In",,
"ForecastLineType.out","Out",,
"ForecastOpportunitiesType.base","Base",,
"ForecastOpportunitiesType.best","Best",,
"ForecastOpportunitiesType.no","No",,
"ForecastOpportunitiesType.worst","Worst",,
"ForecastRecap",,,
"ForecastRecap.bankDetailsIban","IBAN",,
"ForecastRecap.calculationDate","Calculation date",,
"ForecastRecap.company","Company",,
"ForecastRecap.currency","Currency",,
"ForecastRecap.endingBalance","Ending balance",,
"ForecastRecap.fromDate","From",,
"ForecastRecap.operationDetails","Operation details",,
"ForecastRecap.opportunitiesTypeSelect","Take into account opportunies",,
"ForecastRecap.startingBalance","Starting balance",,
"ForecastRecap.title","Estimated liquidity plan",,
"ForecastRecap.toDate","To",,
"ForecastRecapLine.balance","Cumulated balance",,
"ForecastRecapLine.relatedToSelect","Object type",,
"Forecasts",,,
"Forecasts generated",,,
"Format",,,
"From",,,
"Generate",,,
"Invalid dates",,,
"Invoice",,,
"Is complete",,,
"Is report",,,
"Line",,,
"Lines",,,
"Manual forecasts",,,
"Marges",,,
"Name",,,
"No",,,
"No move type found for element : %s",,,
"ODS",,,
"Operaton Type",,,
"Opportunity",,,
"PDF",,,
"Pay Day",,,
"Periodicity",,,
"Please select a company",,,
"Populate",,,
"Previsional Marges",,,
"Previsional Sales",,,
"Previsional Spending",,,
"Print",,,
"Purchase Order",,,
"Purchase order",,,
"Realization date",,,
"Reason",,,
"Reference",,,
"Related to select",,,
"Reports",,,
"Salary",,,
"Sale Order",,,
"Sale order",,,
"Sales",,,
"Salesperson",,,
"Seq.",,,
"Sequence",,,
"Spending",,,
"Starting Balance",,,
"Starting date should not be in the past",,,
"Statuses to take into account",,,
"Take into account opportunies",,,
"The company %s doesn't have any configured sequence for ForcastRecap",,,
"To",,,
"Type",,,
"Update",,,
"Worst",,,
"XLS",,,
"value:Cash management",,,
