"key","message","comment","context"
"App Portal","Portal App Portal",,
"Awaiting invoices",,,
"Can confirm online","Potwierdź online",,
"Can pay online","Może płacić online",,
"Code","Kod",,
"Customer helpdesk",,,
"Customer tickets",,,
"Delivery",,,
"Electronic signature","Podpis elektroniczny",,
"Helpdesk",,,
"Invoicing",,,
"Last delivery",,,
"Last order",,,
"Manage invoices","Zarządzanie fakturami",,
"Manage sale orders","Zarządzanie zleceniami sprzedaży",,
"Manage tickets","Zarządzaj biletami",,
"My delivery",,,
"My invoices",,,
"My projects",,,
"My quotations",,,
"My sale orders",,,
"My space",,,
"Name","Nazwa",,
"Next delivery",,,
"Online payment method","Metoda płatności online",,
"Online payment methods","Metody płatności online",,
"Order",,,
"Orders",,,
"Overdue invoices",,,
"Password","Hasło",,
"Project",,,
"Projects",,,
"Quotation",,,
"Quotation in progress",,,
"Realized delivery",,,
"Resolved tickets",,,
"Tasks due",,,
"Tasks in progress",,,
"Tickets %s",,,
"Tickets company",,,
"Total remaining",,,
"value:Portal","wartość: Portal",,
