"key","message","comment","context"
"ABS portal",,,
"App Portal","Portal de Aplicações",,
"Can confirm online","Pode confirmar online",,
"Can pay online","Pode pagar online",,
"Code","Código",,
"Electronic signature","Assinatura electrónica",,
"External portal",,,
"Manage delivery",,,
"Manage invoices","Administrar faturas",,
"Manage projects",,,
"Manage sale orders","Administrar ordens de venda",,
"Manage tickets","Gerir bilhetes",,
"Modules",,,
"Name","Nome e Sobrenome",,
"Online payment method","Método de pagamento online",,
"Online payment methods","Métodos de pagamento online",,
"Password","Senha",,
"Portal",,,
"value:Portal","valor:Portal",,
