"key","message","comment","context"
"Activated By","Activé par",,
"Activation date","Date d'activation",,
"Active","Actif",,
"Additional Benefit Management","Gestion des prestations additionnelles",,
"Additional benefit","Prestations additionelles",,
"Additional benefit lines","Lignes de prestations additionelle",,
"Additional benefit management","Gestion des prestations additionnelles",,
"Advanced management","Configuration avancée",,
"Amendment management","Gestion des avenants",,
"App contract","Application contrat",,
"Automatic invoicing","Facturation automatique",,
"Back","Retour",,
"Closed","Fermé",,
"Company","Société",,
"Config.","Config. ",,
"Configurable contract","Contrat configurable",,
"Configuration","Configuration",,
"Consumption Line","Ligne de consommation",,
"Consumption Lines","Lignes de consommation",,
"Consumption for next invoice","Consommation pour prochaine facture",,
"Consumption management","Gestion des consommations",,
"Consumptions","Consommations",,
"Content","Contenu",,
"Contract","Contrat",,
"Contract Line","Ligne de contrat",,
"Contract Lines","Lignes de contrat",,
"Contract N°","N° de contrat",,
"Contract closing invoice","Facture de fermeture de contrat",,
"Contract invoice","Facture de contrat",,
"Contract line","Ligne de contrat",,
"Contract template","Modèle de contrat",,
"Contract template to use","Modèle de contrat à utiliser",,
"Contract templates","Modèles de contrat",,
"Contract version","Version de contrat",,
"Contracts","Contrats",,
"Copy","Copier",,
"Create PO",,,
"Currency",,,
"Current invoice period",,,
"Current version","Version courante",,
"Customer","Client",,
"Customer contracts","Contrat client",,
"Date","Date",,
"Dates","Dates",,
"Delete","Supprimer",,
"Delete next version","Supprimer prochaine version",,
"Description","Description",,
"Displayed Product name","Libellé produit",,
"Do not renew","Ne pas renouveler",,
"Do you really wish to fill your contract based on this template ?",,,
"Draft","Brouillon",,
"Duration",,,
"Durations",,,
"End date","Date de fin",,
"End of next invoicing period",,,
"End of period","Fin de periode",,
"Engagement duration","Durée d'engagement",,
"Engagement start date","Date de début d'engagement",,
"Engagement start from version","Début d'engagement en fonction des nouvelles version",,
"Error","Erreur",,
"First period end date","Fin de la première période",,
"Full name","Nom complet",,
"Informations","Informations",,
"Invoice",,,
"Invoice from consumption","Facturer en consommation",,
"Invoice line",,,
"Invoice period","Periode de facturation",,
"Invoice period history","Historique des periodes de facturation",,
"Invoice periods","Periodes de facturation",,
"Invoiced","Facturé",,
"Invoices",,,
"Invoicing","Facturation",,
"Invoicing Frequency","Fréquence de facturation",,
"Invoicing content","Contenu de facturation",,
"Invoicing date","Date de facturation",,
"Invoicing management","Gestion de la facturation",,
"Invoicing moment","Moment de facturation",,
"Is invoiced","Facturé",,
"Last Invoicing period","Dernière période facturée",,
"Last renewal date","Dernière date de renouvellement",,
"Linked invoice","Facture liée",,
"Manage invoices","Gestion de la facturation",,
"Name","Nom",,
"New","Nouveau",,
"New version","Nouvelle version",,
"Next Invoice Additional Benefit","Prestations additionelles",,
"Next renewal","Prochain renouvellement",,
"Next version","Prochaine version",,
"Not invoiced","Non facturé",,
"Notes","Notes",,
"Nouvelle version",,,
"Number of finished periods","Nombre de périodes terminées",,
"Number of renewal","Nombre de renouvellements",,
"Ongoing","En cours",,
"Only invoice consumption before Invoice period end Date","Facturer uniquement les consommation avant la date de fin de période",,
"Partner","Tiers",,
"Payment condition","Condition de paiement",,
"Payment mode","Mode de paiement",,
"Periodic Invoicing","Facturation périodique",,
"Periodic invoicing","Facturation périodique",,
"Print","Imprimer",,
"Prior notice duration","Durée de préavis",,
"Product","Produit",,
"Prorate from versions","Proratiser en fonction des versions",,
"Prorated Invoice","Proratisation de factures",,
"Prorated Starting periods",,,
"Prorated finished periods",,,
"Protrate temporally","Proratiser temporellement",,
"Purchase orders",,,
"Qty","Qté",,
"Quantity","Quantité",,
"Reconductions","Reconductions",,
"Reference","Référence",,
"Renew (test)","Renouveller (test)",,
"Renewal","Renouvellement",,
"Renewal duration","Durée de renouvellement",,
"Renewal management","Gestion des renouvellements",,
"Search","Rechercher",,
"Show next version","Voir la prochaine version",,
"Start date","Date de début",,
"Start of next invoicing period","Début de la prochaine période de facturation",,
"Start of period","Début de période",,
"Status","Statut",,
"Statut","Statut",,
"Supplier","Fournisseur",,
"Supplier contracts","Contrat fournisseur",,
"Supposed activation date","Date d'activation prévisionnelle",,
"Supposed end date","Date de fin prévisionnelle",,
"Tacit renewal","Renouvellement tacite",,
"Tax","Taxe",,
"Technical","Technique",,
"Template name","Nom du modèle",,
"Terminate","Résilier",,
"Terminated","Clôturé",,
"Terminated By","Résilié par",,
"Terminated contracts","Contrats clos",,
"Terminated date","Date de clôture",,
"Terminated manually","Résilié manuellement",,
"Termination","Clôture",,
"Termination demand date","Date de demande de résiliation",,
"The company %s doesn't have any configured sequence for contracts",,,
"To closed","A clôturer",,
"Total A.T.I.","Total T.T.C",,
"Total W.T.","Total HT",,
"Type","Type",,
"Unchangable contract","Contrat non modifiable",,
"Unit","Unité",,
"Unit price","Prix unitaire",,
"Use this template","Utiliser ce modèle",,
"Version","Version",,
"Version history","Historique des versions",,
"Versions","Versions",,
"Waiting","En attente",,
"With engagement","Avec engagement",,
"With prior notice","Avec préavis",,
"value:Contract","Contrat",,
