"key","message","comment","context"
"%d times",,,
"+33100000000",,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,,
"<span class='label label-warning'>There is already a lead with this name.</span>",,,
"Action",,,
"Activities",,,
"Add",,,
"Add Guests",,,
"Address",,,
"After n repetitions",,,
"All past events",,,
"All upcoming events",,,
"Allow calls ?",,,
"Allow emails ?",,,
"Amount",,,
"Amount Won",,,
"Amount won",,,
"App Crm",,,
"Apply",,,
"Apply changes to all recurrence's events",,,
"Apply changes to this event only",,,
"Apply modifications",,,
"Apply modifications for all",,,
"Assign to",,,
"Assign to me",,,
"Assigned",,,
"Assigned to",,,
"Assignment",,,
"At the date",,,
"Attendee",,,
"Attendees",,,
"Attributes",,,
"Available",,,
"Batchs",,,
"Best Open Deals",,,
"Best case",,,
"Busy",,,
"CRM",,,
"CRM Activities",,,
"CRM Batch",,,
"CRM batches",,,
"CRM config",,,
"CRM config (${ name })",,,
"CRM configuration",,,
"CRM configurations",,,
"Call",,,
"Call emitted Nbr",,,
"Call emitted Nbr.",,,
"Call emitted historical",,,
"Call filters",,,
"Call reminder template",,,
"Call type",,,
"Calls",,,
"Calls Dashboard",,,
"Calls Db",,,
"Calls by team by user",,,
"Calls by user(of a team)",,,
"Calls emitted historical",,,
"Calls emitted target completed (%)",,,
"Calls held by team by type",,,
"Calls held by type by user",,,
"Calls type by team",,,
"Calls type by user",,,
"Canceled",,,
"Cases",,,
"Category",,,
"Chart",,,
"Check duplicate",,,
"City",,,
"Civility",,,
"Closed Opportunities",,,
"Closed lost",,,
"Closed won",,,
"Code",,,
"Company",,,
"Company name",,,
"Concerns",,,
"Configuration",,,
"Contact",,,
"Contact converted",,,
"Contact date",,,
"Contact details",,,
"Contact name",,,
"Contacts",,,
"Context",,,
"Convert into Contact",,,
"Convert into Contact ?",,,
"Convert into Partner",,,
"Convert into Partner ?",,,
"Convert into quotation",,,
"Convert lead",,,
"Convert lead (${ fullName })",,,
"Converted",,,
"Copy primary address",,,
"Country",,,
"Create a task",,,
"Create a task ?",,,
"Create event",,,
"Create into Opportunity",,,
"Create into Opportunity ?",,,
"Create opportunity",,,
"Create opportunity (${ fullName })",,,
"Created Nbr",,,
"Created Nbr.",,,
"Created Won",,,
"Created by",,,
"Created leads by industry sector",,,
"Created leads per month",,,
"Created on",,,
"Crm batch",,,
"Currency",,,
"Customer",,,
"Customer fixed phone",,,
"Customer mobile phone",,,
"Customer name",,,
"Customers",,,
"Daily",,,
"Daily team call summary by user",,,
"Dashboard",,,
"Date from",,,
"Date to",,,
"Dates",,,
"Day of month",,,
"Day of week",,,
"Days",,,
"Dead",,,
"Delete all events",,,
"Delete only this event",,,
"Delete this and next events",,,
"Delivery Address",,,
"Dep./Div.",,,
"Description",,,
"Duration",,,
"Duration type",,,
"Email",,,
"Email address",,,
"Emails",,,
"End",,,
"End date",,,
"Enterprise",,,
"Enterprise name",,,
"Event",,,
"Event Categories",,,
"Event Dashboard 1",,,
"Event Db",,,
"Event categories",,,
"Event category",,,
"Event configuration categories",,,
"Event filters",,,
"Event reminder",,,
"Event reminder %s",,,
"Event reminder batch",,,
"Event reminder page",,,
"Event reminders",,,
"Event's reminder's generation's reporting :",,,
"Events",,,
"Every %d days",,,
"Every %d months the %d",,,
"Every %d weeks",,,
"Every %d years the %s",,,
"Every day",,,
"Every month",,,
"Every month the",,,
"Every week",,,
"Every year",,,
"Every year the",,,
"Existing customer/supplier/contact",,,
"Existing user",,,
"Expected close date",,,
"External Guests",,,
"Fax",,,
"Financial terms",,,
"Finished",,,
"First name",,,
"Fixed Phone",,,
"Fixed phone",,,
"Follow-up",,,
"For all",,,
"For me",,,
"For me and internal guests",,,
"Fr",,,
"From Date",,,
"From date must be less than the to date",,,
"Function",,,
"Generate CRM configurations",,,
"Generate Project",,,
"Guests",,,
"Historical Period",,,
"Historical events completed",,,
"Hours",,,
"Import",,,
"Import lead",,,
"Import leads",,,
"In process",,,
"Incoming",,,
"Industry",,,
"Industry Sector",,,
"Information",,,
"Informations",,,
"Input location please",,,
"Internal Guests",,,
"Invoicing Address",,,
"Invoicing/Payment",,,
"Job Title",,,
"Key accounts",,,
"Last name",,,
"Lead",,,
"Lead Assigned",,,
"Lead Converted",,,
"Lead Dashboard 1",,,
"Lead Db",,,
"Lead Db 1",,,
"Lead created",,,
"Lead filters",,,
"Lead.address_information","Address Information",,
"Lead.company","Company",,
"Lead.email","Email",,
"Lead.fax","Fax",,
"Lead.header","Header",,
"Lead.industry","Industry",,
"Lead.lead_owner","Lead Owner",,
"Lead.name","Name",,
"Lead.other_address","Other Address",,
"Lead.phone","Phone",,
"Lead.primary_address","Primary Address",,
"Lead.source","Source",,
"Lead.status","Status",,
"Lead.title","Title",,
"Leads",,,
"Leads Source",,,
"Leads by Country",,,
"Leads by Salesman by Status",,,
"Leads by Source",,,
"Leads by Team by Status",,,
"Limit Date",,,
"Linked to",,,
"Log a call",,,
"Log a call ?",,,
"Lost reason",,,
"Lost reasons",,,
"Marketing",,,
"Meeting",,,
"Meeting Nbr",,,
"Meeting Nbr.",,,
"Meeting Types",,,
"Meeting filters",,,
"Meeting number historical",,,
"Meeting reminder template",,,
"Meeting type",,,
"Meeting types",,,
"Meeting's date changed template",,,
"Meeting's guest added template",,,
"Meeting's guest deleted template",,,
"Meetings",,,
"Meetings number historical",,,
"Meetings number target completed (%)",,,
"Minutes",,,
"Mo",,,
"Mobile N°",,,
"Mobile phone",,,
"Month",,,
"Monthly",,,
"Months",,,
"My Best Open Deals",,,
"My Calendar",,,
"My Calls",,,
"My Closed Opportunities",,,
"My Current Leads",,,
"My Key accounts",,,
"My Leads",,,
"My Meetings",,,
"My Open Opportunities",,,
"My Opportunities",,,
"My Tasks",,,
"My Team Best Open Deals",,,
"My Team Calls",,,
"My Team Closed Opportunities",,,
"My Team Key accounts",,,
"My Team Leads",,,
"My Team Meetings",,,
"My Team Open Opportunities",,,
"My Team Tasks",,,
"My Today Calls",,,
"My Today Tasks",,,
"My Upcoming Meetings",,,
"My Upcoming Tasks",,,
"My opportunities",,,
"My past events",,,
"My team opportunities",,,
"My upcoming events",,,
"Name",,,
"Negotiation",,,
"New",,,
"Next step",,,
"No lead import configuration found",,,
"No template created in CRM configuration for company %s, emails have not been sent",,,
"Non-participant",,,
"None",,,
"Not started",,,
"Notes",,,
"Objective",,,
"Objective %s is in contradiction with objective's configuration %s",,,
"Objectives",,,
"Objectives Configurations",,,
"Objectives Team Db",,,
"Objectives User Db",,,
"Objectives configurations",,,
"Objectives team Dashboard",,,
"Objectives user Dashboard",,,
"Objectives' generation's reporting :",,,
"Office name",,,
"On going",,,
"Open Cases by Agents",,,
"Open Opportunities",,,
"Opportunities",,,
"Opportunities By Origin By Stage",,,
"Opportunities By Sale Stage",,,
"Opportunities By Source",,,
"Opportunities By Type",,,
"Opportunities Db 1",,,
"Opportunities Db 2",,,
"Opportunities Db 3",,,
"Opportunities Won By Lead Source",,,
"Opportunities Won By Partner",,,
"Opportunities Won By Salesman",,,
"Opportunities amount won historical",,,
"Opportunities amount won target competed (%)",,,
"Opportunities amount won target completed (%)",,,
"Opportunities created number historical",,,
"Opportunities created number target completed (%)",,,
"Opportunities created won historical",,,
"Opportunities created won target completed (%)",,,
"Opportunities filters",,,
"Opportunity",,,
"Opportunity Type",,,
"Opportunity amount",,,
"Opportunity created",,,
"Opportunity lost",,,
"Opportunity type",,,
"Opportunity types",,,
"Opportunity won",,,
"Optional participant",,,
"Or Select Contact",,,
"Or Select Partner",,,
"Order by state",,,
"Other address",,,
"Outgoing",,,
"Overview",,,
"Parent event",,,
"Partner",,,
"Partner Details",,,
"Pending",,,
"Period",,,
"Period type",,,
"Periodicity must be greater than 0",,,
"Personal",,,
"Picture",,,
"Pipeline",,,
"Pipeline by Stage and Type",,,
"Pipeline next 90 days",,,
"Planned",,,
"Please configure all templates in CRM configuration for company %s",,,
"Please configure informations for CRM for company %s",,,
"Please select a path",,,
"Please select the Lead(s) to print.",,,
"Postal code",,,
"Present ?",,,
"Primary address",,,
"Print",,,
"Probability (%)",,,
"Project",,,
"Projects",,,
"Proposition",,,
"Qualification",,,
"Real",,,
"Realized",,,
"Recent lost deals",,,
"Recently created opportunities",,,
"Recurrence",,,
"Recurrence assistant",,,
"Recurrence configuration",,,
"Recurrence name",,,
"Recurrent",,,
"Recycled",,,
"Referred by",,,
"Region",,,
"Related to",,,
"Related to select",,,
"RemindedOk",,,
"Reminder Templates",,,
"Reminder(s) treated",,,
"Reminders",,,
"Repeat every",,,
"Repeat every:",,,
"Repeat the:",,,
"Repetitions number",,,
"Reported",,,
"Reportings",,,
"Reports",,,
"Required participant",,,
"Sa",,,
"Sales Stage",,,
"Sales orders amount won historical",,,
"Sales orders amount won target completed (%)",,,
"Sales orders created number historical",,,
"Sales orders created number target completed (%)",,,
"Sales orders created won historical",,,
"Sales orders created won target completed",,,
"Sales orders created won target completed (%)",,,
"Sales stage",,,
"Salesman",,,
"Schedule Event",,,
"Schedule Event (${ fullName })",,,
"Schedule Event(${ fullName})",,,
"Schedule a meeting",,,
"Schedule a meeting ?",,,
"Send Email",,,
"Send email",,,
"Send mail",,,
"Settings",,,
"Shared Calendar",,,
"Show all events",,,
"Source",,,
"Source description",,,
"Start date",,,
"State",,,
"Status",,,
"Status description",,,
"Su",,,
"Supplier",,,
"Target",,,
"Target User Dashboard",,,
"Target batch",,,
"Target configuration",,,
"Target configurations",,,
"Target page",,,
"Target team Dashboard",,,
"Targets",,,
"Targets configurations",,,
"Task",,,
"Task reminder template",,,
"Tasks",,,
"Tasks filters",,,
"Team",,,
"Team Calendar",,,
"Th",,,
"The end date must be after the start date",,,
"The number of repetitions must be greater than 0",,,
"Title",,,
"To Date",,,
"Tools",,,
"Treated objectives reporting",,,
"Tu",,,
"Type",,,
"UID (Calendar)",,,
"Unassigned Leads",,,
"Unassigned Opportunities",,,
"Unassigned opportunities",,,
"Upcoming events",,,
"User",,,
"Validate",,,
"Vs",,,
"We",,,
"Website",,,
"Weekly",,,
"Weeks",,,
"Worst case",,,
"Years",,,
"You don't have the rights to delete this event",,,
"You must choose a recurrence type",,,
"You must choose at least one day in the week",,,
"amount",,,
"com.axelor.apps.crm.job.EventReminderJob",,,
"com.axelor.apps.crm.service.batch.CrmBatchService",,,
"date",,,
"every week's day",,,
"everyday",,,
"fri,",,,
"important",,,
"mon,",,,
"on",,,
"portal.daily.team.calls.summary.by.user",,,
"sat,",,,
"success",,,
"sun,",,,
"thur,",,,
"tues,",,,
"until the",,,
"warning",,,
"wed,",,,
"whatever@example.com",,,
