"key","message","comment","context"
"%d times","%d 次",,
"1 to 20","1 到 20",,
"100 to 500","100 到 500",,
"1000 to 2000","1000 到 2000",,
"20 to 100","20 到 100",,
"500 to 1000","500 到 1000",,
"<><Badge bg=""warning"">The selected date is in the past.</Badge></>","<><Badge bg=""warning"">所选日期在今天之前。</Badge></>",,
"<><Badge bg=""warning"">There is already a lead with this name.</Badge></>","<><Badge bg=""warning"">已存在一个同名的线索。</Badge></>",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"A lost reason must be selected","必须选择一个丢失原因",,
"Account owner","账户负责人",,
"Action","操作",,
"Active agency","活跃代理",,
"Activities","活动",,
"Activity","活动",,
"Add","添加",,
"Add a guest","添加嘉宾",,
"Address","地址",,
"Advanced export","高级导出",,
"After n repetitions","重复 n 次后",,
"Agencies","代理",,
"Agencies management","代理管理",,
"Agency","代理",,
"All events","所有事件",,
"All opportunities","所有商机",,
"All past events","所有过去事件",,
"All prospects","所有潜在客户",,
"All upcoming events","所有未来事件",,
"All users","所有用户",,
"Amount","金额",,
"Amount :",,"金额 :",,
"App","应用",,
"App Crm","CRM 应用",,
"App crm","CRM 应用",,
"Apply changes to all recurrence's events","将更改应用到所有重复事件",,
"Apply changes to this event only","仅将更改应用到此事件",,
"Apply modifications","应用修改",,
"Apply modifications for all","对所有应用修改",,
"Assign to","分配给",,
"Assign to me","由我负责",,
"Assignable Users","可分配用户",,
"Assigned to","分配给",,
"At specific date","在特定日期",,
"At the date","在日期",,
"Attendee","姓名",,
"Available","可用",,
"Batchs","批处理",,
"Before start date","在开始日期之前",,
"Best Open Deals","最佳开放商机",,
"Best case","最佳情况",,
"Busy","忙碌",,
"CRM","CRM",,
"CRM Activities","CRM 活动",,
"CRM Batch","CRM 批处理",,
"CRM batch","CRM 批处理",,
"CRM batches","CRM 批处理",,
"CRM config","CRM 配置",,
"CRM config (${ name })","CRM 配置 (${ name })",,
"CRM configuration","CRM 配置",,
"CRM configurations","CRM 配置",,
"CRM events","CRM 事件",,
"Call","电话",,
"Call Event (${ fullName })","电话事件 (${ fullName })",,
"Call Event(${ fullName})","电话事件 (${ fullName})",,
"Call filters","电话过滤器",,
"Call reminder template","电话提醒模板",,
"Call type","电话类型",,
"Calls","电话",,
"Calls Dashboard","电话仪表板",,
"Calls by team by user","按团队和用户分组的电话",,
"Calls by user(of a team)","按团队用户分组的电话",,
"Calls held by team by type","按团队和类型分组的电话",,
"Calls held by type by user","按用户和类型分组的电话",,
"Calls monitoring","电话监控",,
"Calls type by team","按团队分组的电话类型",,
"Calls type by user","按用户分组的电话类型",,
"Can not mark as lost an already lost lead.","无法将已丢失的线索标记为丢失。",,
"Can not mark as lost an already lost partner.","无法将已丢失的合作伙伴标记为丢失。",,
"Can only assign to yourself new, assigned or in process lead.","只能将新的、已分配或正在处理的线索分配给自己。",,
"Can only close lost opportunities in form view.","只能在表单视图中关闭已丢失的商机。",,
"Can only close lost prospects in form view.","只能在表单视图中关闭已丢失的潜在客户。",,
"Can only convert leads in form view.","只能在表单视图中转换线索。",,
"Can only convert new, assigned or in process lead.","只能转换新的、已分配或正在处理的线索。",,
"Can only lose leads in form view.","只能在表单视图中标记线索为丢失。",,
"Can only recycle a lost lead.","只能回收已丢失的线索。",,
"Can only start new or assigned lead.","只能开始新的或已分配的线索。",,
"Cancel","取消",,
"Cancel this reminder","取消此提醒",,
"Canceled","已取消",,
"Carrier","承运人",,
"Cases","案例",,
"Catalog","目录",,
"Catalog type","目录类型",,
