"code_fichier";"description_fichier";"date_fin";"nom_fichier";"code_rejet";"libelle_rejet";"description_rejet";"rejet_technique";"virement";"prelevement";"prelevement_sepa";"lcr_bor";"cheque"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";76;"RCLTARDIVE";"réclamation tardive";"f";"t";"t";"f";"t";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";80;"CONTESTATION DEBITEUR";"Contestation par le débiteur d’une opération débitée dans
les 8 semaines qui suivent le paiement :
- Prélèvement : Le débiteur conteste le prélèvement
dans les 8 semaines qui suivent le paiement de celui-ci.
Il précise à sa banque le motif de sa contestation.
- TIP : contestation impliquant ou non une demande de
photocopie de TIP n’est pas satisfaite dans les délais
par le Centre Bancaire
- Télérèglement : le débiteur a été débité d’un montant
qu’il n’a pas validé";"f";"f";"t";"t";"f";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";14;"CPTE SOLDE CLOTURE VIRE";"le client a soldé son compte ou bien le compte a été clôturé,
transféré dans un autre guichet de la banque ou du groupe";"f";"t";"t";"f";"t";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";12;"COORD. BANC. INEXPLOIT.";"les coordonnées bancaires du destinataire (code
établissement, code guichet ou numéro de compte) ne sont
pas reconnues par la banque domiciliataire";"f";"t";"t";"t";"t";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";31;"PAS D’AUTORISATION";"PRL : la banque n'a pas reçu l'autorisation de
prélèvement ou l'adhésion au Télérèglement,
alors qu'un premier débit s'est présenté, ou bien le client a effectué une révocation de l’autorisation de prélèvement et de la demande
de prélèvement ou de l'adhésion au Télérèglement (opposition définitive)
TIP : suite à une demande de photocopie de TIP, le
Centre Bancaire a répondu qu'il n'en trouvait pas trace
SEPA : pas de réponse du client au relevé d'effets à payer. A
n'utiliser qu'en l'absence d'instructions du débiteur";"f";"f";"t";"t";"f";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";16;"DESTINATAIRE NON RECONNU";"VIR/PRL/TIP/LCR/BOR : le nom du destinataire n'est pas précisé ou ne correspond
pas aux coordonnées bancaires";"f";"t";"t";"f";"t";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";11;"ANNULATION BANCAIRE";"LCR/BOR : Annulation d'une opération compensée à tort suite à un
incident technique dans la banque";"f";"f";"f";"f";"t";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";13;"CREANCE NON IDENTIFIABLE";"LCR/BOR : référence ""tiré"" absente ou incorrecte sur le document ou
l'enregistrement remis par la banque domiciliataire à son
client. Ce code fait l'objet d'un suivi statistique de la Banque
de France et les enregistrements correspondants doivent
comporter le n° SIREN";"f";"f";"f";"f";"f";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";1;"ENDOS ERRONE";"LCR/BOR : Le nom du tireur est absent de la zone C2 de
l'enregistrement 07";"f";"f";"f";"f";"t";"f"
"REJET1";"Codes et motifs de rejet de virements, prélèvements, TIP, prélèvement SEPA";;"pour PRL-TIP-VIR-PRL SEPA";2;"ECHEANCE HORS LIMITE";"LCR/BOR : La date d'échéance de l'effet est postérieure au délai de
conservation fixé par la banque";"f";"f";"f";"f";"t";"f"
