"importId";"keyWord";"typeSelect"
"1";"Access";1
"2";"Purchasing";1
"3";"Network Management";1
"4";"System Management";1
"5";"ANSYS";1
"6";"ASP.NET";1
"7";"Asterisk";1
"8";"AUTOCAD";1
"9";"Axelor Platform";1
"10";"Business Intelligence";1
"11";"C";1
"12";"C++";1
"13";"CATIA";1
"14";"CMMI";1
"15";"COBOL";1
"16";"International Business";1
"17";"Communication";1
"18";"Accounting";1
"19";"Quality Control";1
"20";"DELMIA";1
"21";"Delphi";1
"22";"Business Law";1
"23";"Eagle";1
"24";"Electronic";1
"25";"ERP/CRM";1
"26";"Flash";1
"27";"Fortran";1
"28";"GANTT Project";1
"29";"Groovy";1
"30";"HQSE";1
"31";"Hyperlynx";1
"32";"InCa3D";1
"33";"INVENTOR";1
"34";"ISO 14001";1
"35";"ISO 9001";1
"36";"Java";1
"37";"Javascript";1
"38";"JPQL";1
"39";"JSP";1
"40";"Kanban";1
"41";"KiCas";1
"42";"LabVIEW";1
"43";"Linux";1
"44";"Maple";1
"45";"Marketing";1
"46";"MATLAB";1
"47";"Maxwell";1
"48";"Maya";1
"49";"Merise";1
"50";"Microsoft Office";1
"51";"Microsoft Project";1
"52";"Molding";1
"53";"MySQL";1
"54";"Negociations";1
"55";"NoSQL";1
"56";"Objective-C";1
"57";"OpenOffice";1
"58";"Oracle";1
"59";"Photoshop";1
"60";"PHP";1
"61";"Resources Planning";1
"62";"PostgreSQL";1
"63";"ProEngineer";1
"64";"Proteus";1
"65";"Python";1
"66";"Requirements specification";1
"67";"Human Resources";1
"68";"Ruby";1
"69";"Scala";1
"70";"Scilab";1
"71";"Shell";1
"72";"SolidEdge";1
"73";"SOLIDWORKS";1
"74";"Welding";1
"75";"SQL";1
"76";"Team Management";1
"77";"TopSolid";1
"78";"UML";1
"79";"Machining";1
"80";"VHDL";1
"81";"B2B Sales";1
"82";"B2C Sales";1
"83";"VisualBasic";1
"84";"Windows";1
"85";"Aeronautics";2
"86";"Agro & Food Industry";2
"87";"Automotive";2
"88";"Autres industries";2
"89";"Bank & Insurance";2
"90";"Defense";2
"91";"Utilities";2
"92";"Pharmaceutics and Medical";2
"93";"Public Sector";2
"94";"Services";2
"95";"Network supervisor";3
"96";"System Supervisor";3
"97";"Quality Control Agent";3
"98";"Manufacturing Agent";3
"99";"Production Agent";3
"100";"Reordering Agent";3
"101";"Salesman Assistant";3
"102";"Manager Assistant";3
"103";"Business Developper";3
"104";"Department Manager";3
"105";"Product Manager";3
"106";"Program Manager";3
"107";"Project Manager";3
"108";"Division Manager";3
"109";"Salesman";3
"110";"Consultant";3
"111";"Designer";3
"112";"Design Drafter";3
"113";"Purchasing Manager";3
"114";"Chief Financial Officer";3
"115";"Sales Manager";3
"116";"Communication Manager";3
"117";"Project Director";3
"118";"Factory Manager";3
"119";"General Manager";3
"120";"Marketing Manager";3
"121";"Quality Manager";3
"122";"R&D Manager";3
"123";"Electro-Technician";3
"124";"Certified trainer";3
"125";"Design Engineer";3
"126";"General Engineer";3
"127";"Mechanical Engineer";3
"128";"R&D Engineer";3
"129";"Operator";3
"130";"Qualitician";3
"131";"Technician";3
"132";"Hotline Technician";3
"133";"Technician Electronician";3
"134";"Automation Technician";3
"135";"Maintenance Technician";3
"136";"ASS Technician";3
"137";"Technical Salesman";3
"138";"Itinerant Salesman";3
"139";"Human Resources Manager";3
