importId;name_fr_FR;code_fr_FR;name_en_EN;description_fr_FR;description_en_EN;productCategory.code;productFamily.code;productTypeSelect;procurementMethodSelect;isRawMaterial;unit.code;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;startDate;endDate
1;V̩lo Route Lapierre Xelius 800;RTE-RPRO-0001;;;;RTE;RPRO;storable;buy;false;PCE;storable;5999;EUR;4799.2;EUR;2013-01-01;
2;V̩lo Route Lapierre Xelius 600;RTE-RPRO-0002;;;;RTE;RPRO;storable;buy;false;PCE;storable;5399;EUR;4265.21;EUR;2013-01-01;
3;V̩lo Route Lapierre Xelius 400;RTE-RPRO-0003;;;;RTE;RPRO;storable;buy;false;PCE;storable;4799;EUR;4319.1;EUR;2013-01-01;
4;V̩lo Route Lapierre Xelius 200;RTE-RPRO-0004;;;;RTE;RPRO;storable;buy;false;PCE;storable;4199;EUR;3275.22;EUR;2013-01-01;
5;V̩lo Route Lapierre Xelius 100;RTE-RPRO-0005;;;;RTE;RPRO;storable;buy;false;PCE;storable;3599;EUR;2807.22;EUR;2013-01-01;
6;V̩lo Route Lapierre Sensium 500;RTE-RAMA-0006;;;;RTE;RAMA;storable;buy;false;PCE;storable;3499;EUR;2974.15;EUR;2013-01-01;
7;V̩lo Route Lapierre Sensium 400;RTE-RAMA-0007;;;;RTE;RAMA;storable;buy;false;PCE;storable;3099;EUR;2262.27;EUR;2013-01-01;
8;V̩lo Route Lapierre Sensium 300;RTE-RAMA-0008;;;;RTE;RAMA;storable;buy;false;PCE;storable;2699;EUR;1916.29;EUR;2013-01-01;
9;V̩lo Route Lapierre Sensium 200;RTE-RAMA-0009;;;;RTE;RAMA;storable;buy;false;PCE;storable;2299;EUR;1770.23;EUR;2013-01-01;
10;V̩lo Route Lapierre Sensium 100;RTE-RAMA-0010;;;;RTE;RAMA;storable;buy;false;PCE;storable;1899;EUR;1633.14;EUR;2013-01-01;
11;V̩lo Route Lapierre Audacio 400;RTE-RPERF-0011;;;;RTE;RPERF;storable;buy;false;PCE;storable;1299;EUR;961.26;EUR;2013-01-01;
12;V̩lo Route Lapierre Audacio 300;RTE-RPERF-0012;;;;RTE;RPERF;storable;buy;false;PCE;storable;1099;EUR;802.27;EUR;2013-01-01;
13;V̩lo Route Lapierre Audacio 200;RTE-RPERF-0013;;;;RTE;RPERF;storable;buy;false;PCE;storable;899;EUR;629.3;EUR;2013-01-01;
14;V̩lo Route Lapierre Shaper 900;RTE-RLOIS-0014;;;;RTE;RLOIS;storable;buy;false;PCE;storable;899;EUR;701.22;EUR;2013-01-01;
15;V̩lo Route Lapierre Shaper 700;RTE-RLOIS-0015;;;;RTE;RLOIS;storable;buy;false;PCE;storable;799;EUR;663.17;EUR;2013-01-01;
16;V̩lo Route Lapierre Shaper 500;RTE-RLOIS-0016;;;;RTE;RLOIS;storable;buy;false;PCE;storable;699;EUR;552.21;EUR;2013-01-01;
17;V̩lo Route Lapierre Shaper 300;RTE-RLOIS-0017;;;;RTE;RLOIS;storable;buy;false;PCE;storable;599;EUR;461.23;EUR;2013-01-01;
18;V̩lo Chemin Lapierre Trekking Iron;CHE-XPERF-0018;;;;CHE;XPERF;storable;buy;false;PCE;storable;0;EUR;0;EUR;2013-01-01;
19;V̩lo Chemin Lapierre Trekking Rock;CHE-XPERF-0019;;;;CHE;XPERF;storable;buy;false;PCE;storable;0;EUR;0;EUR;2013-01-01;
